"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
37	10057	0	16553	61107146	BANK OF HANCOCK COUNTY	12855 BROAD STREET 	SPARTA	GA	31087	041	2015-01-26T15:38:03
242	3850	0	0	81220537	FIRST COMMUNITY BANK XENIA-FLORA	260 FRONT STREET 	XENIA	IL	62899	041	2015-01-23T12:28:04
279	28868	0	2523	311972526	MINEOLA COMMUNITY BANK, SSB	215 W BROAD 	MINEOLA	TX	75773	041	2015-01-30T16:34:59
354	14083	0	0	101107475	BISON STATE BANK	223 MAIN STREET 	BISON	KS	67520	041	2015-01-13T11:42:38
457	10202	0	0	91208332	LOWRY STATE BANK	400 FLORENCE AVE. 	LOWRY	MN	56349	041	2015-01-16T11:09:34
505	6959	1253	0	21304675	BALLSTON SPA NATIONAL BANK	87 FRONT STREET 	BALLSTON SPA	NY	12020	041	2015-02-24T11:23:49
1155	17639	0	0	104900116	FIRST STATE BANK & TRUST COMPANY	1005 EAST 23RD 	FREMONT	NE	68025	041	2015-01-13T15:43:08
1351	9392	0	0	81513969	BANK OF GRANDIN	403 5TH STREET 	GRANDIN	MO	63943	041	2015-01-15T13:17:14
1454	19184	15359	0	102301199	HILLTOP NATIONAL BANK	300 COUNTRY CLUB ROAD 	CASPER	WY	82609	041	2015-01-29T13:58:12
1557	15328	0	0	101103068	FIRST STATE BANK, KIOWA, KANSAS, THE	546 MAIN STREET 	KIOWA	KS	67070	041	2015-01-14T10:07:48
1669	3384	13541	0	111900578	LIBERTY NATIONAL BANK IN PARIS, THE	305 LAMAR AVENUE 	PARIS	TX	75460	041	2015-01-13T14:45:54
1829	6058	0	0	43000847	ALLEGHENY VALLEY BANK OF PITTSBURGH	5137 BUTLER STREET 	PITTSBURGH	PA	15201	041	2015-01-30T13:38:38
1856	22430	0	0	103105446	WASHITA STATE BANK	701 S HIGHWAY 44 	BURNS FLAT	OK	73624	041	2015-01-21T12:52:30
2040	13046	0	0	75907442	FARMERS & MERCHANTS BANK	1001 SUPERIOR AVENUE 	TOMAH	WI	54660	041	2015-01-23T16:02:08
2161	23597	17106	0	111909870	LAMAR NATIONAL BANK	200 S. COLEGIATE DRIVE 	PARIS	TX	75460	041	2015-10-07T15:31:58
2376	28866	0	2519	221270541	ORITANI BANK	370 PASCACK ROAD 	TOWNSHIP OF WASHINGTON	NJ	07676	041	2015-02-25T14:23:31
2554	18525	0	0	91216324	STATE BANK OF MARIETTA	201 3RD AVENUE NORTH 	MARIETTA	MN	56257	041	2015-01-23T10:33:38
2732	17230	14688	0	71004446	ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION	3400 WEST LAWRENCE AVENUE 	CHICAGO	IL	60625	041	2015-01-26T15:01:25
2750	5408	0	0	104901940	GENOA COMMUNITY BANK	502 WILLIARD AVENUE 	GENOA	NE	68640	041	2015-01-22T17:15:50
3177	30273	705091	5091	231271080	OCEAN CITY HOME BANK	1001 ASBURY AVENUE 	OCEAN CITY	NJ	08226	041	2015-06-05T13:30:13
3252	5410	8521	0	104102781	FIRST NATIONAL BANK OF GORDON, THE	134 NORTH MAIN 	GORDON	NE	69343	041	2015-01-30T09:42:24
3458	16103	0	0	101918169	FARMERS BANK OF GREEN CITY	1 SOUTH LINCOLN STREET 	GREEN CITY	MO	63545	041	2015-01-29T12:51:06
3720	15671	0	0	53206738	BANK OF CLARENDON, THE	106 SOUTH BROOK STREET 	MANNING	SC	29102	041	2015-02-24T16:39:37
3971	28865	702518	2518	81204265	MIDCOUNTRY BANK	2611 BLUE HERON DRIVE 	MARION	IL	62959	041	2015-01-30T16:58:48
4156	13157	0	0	101102124	KANZA BANK	151 NORTH MAIN 	KINGMAN	KS	67068	041	2015-01-20T14:43:26
4231	16440	0	0	61212345	FARMERS AND MERCHANTS BANK	104 NORTH MAIN STREET 	SYLVANIA	GA	30467	041	2015-03-16T12:23:35
4437	6795	13830	13423	51501558	FIRST NATIONAL BANK	1 CEDAR STREET 	RONCEVERTE	WV	24970	041	2015-01-28T16:35:35
4839	11694	0	0	71001122	ABC BANK	5645 WEST LAKE STREET 	CHICAGO	IL	60644	041	2015-01-21T14:49:12
5069	24332	0	0	122237599	FIRST CREDIT BANK	9255 SUNSET BOULEVARD 	WEST HOLLYWOOD	CA	90069	041	2015-07-28T20:54:24
5135	15496	0	14097	61202931	FIRST STATE BANK OF BLAKELY	2213 SOUTH MAIN STREET 	BLAKELY	GA	39823	041	2015-03-16T16:44:39
5210	7506	0	0	31309945	ACNB BANK	16 LINCOLN SQUARE 	GETTYSBURG	PA	17325	041	2015-01-28T09:44:15
5461	19434	0	0	121125660	BANK OF AGRICULTURE AND COMMERCE	517 EAST WEBER AVENUE 	STOCKTON	CA	95202	041	2015-04-30T19:25:37
5751	15194	0	0	101106625	KEARNY COUNTY BANK	221 NORTH MAIN STREET 	LAKIN	KS	67860	041	2015-01-30T10:18:54
6039	15699	0	14102	61211964	ALMA EXCHANGE BANK & TRUST	501 WEST 12TH STREET 	ALMA	GA	31510	041	2015-02-02T13:38:13
6141	16567	0	0	84201896	TALLAHATCHIE COUNTY BANK	1 EAST MAIN STREET 	CHARLESTON	MS	38921	041	2015-01-30T15:24:36
6329	9923	0	13430	53206741	ANDERSON BROTHERS BANK	101 NORTH MAIN STREET 	MULLINS	SC	29574	041	2015-01-27T15:34:41
7009	20015	0	0	21203970	BESSEMER TRUST COMPANY	100 WOODBRIDGE CENTER DRIVE 	WOODBRIDGE	NJ	070951191	041	2015-02-17T15:00:14
7045	5779	0	0	83905326	PEOPLES BANK, THE	100 NORTH MAIN STREET 	BROWNSTOWN	IN	47220	041	2015-01-14T11:13:02
7072	28870	702528	2528	221972234	WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION	23 WALLKILL AVE. 	WALLKILL	NY	12589	041	2015-06-23T09:40:57
7157	15057	0	0	101102810	STATE BANK OF BLUE RAPIDS	21 PUBLIC SQUARE 	BLUE RAPIDS	KS	66411	041	2015-01-30T17:44:12
7456	13962	0	0	104110977	BANK OF HARTINGTON	229 NORTH BROADWAY 	HARTINGTON	NE	68739	041	2015-01-26T17:14:23
7634	15904	0	0	61112034	FOUR COUNTY BANK, THE	959 MAIN STREET 	ALLENTOWN	GA	31003	041	2015-01-26T11:07:03
8033	23090	0	15605	65202830	PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH	805 HOSPITAL ROAD 	NEW ROADS	LA	70760	041	2015-01-26T14:40:55
8462	3388	11595	0	111318584	PERRYTON NATIONAL BANK, THE	825 SOUTH MAIN STREET 	PERRYTON	TX	790703556	041	2015-01-23T17:15:02
8631	847	0	0	51501765	PLEASANTS COUNTY BANK, THE	323 SECOND ST 	SAINT MARYS	WV	26170	041	2015-01-28T13:15:17
9357	20268	0	0	91014924	FIDELITY BANK	7600 PARKLAWN AVENUE 	EDINA	MN	55435	041	2015-02-10T10:24:25
9553	14311	0	0	104907708	ADAMS COUNTY BANK	401 N SMITH AVE 	KENESAW	NE	68956	041	2015-01-27T13:46:09
9807	6423	0	9315	21204416	AMBOY BANK	3590 U.S. HIGHWAY 9 SOUTH 	OLD BRIDGE	NJ	08857	041	2015-01-29T11:48:35
9955	15899	0	0	101101992	FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE	116 WEST 6TH STREET 	LARNED	KS	67550	041	2015-01-22T11:02:04
10250	1607	0	0	91903831	BANK OF ELK RIVER, THE	630 MAIN ST. 	ELK RIVER	MN	55330	041	2015-03-03T10:22:21
10849	15050	0	0	82902003	FIRST STATE BANK	101 SOUTH CENTER STREET 	LONOKE	AR	72086	041	2015-02-18T12:47:00
11145	8172	0	11663	72405604	LAKE-OSCEOLA STATE BANK	790 NORTH MICHIGAN AVENUE 	BALDWIN	MI	49304	041	2015-04-28T12:20:58
11275	30284	705106	5106	281073555	PULASKI BANK	12300 OLIVE BOULEVARD 	CREVE COEUR	MO	63141	041	2015-01-30T15:58:32
11640	19070	15284	0	84201029	FIRST NATIONAL BANK OF CLARKSDALE	402 EAST SECOND STREET 	CLARKSDALE	MS	38614	041	2015-01-29T15:16:18
