"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37		20190331	Bank of Hancock County	10057	Sparta	GA	31087	
242		20190331	First Community  Bank, Xenia-Flora	3850	Xenia	IL	62899	
279		20190331	MINEOLA COMMUNITY BANK S. S. B.	28868	MINEOLA	TX	75773	
354	549300T61O0X0RJMQ375	20190331	Bison State Bank	14083	Bison	KS	675200328	
457		20190331	LOWRY STATE BANK	10202	LOWRY	MN	56349	
505	549300QY4UCP33T94NO9	20190331	Ballston Spa National Bank	6959	Ballston Spa	NY	12020	
1155		20190331	First State Bank & Trust Company	17639	Fremont	NE	68025	
1351		20190331	Bank of Grandin	09392	Grandin	MO	63943	
1454		20190331	Hilltop National Bank	19184	Casper	WY	82609	
1669		20190331	Liberty National Bank	3384	Paris	TX	75461	
1856		20190331	Washita State Bank	22430	Burns Flat	OK	73624	
2040		20190331	Farmers and Merchants Bank	13046	Tomah	WI	54660	
2161		20190331	LAMAR NATIONAL BANK	23597	PARIS	TX	75460	
2376	549300XRBLWUN6J76L65	20190331	Oritani Bank	28866	Twp of Washington	NJ	76761329	
2554		20190331	State Bank Of Marietta	18525	Marietta	MN	56257	
2732	25490001F0A9F7BV6B05	20190331	Albany Bank & Trust Co., N.A.	17230	Chicago	IL	60625	
2750		20190331	Genoa Community Bank	5408	Genoa	NE	68640	
3252		20190331	FIRST NATIONAL BANK OF GORDON	5410	GORDON	NE	69343	
3458		20190331	Farmers Bank Of Green City	16103	Green City	MO	63545	
3720		20190331	Bank Of Clarendon, The	15671	Manning	SC	29102	
3971		20190331	Midcountry Bank	28865	Bloomington	MN	55439	
4156		20190331	Kanza Bank	13157	Kingman	KS	67068	
4231		20190331	FARMERS AND MERCHANTS BANK	16440	SYLVANIA	GA	30467	
5069		20190331	First Credit Bank	24332	West Hollywood	CA	90069	
5135		20190331	First State Bank of Blakely	15496	Blakely	GA	39823	
5210	5493005CFFMKTUKL0381	20190331	ACNB Bank	7506	Gettysburg	PA	173250000	
5461		20190331	BAC Community Bank	19434	Stockton	CA	95202	
5751		20190331	Kearny County Bank	15194	Lakin	KS	67860	
6039		20190331	Pineland Bank	15699	ALMA	GA	31510	
6329	549300M4GZM7GG3EIV16	20190331	Anderson Brothers Bank	9923	Mullins	SC	29574	
7009	549300NEQHXUX4MZIH22	20190331	Bessemer Trust Company	20015	Woodbridge	NJ	70951191	
7045		20190331	The Peoples Bank	5779	Brownstown	IN	47220	
7072		20190331	Wallkill Valley Federal Savings And Loan Association	28870	Wallkill	NY	12589	
7456		20190331	Bank of Hartington	13962	Hartington	NE	68739-0077	
7634		20190331	THE FOUR COUNTY BANK	15904	ALLENTOWN	GA	31003	
8033	254900DIGH8B5QJNCC06	20190331	PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH	23090	New Roads	LA	70760	
8462		20190331	Perryton National Bank	3388	Perryton	TX	79070	
8631		20190331	Pleasants County Bank	847	St. Marys	WV	26170	
9357		20190331	Fidelity Bank	20268	Edina	MN	55435	
9553		20190331	ADAMS COUNTY BANK	14311	KENESAW	NE	689560149	
9807		20190331	Amboy Bank	6423	Old Bridge	NJ	08857	
9955		20190331	First State Bank And Trust Company Of Larned, The	15899	Larned	KS	67550	
10250	549300M5DZ6P9KNT7H33	20190331	Bank Of Elk River, The	1607	Elk River	MN	55330	
10849		20190331	FIRST STATE BANK	15050	LONOKE	AR	72086	
