"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37	20130630	Bank of Hancock County	10057	Sparta	GA	31087	
242	20130630	First Community  Bank, Xenia-Flora	3850	Xenia	IL	62899	
279	20130630	MINEOLA COMMUNITY BANK S. S. B.	28868	MINEOLA	TX	75773	
354	20130630	Bison State Bank	14083	Bison	KS	675200328	
457	20130630	LOWRY STATE BANK	10202	LOWRY	MN	56349	
505	20130630	BALLSTON SPA NATIONAL BANK	6959	BALLSTON SPA	NY	12020	
1155	20130630	FIRST STATE BANK & TRUST COMPANY	17639	FREMONT	NE	680260549	
1351	20130630	Bank of Grandin	09392	Grandin	MO	63935	
1454	20130630	Hilltop National Bank	19184	Casper	WY	82602	
1557	20130630	The First State Bank	15328	Kiowa	KS	67070	
1669	20130630	Liberty National Bank	3384	Paris	TX	754610919	
1829	20130630	Allegheny Valley Bank of Pittsburgh	6058	Pittsburgh	PA	15201	
1856	20130630	Washita State Bank	22430	Burns Flat	OK	73624	
2040	20130630	Farmers and Merchants Bank	13046	Tomah	WI	54660	
2161	20130630	LAMAR NATIONAL BANK	23597	PARIS	TX	75460	
2376	20130630	Oritani Bank	28866	Twp of Washington	NJ	76761329	
2554	20130630	STATE BANK OF MARIETTA	18525	MARIETTA	MN	56257	
2732	20130630	Albany Bank and Trust Co NA	17230	Chicago	IL	60625	
2750	20130630	GENOA COMMUNITY BANK	5408	GENOA	NE	68640	
3177	20130630	Ocean City Home Bank	30273	Ocean City	NJ	08226	
3252	20130630	FIRST NATIONAL BANK OF GORDON	5410	GORDON	NE	69343	
3458	20130630	FARMERS BANK OF GREEN CITY	16103	GREEN CITY	MO	63545	
3720	20130630	The Bank of Clarendon	15671	Manning	SC	29102	
3971	20130630	Midcountry Bank	28865	Marion	IL	62959	
4156	20130630	Kanza Bank	13157	Kingman	KS	67068	
4231	20130630	FARMERS AND MERCHANTS BANK	16440	SYLVANIA	GA	30467	
4437	20130630	First National Bank	6795	Ronceverte	WV	24970	
4839	20130630	Austin Bank of Chicago	11694	Chicago	IL	60644	
5005	20130630	STONEHAM SAVINGS BANK	90286	STONEHAM	MA	2180	
5069	20130630	First Credit Bank	24332	West Hollywood	CA	90069	
5135	20130630	First State Bank of Blakely	15496	Blakely	GA	39823	
5210	20130630	ACNB Bank	7506	Gettysburg	PA	173250000	
5461	20130630	BANK OF AGRICULTURE AND COMMERCE	19434	STOCKTON	CA	95207	
5751	20130630	Kearny County Bank	15194	Lakin	KS	67860	
6039	20130630	ALMA EXCHANGE BANK & TRUST	15699	ALMA	GA	31510	
6141	20130630	TALLAHATCHIE COUNTY BANK	16567	CHARLESTON	MS	38921	
6329	20130630	ANDERSON BROTHERS BANK	9923	MULLINS	SC	295740310	
7009	20130630	Bessemer Trust Company	20015	Woodbridge	NJ	70951191	
7045	20130630	The Peoples Bank	5779	Brownstown	IN	47220	
7072	20130630	Wallkill Valley Federal Savings And Loan Association	28870	Wallkill	NY	12589	
7157	20130630	THE STATE BANK OF BLUE RAPIDS	15057	BLUE RAPIDS	KS	664110157	
7456	20130630	Bank of Hartington	13962	Hartington	NE	68739-0077	
7634	20130630	THE FOUR COUNTY BANK	15904	ALLENTOWN	GA	31003	
8033	20130630	Peoples Bank & Trust Company of Pointe Coupee Parish	23090	New Roads	LA	70760	
8462	20130630	Perryton National Bank	3388	Perryton	TX	79070	
8631	20130630	Pleasants County Bank	847	St. Marys	WV	261700240	
9357	20130630	Fidelity Bank	20268	Edina	MN	55435	
9553	20130630	ADAMS COUNTY BANK	14311	KENESAW	NE	689560149	
9807	20130630	Amboy Bank	6423	Old Bridge	NJ	08857	
9955	20130630	First State Bank And Trust Company Of Larned, The	15899	Larned	KS	67550	
10250	20130630	Bank Of Elk River, The	1607	Elk River	MN	55330	
10849	20130630	FIRST STATE BANK	15050	LONOKE	AR	72086	
10858	20130630	Platte Valley State Bank and Trust Company	16112	Kearney	NE	68847	
11145	20130630	Lake-Osceola State Bank	8172	Baldwin	MI	49304	
11275	20130630	Pulaski Bank	30284	Saint Louis	MO	63141	
11640	20130630	First National Bank of Clarksdale	19070	Clarksdale	MS	38614	
11837	20130630	The Farmers Bank	5709	Greensboro	GA	30642	
12030	20130630	First National Bank South	17011	Alma	GA	31510	
12142	20130630	The Cleveland State Bank	12201	Cleveland	MS	387321000	
12179	20130630	American Savings Bank	29899	Middletown	OH	45042	
12245	20130630	BANK NORTH	15093	Wausaukee	WI	54177	
12311	20130630	The Huntington National Bank	6560	Columbus	OH	43215	
12647	20130630	The Portage County Bank	10012	Almond	WI	54909	
12656	20130630	EMERALD BANK	14944	BURDEN	KS	67019	
12937	20130630	OAK BANK	20226	CHICAGO	IL	60611	
12946	20130630	Farmers Bank and Trust Company	1291	Magnolia	AR	71753	
12955	20130630	Bank of Nebraska	21704	La Vista	NE	68128	
13103	20130630	Bristol County Savings Bank	23622	Taunton	MA	02780	
13251	20130630	Elysian Bank	10185	Elysian	MN	56028	
13457	20130630	BANK OF LEWELLEN	5425	LEWELLEN	NE	691470248	
14052	20130630	Lincoln Community Bank	09042	Merrill	WI	54452	
14155	20130630	F & C Bank	9378	Holden	MO	64040	
14650	20130630	BANK OF LOCUST GROVE	16795	LOCUST GROVE	OK	743520219	
14753	20130630	Farmers State Bank Of Bucklin, Kansas, The	18101	Bucklin	KS	67834	
14865	20130630	Bank of Eastern Oregon	16243	Heppner	OR	97836	
14977	20130630	First Federal Bank Littlefield Texas ssb	30291	Littlefield	TX	793391390	
16458	20130630	Douglas County Bank	17105	Lawrence	KS	66044	
16551	20130630	Northview Bank	10956	Sandstone	MN	55072	
16748	20130630	The Elberfeld State Bank	13104	Elberfeld	IN	47613	
16944	20130630	The West Michigan Savings Bank	11404	Bangor	MI	49013	
16953	20130630	First State Bank of Fertile	10186	Fertile	MN	56540	
17110	20130630	The Haverford Trust Company	26189	Radnor	PA	19087	
17147	20130630	First Merchants Bank, NA	4365	Muncie	IN	47305	
17259	20130630	The First National Bank In Marlow	26260	Marlow	OK	73055	
17464	20130630	Bank of the Cascades	22407	Bend	OR	977099906	
17950	20130630	Bank of Bridger NA	2224	Bridger	MT	59014	
17978	20130630	Elizabethton Federal Savings Bank	29904	Elizabethton	TN	37643	
18050	20130630	First National Bank of Bastrop	3091	Bastrop	TX	78602	
18135	20130630	South Central Bank, NA	19536	Chicago	IL	60607	
18377	20130630	Bally Savings Bank	34440	Bally	PA	19503	
18827	20130630	Farmers & Merchants Bank of Western Pennsylvania, N.A.	7900	Kittanning	PA	16201	
18836	20130630	CAPON VALLEY BANK	9998	WARDENSVILLE	WV	26851	
18854	20130630	Bank 7	4147	Oklahoma City	OK	73116	
19356	20130630	SECURITY BANK AND TRUST COMPANY	9881	MIAMI	OK	74354	
19730	20130630	Standard Bank and Trust Company	16606	Hickory Hills	IL	604572298	
19936	20130630	Citizens Bank of Americus, Inc.	15477	Americus	GA	31709	
19972	20130630	FARMERS BUILDING AND SAVINGS BANK	34711	ROCHESTER	PA	15074	
20053	20130630	Security Bank	10015	New Auburn	WI	54757	
20512	20130630	First National Bank of Port Allegany	7704	Port Allegany	PA	16743	
20633	20130630	MCNB Bank And Trust Co.	6803	Welch	WV	24801	
20857	20130630	Granite Falls Bank	10998	Granite Falls	MN	56241	
21256	20130630	State Bank of Burrton	16583	Burrton	KS	670200219	
21359	20130630	AMERICAN STATE BANK OF GRYGLA	22263	GRYGLA	MN	56727	
21630	20130630	Teche Bank & Trust Company	20041	St. Martinville	LA	70582	
21658	20130630	ALLIANCE BANK	12511	MONDOVI	WI	54755	
22048	20130630	UNION BANK & TRUST CO.	1753	MONTICELLO	AR	716570270	
22543	20130630	State Savings Bank	8162	Frankfort	MI	496351169	
22552	20130630	FIRST SOUTHEAST BANK	10576	HARMONY	MN	55939	
22730	20130630	West Union Bank	2452	West Union	WV	26456	
22936	20130630	Farmers & Merchants Bank	16673	Statesboro	GA	304592789	
23045	20130630	West Michigan  Bank & Trust	24471	Frankfort	MI	49635	
23456	20130630	The First National Bank of Henning	5162	Henning	MN	565510096	
23504	20130630	Bridgehampton National Bank	6976	Bridgehampton	NY	11932	
23643	20130630	Commercial Bank & Trust Company	90	Monticello	AR	71655	
23755	20130630	First National Community Bank	5357	New Richmond	WI	54017	
24006	20130630	Putnam County Savings Bank	15995	Brewster	NY	105090417	
24378	20130630	Galion Building and Loan Bank	32307	Galion	OH	44833	
24453	20130630	ROCKY MOUNTAIN BANK	24334	JACKSON	WY	83001	
24659	20130630	PRODUCE STATE BANK	10178	HOLLANDALE	MN	56045	
24668	20130630	BANK TEXAS, NATIONAL ASSOCIATION	3402	QUITMAN	TX	757831675	
