"IDRSSD"	RCON6979	TEXT6980	
	NO COMMENT-BK MANAGEMENT STATEMENT	BANK MANAGEMENT STATEMENT	
37	false		
242	false		
279	false		
354	false		
457	false		
505	false		
1155	false		
1351	false		
1454	false		
1669	false		
1856	false		
2040	false		
2161	false		
2376	false		
2554	false		
2732	false		
2750	false		
3252	false		
3458	false		
3720	false		
3971	false		
4156	false		
4231	false		
5069	false		
5135	false		
5210	false		
5461	false		
5751	false		
6039	false		
6329	false		
7009	false		
7045	false		
7072	false		
7456	false		
7634	false		
8033	false		
8462	false		
8631	false		
9357	false		
9553	false		
9807	false		
9955	false		
10250	false		
10849	false		
11145	false		
11640	false		
11837	false		
12030	false		
12142	false		
12179	false		
12311	false		
12647	false		
12656	false		
12937	false		
12946	false		
13103	false		
13251	false		
13457	false		
14052	false		
14155	false		
14650	false		
14753	false		
14865	false		
14977	false		
16551	false		
16748	false		
17110	false		
17147	false		
17259	false		
17950	false		
17978	false		
18050	false		
18135	false		
18827	false		
18836	false		
18854	false		
19356	false		
19936	false		
19972	false		
20053	false		
20633	false		
20857	false		
21256	false		
21359	false		
21658	false		
22048	false		
22543	false		
22552	false		
22730	false		
22936	false		
23456	false		
23504	false		
23643	false		
23755	false		
24006	false		
24378	false		
24453	false		
24659	false		
24668	false		
24949	false		
25357	false		
25647	false		
26176	false		
26242	false		
26457	false		
26765	false		
27070	false		
27548	false		
27614	false		
27847	false		
28013	false		
28152	false		
28255	false		
28406	false		
28675	false		
28732	false		
29476	false		
29636	false		
29878	false		
30052	false		
30502	false		
30650	false		
30810	false		
31134	false		
31255	false		
31657	false		
31826	false		
31835	false		
32234	false		
32766	false		
32971	false		
33147	false		
33259	false		
33268	false		
33370	false		
33839	false		
33857	false		
34425	false		
34434	false		
34452	false		
34537	false		
34555	false		
34742	false		
35057	false		
35301	false		
35570	false		
35646	false		
35879	false		
36456	false		
36933	false		
37051	false		
37341	false		
37435	false		
37640	false		
37659	false		
37949	false		
38740	false		
39327	false		
39756	false		
40033	false		
40499	false		
40855	false		
41245	false		
41553	false		
41629	false		
41825	false		
41937	false		
41955	false		
42037	false		
42354	false		
42372	false		
42420	false		
42448	false		
42457	false		
43052	false		
43351	false		
43856	false		
43959	false		
44040	false		
44433	false		
44741	false		
44750	false		
44929	false		
45038	false		
45047	false		
45056	false		
45430	false		
45458	false		
45551	false		
45560	false		
45775	false		
46053	false		
46941	false		
47247	false		
47256	false		
47452	false		
47500	false		
48057	false		
48150	false		
48374	false		
48440	false		
49054	false		
49148	false		
49241	false		
49652	false		
49858	false		
49951	false		
50144	false		
50461	false		
50872	false		
51253	false		
51356	false		
51459	false		
51842	false		
52719	false		
52951	false		
53051	false		
53752	false		
54049	false		
54058	false		
54441	false		
54656	false		
54973	false		
55336	false		
55635	false		
55653	false		
55970	false		
56258	false		
56351	false		
56548	false		
56557	false		
56717	false		
57040	false		
57451	false		
58225	false		
58243	false		
58355	false		
58551	false		
58636	false		
58757	false		
58971	false		
59316	false		
59352	false		
59370	false		
59754	false		
60143	false		
60330	false		
60545	false		
60554	false		
60648	false		
61122	false		
61355	false		
61476	false		
61757	false		
61832	false		
61953	false		
62044	false		
62110	true	This Report of Condition as of June 30, 2018 does not include any purchase price adjustments related to the acquisition of Rockefeller
Trust Company N.A. as of March 1, 2018 by entities controlled by Viking Global Investors LP. Such adjustments are still being determined	
62147	false		
62772	false		
63050	false		
63069	false		
63201	false		
63573	false		
63733	false		
63742	false		
63751	false		
64150	false		
64552	false		
64730	false		
65205	false		
65241	false		
65513	false		
65559	false		
65746	false		
65858	false		
66154	false		
66275	false		
66677	false		
67142	false		
67151	false		
67209	false		
67254	false		
67656	false		
67870	false		
68448	false		
68671	false		
68756	false		
68831	false		
68840	false		
68859	false		
69333	false		
69678	false		
70058	false		
70218	false		
70414	false		
70638	false		
70955	false		
71073	false		
71318	false		
71457	false		
71859	false		
72258	false		
72351	false		
72454	false		
72678	false		
73116	false		
73152	false		
73554	false		
73956	false		
74056	false		
74140	false		
74403	false		
74449	false		
75053	false		
75259	false		
75446	false		
75455	false		
75558	false		
75633	false		
75651	false		
76153	false		
76443	false		
76854	false		
77150	false		
77253	false		
77422	false		
77851	false		
78157	false		
78241	true	Line RI-A (2) - 12 is reported to reclass stranded tax amounts per guidance from our regulators from the State Bank Department & the FRB. This amount is also reported & explained in RI-E (4a).	
78559	false		
79042	false		
79127	false		
79145	false		
79257	false		
79855	false		
80150	false		
80374	false		
80431	false		
80552	false		
80936	false		
81175	false		
81429	false		
82033	false		
82257	false		
82350	false		
82659	false		
83151	false		
83236	false		
83375	false		
83638	false		
83834	false		
83852	false		
83955	false		
84046	false		
84541	false		
84804	false		
85052	false		
85258	false		
85454	false		
85472	false		
85931	false		
86349	false		
86358	false		
86554	false		
86675	false		
87047	false		
87159	false		
87234	false		
87476	false		
87579	false		
88231	false		
88240	false		
88259	false		
88352	false		
88455	false		
88772	false		
88950	false		
89032	false		
89135	false		
89854	false		
89957	false		
90047	false		
90177	false		
90328	false		
90337	false		
90579	false		
91615	false		
91651	false		
91754	false		
91950	false		
92144	false		
92676	false		
92706	false		
92902	false		
93244	false		
93543	false		
93619	false		
93758	false		
94139	false		
94522	false		
94755	false		
94858	false		
95051	false		
95659	false		
95677	false		
96553	false		
97055	false		
97279	false		
97457	false		
97804	false		
97943	false		
98351	false		
98463	false		
98717	false		
99143	false		
99255	false		
99376	false		
99442	false		
99536	false		
99853	false		
100236	false		
100357	false		
100562	false		
100777	false		
100843	false		
101019	false		
101037	false		
101439	false		
101671	false		
101738	false		
101952	false		
102155	false		
