"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	12621	0	0	34738	0	479	185	895	85145	66853	288	67141	0	1044	0	0	0	18004	1200	85145	0	0	12602	0	0	3500	0	7315	59538	1	1231	0	37271	36227	702	0	0	0	0	18004	
242																																							3568	860	0	0	9219	0	275	0	514	36367	27247	26	31570	0	170	0	4297	0	4797	120	36367	0	0	4208	0	0	120	0	6545	20702	4	1231	0	20728	20558	349	1373	0	0	0	4797	
279																																							4051	2317	44	46159	11309	264	6166	47	2555	150311	111374	722	125725	0	511	0	13629	0	24586	1	150311	0	0	24106	0	0	0	0	7354	104020	1	1231	0	76200	75689	479	1710	0	0	0	24586	
354																																							99	332	0	0	5646	0	27	0	150	10580	9563	6	9569	0	173	0	0	0	1011	25	10580	0	0	466	0	0	500	0	2864	6699	5	1231	0	3800	3627	20	699	0	0	0	1011	
457																																							1559	459	0	172	457	0	110	195	1176	37848	31941	85	34526	0	377	0	2500	0	3322	60	37848	0	0	525	0	0	2740	0	3964	27977	4	1231	0	31939	31562	-3	2158	0	0	0	3322	
505																																							59143	1143	156	0	70998	0	10844	98	14228	394776	315710	2913	364123	52	4132	1595	45500	0	30601	6480	394776	0	0	14834	0	0	10653	761	44988	270722	2	1231	0	239942	235810	-1366	0	0	0	0	30653	
1155																																							51500	5625	0	110	23108	0	4176	4829	7032	223845	193312	1800	204463	0	2935	0	0	0	19382	1600	223845	0	0	12262	0	0	4900	477	23478	169834	5	1231	0	129923	126988	620	0	0	0	9351	19382	
1351																																							0	5276	0	74839	3597	0	1045	332	1590	162125	142861	587	143448	0	1428	0	0	0	18677	240	162125	0	0	17810	0	0	530	0	14514	128347	4	12 31	0	71251	69823	97	5623	0	0	0	18677	
1454																																							71721	18838	0	0	264256	0	4899	0	10961	594091	534008	1156	535164	0	3016	0	0	0	58927	1000	594091	0	0	52406	0	0	1214	2100	147354	386654	2	1231	0	224332	221316	4307	0	0	0	0	58927	
1557																																							3226	1833	0	15787	4521	0	280	0	1307	68468	60032	570	62720	0	371	0	2118	0	5748	200	68468	0	0	4508	0	0	1000	0	21723	38309	4	1231	0	33907	33536	40	7978	0	0	0	5748	
1669																																							22543	7933	645	63137	61010	0	2455	68	9857	247641	202264	697	202961	0	3248	0	0	0	44680	800	247641	0	0	41599	0	0	800	0	43211	159053	8	1230	0	83241	79993	1481	0	0	0	0	44680	
1829																																							25802	3893	309	0	97623	0	3682	37	6403	405126	341255	1332	361409	0	4164	8144	15220	0	43718	390	405127	0	0	38597	0	0	3100	0	78538	262717	2	1231	0	263397	259233	1631	0	0	0	3602	43718	
1856																																							25600	555	0	597	28434	0	414	45	3593	114608	65117	188	95305	0	824	98	30000	0	19304	500	114609	0	0	991	0	0	17782	0	2331	62785	4	1231	0	56096	55272	31	0	0	0	0	19304	
2040																																							4907	2900	0	0	47216	0	3107	114	7089	202142	156070	888	181171	0	3623	0	20000	0	20971	480	202142	0	0	15741	0	0	4270	98	15280	140790	4	1231	0	118101	114478	480	22233	0	0	4213	20971	
