"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	
37																																								5620	1510	0	0	48308	0	312	36	1176	81677	67083	112	67195	0	1019	0	0	0	14482	1200	81677	0	0	10278	0	0	3500	0	16276	50808	1a	1231	0	25734	24715	-496	0	0	0	0	14482		
242																																								2566	638	0	0	11998	0	266	0	477	43646	33916	18	38434	0	184	0	4500	0	5212	120	43646	0	0	5097	0	0	120	0	8316	25600	4	1231	0	25298	25114	-125	2587	0	0	0	5212		
279																																								3052	3333	26	43718	15860	0	5209	575	7865	216812	169480	1081	187680	0	970	0	17119	0	29132	1	216812	0	0	29360	0	0	0	0	14582	154898	1a	1231	0	136402	135432	-229	1742	0	0	0	29132		
354																																								1670	229	0	746	143	0	33	0	126	8616	7279	2	7281	0	126	0	0	0	1335	100	8616	0	0	305	0	0	936	1	2440	4840	4	1231	0	3600	3474	-6	2194	0	0	0	1335		
457																																								3921	1184	0	48	249	0	280	329	1396	48513	37392	60	43452	0	485	0	6000	0	5061	60	48513	0	0	1061	0	0	3940	0	7376	30016	4	1231	0	41543	41058	0	48	0	0	0	5061		
505																																								6280	3836	44	0	72407	0	10620	0	14300	504128	431249	4392	465941	59	5001	1595	30300	0	38128	6480	504128	0	0	24412	0	0	10653	276	76314	354935	2a	1231	0	399771	394770	-3417	0	0	0	0	38187		
1155																																								14528	7897	0	21	25218	0	4292	1914	7319	233108	207007	2038	212066	0	3470	0	0	0	21042	1600	233108	0	0	14889	0	0	4900	0	25773	181234	5	1231	0	175389	171919	-347	0	0	0	3021	21042		
1351																																								0	2980	0	44955	5110	0	4738	504	1684	151336	124181	381	126319	0	1218	0	0	0	25017	240	151336	0	0	24411	0	0	530	0	20571	103610	4	1231	0	92583	91365	-164	0	0	1757	0	25017		
1454																																								32737	10559	0	0	397634	0	3844	0	13239	709088	630006	2646	632652	0	3328	0	0	0	76436	1000	709088	0	0	83453	0	0	1214	1270	172280	457726	2a	1231	0	253133	249805	-9231	0	0	0	0	76436		
