"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							3563	2082	43898	0	0	276	0	876	74991	58700	199	58899	0	996	0	0	16092	1200	74991	0	0	10910	0	0	3500	0	15545	43155			0	25292	24296	482	0	0	0	0	16092		0	
242																																							3090	937	12467	0	0	247	0	398	42778	34081	44	37725	0	186	3600	0	5053	120	42778	0	0	4685	0	0	120	0	8016	26065			0	23762	23576	128	2063	0	0	0	5053		0	
279																																							21040	4078	13289	0	881	6161	24	8008	261498	205211	1495	231141	0	1031	24435	0	30357	1	261498	0	0	30249	0	0	0	0	25692	179519			0	172061	171030	107	1644	0	0	0	30357		35343	
354																																							1435	1402	1149	0	0	87	0	177	13926	12437	100	12537	0	153	0	0	1389	100	13926	0	0	353	0	0	936	1374	5625	6812			0	7637	7484	0	818	0	0	0	1389		0	
457																																							246	954	3	0	0	304	86	1472	53879	42510	1493	49503	0	492	5500	0	4376	60	53879	0	0	376	0	0	3940	0	7366	35144			0	47347	46855	0	3922	0	0	0	4376		37	
505																																							6248	4231	66398	0	1670	10549	161	14062	549782	449729	5182	499691	55	5961	44780	0	50036	6480	549782	0	0	28614	0	0	18403	0	79001	370728			0	452124	446163	-3461	300	0	0	0	50091		0	
1155																																							15562	8937	24708	0	0	4090	980	7776	257179	231135	2128	233263	0	3721	0	0	23916	1600	257179	0	0	17239	0	0	4900	0	31932	199203			0	190558	186837	177	8274	0	0	0	23916	0	15	
1351																																							8997	4387	9953	0	0	4802	266	1998	166540	139436	695	140131	0	1084	0	0	26409	240	166540	0	0	25658	0	0	530	0	19749	119687			0	97989	96905	-19	0	0	0	0	26409		39232	
1454																																							45782	13372	398023	0	0	3961	0	14648	740537	643518	3216	646734	0	3400	0	0	93803	1000	740537	0	0	90153	0	0	1214	2286	208944	434574			0	265865	262465	1436	0	0	0	0	93803		0	
