"IDRSSD"	RCFD0071	RCFD0081	RCFD1754	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1754	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	
37																																							2143	1541	0	42524	0	0	288	94	1254	74506	59939	289	60228	0	984	0	0	14278	1200	74506	0	0	10586	0	0	3500	0	14015	45924			0	27646	26662	-1008	0	0	0	0	14278		
242																																							2665	1155	0	12637	0	0	267	8	425	44277	36101	25	39626	0	184	3500	0	4651	120	44277	0	0	4628	0	0	120	0	10035	26066			0	24533	24349	-217	2771	0	0	0	4651		
279																																							6330	3248	40667	14410	0	24	5379	304	8022	227796	171603	1453	198381	0	974	25325	0	29415	1	227796	0	0	29753	0	0	0	0	15884	155719			0	148559	147585	-339	1827	0	0	0	29415		
354																																							1185	387	498	1136	0	0	41	0	160	9914	8569	4	8573	0	154	0	0	1341	100	9914	0	0	314	0	0	936	36	3080	5489			0	4962	4808	-9	1663	0	0	0	1341		
457																																							1012	1237	45	249	0	0	246	31	1577	50720	38445	207	45471	0	454	5500	0	5249	60	50720	0	0	1249	0	0	3940	0	6473	31972			0	46777	46323	0	0	0	1319	0	5249		
505																																							689	10436	0	63986	0	1656	10229	0	13934	518435	441251	4211	470992	58	5327	25530	0	47385	6480	518435	0	0	26327	0	0	18403	0	94132	347120			0	422832	417505	-3825	0	0	0	0	47443	0	
1155																																							16243	6761	19	24568	0	0	4210	980	7358	240880	217251	2049	219300	0	3433	0	0	21580	1600	240880	0	0	15570	0	0	4900	0	21641	195610			0	184174	180741	-490	0	0	0	0	21580		
1351																																							0	4649	43247	4935	0	0	4696	279	1657	155525	129408	695	130103	0	1238	0	0	25422	240	155525	0	0	24858	0	0	530	0	19786	109622			0	96421	95183	-206	879	0	0	0	25422		
1454																																							48015	13900	0	380113	0	0	3862	0	13319	716641	637598	3256	640854	0	3399	0	0	75787	1000	716641	0	0	85852	0	0	1214	979	198740	438858			0	259852	256453	-12279	0	0	0	0	75787		
