"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								10723										
242								2031										
279								10153										
354								289										
457																		
505								54712	0		0	0	1381		0	194	53137	
1155								32281										
1351								5544										
1454								114227	4618		0	0	7686		0	1687	100236	
1557								4876										
1669								30021										
1829								11278	2444		0	0	2191		0	3021	3622	
1856								56811										
2040								7622										
2161								15579										
2376								9571	0		0	0	3414		0	5858	299	
2554								4543										
2732								145049	2192		0	0	3173		0	9560	130124	
2750								3176										
3177								80307	874		0	0	7638		0	995	70800	
3252								5566										
3458								1157										
3720								22583										
3971								50874	4004		0	0	5271		0	41523	76	
4156																		
4231								17970										
4437								21059										
4839								16132	554		0	0	1734		0	12418	1426	
5069								48448	1004		0	0	201		0	799	46444	
5135								83046	5633		0	0	4268		0	241	72904	
5210								19673	6243		0	0	7200		0	2847	3383	
5461								20100	8693		0	0	6295		0	4668	444	
5751								5108										
6039								16398										
6141								8007										
6329								45202	126		0	0	7392		0	8424	29260	
7009								10599	274		2000	0	15		0	8285	25	
7045								5223										
7072								3643										
7157								674										
7456								6158										
7634								5686										
8033								28128										
8462								33004										
8631								16363										
9357								42584	5359		0	0	291		0	1026	35908	
9553								10837										
9807								95005	7931		0	0	5100		0	7870	74104	
9955																		
10250								28052	2689		0	0	1726		11637	0	12000	
10849								23453	434		0	0	1071		0	7952	13996	
11145								5872										
11275								70403	9735		0	0	5839		0	1560	53269	
11640								6257	443		0	0	2966		0	2007	841	
11837								22952										
12030								49524	0		0	0	4805		0	25902	18817	
12142								10446										
12179								7140										
