"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
37												
242												
279												
354												
457												
505												
1155												
1351												
1454												
1669												
1856												
2040												
2161												
2376						19061	0	0	2876	15799	386	
2554												
2732												
2750												
3252												
3458												
3720												
3971												
4156												
4231												
5069												
5135												
5210						40906	11909	0	8190	2807	18000	
5461												
5751												
6039												
6329						38643	1	0	12882	13784	11976	
7009												
7045												
7072												
7456												
7634												
8033												
8462												
8631												
9357						45557	9498	0	309	6144	29606	
9553												
9807						105274	7664	0	5870	8017	83723	
9955												
10250												
10849												
11145												
11640												
11837												
12030												
12142												
12179												
12311	2592121	978011	1808	47976	1564326	2592121	414085	1808	563926	47976	1564326	
12647												
12656												
12937												
12946						61720	15665	0	7561	2012	36482	
13103						31379	13379	0	3373	2449	12178	
13251												
13457												
14155												
14650												
14753												
14865												
14977												
16551												
16748												
17110												
17147						170007	0	0	44863	118030	7114	
17259												
17950												
17978												
18050												
18135												
18827						27047	10215	0	8277	3587	4968	
18836												
18854						159894	14653	0	1875	31788	111578	
19356												
19936												
19972												
20053												
20633												
20857												
21256												
21359												
21658												
22048												
22543												
22552												
22730												
22936												
23456												
23504						295368	104283	0	30301	8647	152137	
23643												
23755												
24006						139905	5845	0	4254	9093	120713	
24378												
24453												
24659												
24668						56462	14231	0	3579	1949	36703	
24949												
25357												
25647												
26176												
26242												
26457												
26765						172429	9904	0	14230	138508	9787	
27070												
