"IDRSSD"	RCFD0211	RCFD0213	RCFD0416	RCFD1286	RCFD1287	RCFD1737	RCFD1738	RCFD1739	RCFD1741	RCFD1742	RCFD1743	RCFD1744	RCFD1746	RCFD1754	RCFD1771	RCFD1772	RCFD1773	RCFD1778	RCFD8496	RCFD8497	RCFD8498	RCFD8499	RCFD8782	RCFD8783	RCFDA248	RCFDA510	RCFDA511	RCFDA549	RCFDA550	RCFDA551	RCFDA552	RCFDA553	RCFDA554	RCFDA555	RCFDA556	RCFDA557	RCFDA558	RCFDA559	RCFDA560	RCFDA561	RCFDA562	RCFDB838	RCFDB839	RCFDB840	RCFDB841	RCFDB842	RCFDB843	RCFDB844	RCFDB845	RCFDB846	RCFDB847	RCFDB848	RCFDB849	RCFDB850	RCFDB851	RCFDB852	RCFDB853	RCFDB854	RCFDB855	RCFDB856	RCFDB857	RCFDB858	RCFDB859	RCFDB860	RCFDB861	RCFDC026	RCFDC027	RCFDC988	RCFDC989	RCFDG300	RCFDG301	RCFDG302	RCFDG303	RCFDG304	RCFDG305	RCFDG306	RCFDG307	RCFDG308	RCFDG309	RCFDG310	RCFDG311	RCFDG312	RCFDG313	RCFDG314	RCFDG315	RCFDG316	RCFDG317	RCFDG318	RCFDG319	RCFDG320	RCFDG321	RCFDG322	RCFDG323	RCFDG348	RCFDG349	RCFDG350	RCFDG351	RCFDG352	RCFDG353	RCFDG354	RCFDG355	RCFDG356	RCFDG357	RCFDG358	RCFDG359	RCFDG360	RCFDG361	RCFDG362	RCFDG363	RCFDG364	RCFDG365	RCFDG366	RCFDG367	RCFDG368	RCFDG369	RCFDG370	RCFDG371	RCFDG372	RCFDG373	RCFDG374	RCFDG375	RCFDHT50	RCFDHT51	RCFDHT52	RCFDHT53	RCFDHT58	RCFDHT59	RCFDHT60	RCFDHT61	RCFDK142	RCFDK143	RCFDK144	RCFDK145	RCFDK146	RCFDK147	RCFDK148	RCFDK149	RCFDK150	RCFDK151	RCFDK152	RCFDK153	RCFDK154	RCFDK155	RCFDK156	RCFDK157	RCON0211	RCON0213	RCON0416	RCON1286	RCON1287	RCON1737	RCON1738	RCON1739	RCON1741	RCON1742	RCON1743	RCON1744	RCON1746	RCON1754	RCON1771	RCON1772	RCON1773	RCON1778	RCON8496	RCON8497	RCON8498	RCON8499	RCON8782	RCON8783	RCONA248	RCONA510	RCONA511	RCONA549	RCONA550	RCONA551	RCONA552	RCONA553	RCONA554	RCONA555	RCONA556	RCONA557	RCONA558	RCONA559	RCONA560	RCONA561	RCONA562	RCONB838	RCONB839	RCONB840	RCONB841	RCONB842	RCONB843	RCONB844	RCONB845	RCONB846	RCONB847	RCONB848	RCONB849	RCONB850	RCONB851	RCONB852	RCONB853	RCONB854	RCONB855	RCONB856	RCONB857	RCONB858	RCONB859	RCONB860	RCONB861	RCONC026	RCONC027	RCONC988	RCONC989	RCONG300	RCONG301	RCONG302	RCONG303	RCONG304	RCONG305	RCONG306	RCONG307	RCONG308	RCONG309	RCONG310	RCONG311	RCONG312	RCONG313	RCONG314	RCONG315	RCONG316	RCONG317	RCONG318	RCONG319	RCONG320	RCONG321	RCONG322	RCONG323	RCONG348	RCONG349	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-HLD-TO-MAT-FAIR VALUE	PLEDGED SECURITIES-BOOK VLAUE	US TREAS SECS-AVL-FOR-SLE-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-AMR	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-FAI	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-AMR	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-FAI	FGN DEBT SECS-HELD-TO-MATR-AMRTZ COS	FGN DEBT SECS-HELD-TO-MATR-FAIR VALU	FGN DEBT SECS-AVL-FOR-SALE-AMRTZ COS	FGN DEBT SECS-AVL-FOR-SALE-FAIR VALU	HELD-TO-MATURITY SECURITIES	TOTL SECS-HELD-TO-MATRTY-FAIR VALUE	TOTL SECS-AVL-FOR-SALE-AMRTZ COST	AVAILABLE-FOR-SALE SECURITIES	AMRTZ COST OF HLD-TO-MAT SECS SOLD	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	AMORTIZED COST OF STRUCTURED NOTES	FAIR VALUE OF STRUCTURED NOTES	FXD&FLTG RT DEBT SECS MAT 1 YR OR LE	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECS ISD BY US TREAS,ETC 3 MOS LESS	SECS ISD BY US TREAS,ETC OV 3-12 MOS	SECS ISD BY US TREAS,ETC OV 1-3 YRS	SECS ISD BY US TREAS,ETC OV 3-5 YRS	SECS ISD BY US TREAS,ETC OV 5-15 YRS	SECS ISD BY US TREAS,ETC OVER 15 YRS	MTGE PASS-THRU SECS MAT 3 MONTHS LES	MTGE PASS-THRU SECS MAT OV 3-12 MTHS	MTGE PASS-THRU SECS MAT OV 1 - 3 YRS	MTGE PASS-THRU SECS MAT OV 3 - 5 YRS	MTGE PASS-THRU SECS MAT OV 5 - 15 YR	MTGE PASS-THRU SECS MAT OVER 15 YEAR	OTHER MTG-BCKD SECS 3 YEARS OR LESS	OTHER MTG-BCKD SECS OVER 3 YEARS	HTM(COST): ABS - CREDIT CARD RECEIV	HTM(FAIR): ABS - CREDIT CARD RECEIV	AFS(COST): ABS - CREDIT CARD RECEIV	AFS(FAIR): ABS - CREDIT CARD RECEIV	HTM(COST): ABS - HOME EQUITY LINES	HTM(FAIR): ABS - HOME EQUITY LINES	AFS(COST): ABS - HOME EQUITY LINES	AFS(FAIR): ABS - HOME EQUITY LINES	HTM(COST): ABS - AUTOMOBILE LOANS	HTM(FAIR): ABS - AUTOMOBILE LOANS	AFS(COST): ABS - AUTOMOBILE LOANS	AFS(FAIR): ABS - AUTOMOBILE LOANS	HTM(COST): ABS- OTHER CONSUMER LOANS	HTM(FAIR): ABS- OTHER CONSUMER LOANS	AFS(COST): ABS- OTHER CONSUMER LOANS	AFS(FAIR): ABS- OTHER CONSUMER LOANS	HTM(COST): ABS- COMMRCIAL &IND LOANS	HTM(FAIR): ABS- COMMRCIAL &IND LOANS	AFS(COST): ABS- COMMRCIAL &IND LOANS	AFS(FAIR): ABS- COMMRCIAL &IND LOANS	HTM(COST): ASSET BACKED SEC - OTHER	HTM(FAIR): ASSET BACKED SEC - OTHER	AFS(COST): ASSET BACKED SEC - OTHER	AFS(FAIR): ASSET BACKED SEC - OTHER	HTM(COST):TOTL ASSET-BACK SEC - DERV	AFS(FAIR):TOTL ASSET-BACK SEC -DERV	ASSET-BACKED SECURITIES: HTM-FAIR VA	ASSET-BACKED SECURITIES:AFS-AMTZD CO	MBS RPTS GUAR GNMA HTM AMRTZ	MBS RPTS GUAR GNMA HTM FV	MBS RPTS GUAR GNMA AFS AMRTZ	MBS RPTS GUAR GNMA AFS FV	MBS RPTS ISS FNMA FHLMC HTM AMRTZ	MBS RPTS ISS FNMA FHLMC HTM FV	MBS RPTS ISS FNMA FHLMC AFS AMRTZ	MBS RPTS ISS FNMA FHLMC AFS FV	MBS RPTS OTHR PT SCTY HTM AMRTZ COST	MBS RPTS OTHR PT SCTY HTM FV	MBS RPTS OTHR PT SCTY AFS AMRTZ COST	MBS RPTS OTHR PT SCTY AFS FV	MBS OTHR RES ISS GUAR FFG HTM AMRTZ	MBS OTHR RES ISS GUAR FFG HTM FV	MBS OTHR RES ISS GUAR FFG AFS AMRTZ	MBS OTHR RES ISS GUAR FFG AFS FV	MBS OTHR RES CLTRL ISS GUAR FFG HTM	MBS OTHR RES CLTRL ISS GUAR FFG H FV	MBS OTHR RES CLTRL ISS GUAR FFG AFS	MBS OTHR CLTRL MBS ISS GUAR FFG A FV	MBS OTHR OTHR RES MBS HTM AMRTZ	MBS OTHR OTHR RES MBS HTM FV	MBS OTHR OTHR RES MBS AFS AMRTZ	MBS OTHR OTHR RES MBS AFS FV	SFP TPS ISS FNC INST HTM AMRTZ COST	SFP TPS ISS FNC INST HTM FV	SFP TPS ISS FNC INST AFS AMRTZ COST	SFP TPS ISS FNC INST AFS FV	SFP TPS ISS RE INV TR HTM AMRTZ COST	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-HLD-TO-MAT-FAIR VALUE	PLEDGED SECURITIES-BOOK VLAUE	US TREAS SECS-AVL-FOR-SLE-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-AMR	OTHR DOMSTC DEBT SECS-HLD-TO-MAT-FAI	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-AMR	OTHR DOMSTC DEBT SECS-AVL-FR-SLE-FAI	FGN DEBT SECS-HELD-TO-MATR-AMRTZ COS	FGN DEBT SECS-HELD-TO-MATR-FAIR VALU	FGN DEBT SECS-AVL-FOR-SALE-AMRTZ COS	FGN DEBT SECS-AVL-FOR-SALE-FAIR VALU	HELD-TO-MATURITY SECURITIES	TOTL SECS-HELD-TO-MATRTY-FAIR VALUE	TOTL SECS-AVL-FOR-SALE-AMRTZ COST	AVAILABLE-FOR-SALE SECURITIES	AMRTZ COST OF HLD-TO-MAT SECS SOLD	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	AMORTIZED COST OF STRUCTURED NOTES	FAIR VALUE OF STRUCTURED NOTES	FXD&FLTG RT DEBT SECS MAT 1 YR OR LE	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECS ISD BY US TREAS,ETC 3 MOS LESS	SECS ISD BY US TREAS,ETC OV 3-12 MOS	SECS ISD BY US TREAS,ETC OV 1-3 YRS	SECS ISD BY US TREAS,ETC OV 3-5 YRS	SECS ISD BY US TREAS,ETC OV 5-15 YRS	SECS ISD BY US TREAS,ETC OVER 15 YRS	MTGE PASS-THRU SECS MAT 3 MONTHS LES	MTGE PASS-THRU SECS MAT OV 3-12 MTHS	MTGE PASS-THRU SECS MAT OV 1 - 3 YRS	MTGE PASS-THRU SECS MAT OV 3 - 5 YRS	MTGE PASS-THRU SECS MAT OV 5 - 15 YR	MTGE PASS-THRU SECS MAT OVER 15 YEAR	OTHER MTG-BCKD SECS 3 YEARS OR LESS	OTHER MTG-BCKD SECS OVER 3 YEARS	HTM(COST): ABS - CREDIT CARD RECEIV	HTM(FAIR): ABS - CREDIT CARD RECEIV	AFS(COST): ABS - CREDIT CARD RECEIV	AFS(FAIR): ABS - CREDIT CARD RECEIV	HTM(COST): ABS - HOME EQUITY LINES	HTM(FAIR): ABS - HOME EQUITY LINES	AFS(COST): ABS - HOME EQUITY LINES	AFS(FAIR): ABS - HOME EQUITY LINES	HTM(COST): ABS - AUTOMOBILE LOANS	HTM(FAIR): ABS - AUTOMOBILE LOANS	AFS(COST): ABS - AUTOMOBILE LOANS	AFS(FAIR): ABS - AUTOMOBILE LOANS	HTM(COST): ABS- OTHER CONSUMER LOANS	HTM(FAIR): ABS- OTHER CONSUMER LOANS	AFS(COST): ABS- OTHER CONSUMER LOANS	AFS(FAIR): ABS- OTHER CONSUMER LOANS	HTM(COST): ABS- COMMRCIAL &IND LOANS	HTM(FAIR): ABS- COMMRCIAL &IND LOANS	AFS(COST): ABS- COMMRCIAL &IND LOANS	AFS(FAIR): ABS- COMMRCIAL &IND LOANS	HTM(COST): ASSET BACKED SEC - OTHER	HTM(FAIR): ASSET BACKED SEC - OTHER	AFS(COST): ASSET BACKED SEC - OTHER	AFS(FAIR): ASSET BACKED SEC - OTHER	HTM(COST):TOTL ASSET-BACK SEC - DERV	AFS(FAIR):TOTL ASSET-BACK SEC -DERV	ASSET-BACKED SECURITIES: HTM-FAIR VA	ASSET-BACKED SECURITIES:AFS-AMTZD CO	MBS RPTS GUAR GNMA HTM AMRTZ	MBS RPTS GUAR GNMA HTM FV	MBS RPTS GUAR GNMA AFS AMRTZ	MBS RPTS GUAR GNMA AFS FV	MBS RPTS ISS FNMA FHLMC HTM AMRTZ	MBS RPTS ISS FNMA FHLMC HTM FV	MBS RPTS ISS FNMA FHLMC AFS AMRTZ	MBS RPTS ISS FNMA FHLMC AFS FV	MBS RPTS OTHR PT SCTY HTM AMRTZ COST	MBS RPTS OTHR PT SCTY HTM FV	MBS RPTS OTHR PT SCTY AFS AMRTZ COST	MBS RPTS OTHR PT SCTY AFS FV	MBS OTHR RES ISS GUAR FFG HTM AMRTZ	MBS OTHR RES ISS GUAR FFG HTM FV	MBS OTHR RES ISS GUAR FFG AFS AMRTZ	MBS OTHR RES ISS GUAR FFG AFS FV	MBS OTHR RES CLTRL ISS GUAR FFG HTM	MBS OTHR RES CLTRL ISS GUAR FFG H FV	MBS OTHR RES CLTRL ISS GUAR FFG AFS	MBS OTHR CLTRL MBS ISS GUAR FFG A FV	MBS OTHR OTHR RES MBS HTM AMRTZ	MBS OTHR OTHR RES MBS HTM FV	MBS OTHR OTHR RES MBS AFS AMRTZ	MBS OTHR OTHR RES MBS AFS FV	SFP TPS ISS FNC INST HTM AMRTZ COST	SFP TPS ISS FNC INST HTM FV	
37																																																																																																																																																		0	0	23815	0	0	0	0	0	0	0	0	0	0	0	0	42830	42740		0	0	29456	29581	2199	2184	309	0	0	0	309	754	1110	28166	5654	0	0	0	0	2561	4185	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
242																																																																																																																																																		0	0	4478	1383	1389	0	0	401	398	0	0	0	0	0	0	14026	14061		0	0	5798	5840	0	0	1853	3	6	460	1393	4963	4091	3148	0	0	0	0	0	0	0	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
279																																																																																																																																																		0	0	1623	0	0	0	0	0	0	0	0	0	0	36825	36022	13913	13566		6680	6638	870	881	0	0	377	0	0	0	377	713	1236	5236	0	0	0	2366	1794	37452	1219	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
354																																																																																																																																																		250	249	447	496	496	0	0	0	0	0	0	0	0	250	249	1148	1144		0	0	0	0	0	0	260	0	0	250	999	0	146	0	0	0	0	0	0	0	0	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
457																																																																																																																																																		0	0	0	0	0	0	0	0	0	0	0	0	0	41	46	3	3		40	45	0	0	0	0	0	3	3	0	0	0	0	47	0	0	0	0	0	0	3	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
505																																																																																																																																																		0	0	66479	0	0	0	0	3403	3292	0	0	0	0	0	0	70143	70131		0	0	20963	21104	0	0	6376	0	0	4448	4206	3048	8020	4674	0	532	65	0	184	41914	2680	0	359																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	359			
1155																																																																																																																																																		0	0	14716	1000	992	0	0	0	0	0	0	0	0	18	18	24108	24090		0	0	10439	10468	285	293	2484			275	2484	5447	4183	11701	0	14	0	0	0	0	4	0	0																									0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1351																																																																																																																																																		0	0	29084	0	0	0	0	0	0	0	0	0	0	40287	39839	7528	7456		19949	19881	0	0	0	0	3126	0	0	1000	2126	20868	13052	9266	0	0	0	0	379	531	0	197	325																									0	0	0	0									0	0	0	0	197	193	330	325	0	0	0	0	0	0	0	0			
1454																																																																																																																																																		0	0	40812	36476	36466	0	0	0	0	0	0	0	0	0	0	397452	394406		0	0	96023	96650	82935	81574	46618	9	65	29343	55832	105381	67594	91779	16657	0	0	0	0	3462	3747	3591	16955																									0	0	0	0									0	0	0	0	0	0	20213	20546	0	0	0	0	0	0	0	0			
