"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLG24	RCONLG25	RIADG377	
	REAL ESTATE LOANS, TOTAL	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	PLDG LN AND LEASE	TOTAL LOANS RESTRUCTURED IN TROUBLED	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN FI AGRI	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN SEC 1-4 RES PROP IN DMST OFC	LN SEC 1-4 RES PROP IN PROC OF FCLS	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	CNSTRCTN DEV & OTHR AMT LN INT RSRV	PLDG LN AND LEASE	LOANS LEASES FAIR VALUE	LOANS LEASES GROSS CONTR	LOANS LEASES BEST ESTIMATE	TOTAL LOANS RESTRUCTURED IN TROUBLED	ALL OTHR LN (EXCLUDE CONSUMER LN)	LN NDEP FNCL INST	OTHER LOANS	HECM REVERSE MTG	PROPRIETARY REVERSE MTG	EST NBR FEE PAID RFRL HECM REVERSE M	EST NBR FEE PAID PROPRIETARY REVERSE	PRIN AMT SOLD HECM REVERSE MTG	PRIN AMT SOLD PROPRIETARY REVERSE MT	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CNST LAND DEV 1-4 FAM 	LN RSTRCT DBT CNST LAND DEV OTHR CNS	LN RSTRCT DBT CNST LAND DEV MULTI NO	LN LAND DEV NFARM NRES SCD OWN OCC N	LN DBT LAND DEV NFARM NRES SCD NFARM	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN SCD FARM	ITEMIZE DBT RSTRCT LN FI AGRI	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CMRL	Number of outstanding Section 4013 l	Outstanding balance of Section 4013	CNSTRCTN DEV & OTHR AMT INT CAP	
37																																																															0	652	0		81			3531	10		3401	24556	0	0	0	10995	11	0	7810	389	1212	2373	3638	3383	0	525	5684	3069	2746	1422	0				0	0			0	0	0	233	1040	798			0			0	0													0	0	0	0	0	0		0	46							0	2556	0	0	0	0	0			0	0		0	0	1202	0	CONF	CONF	0	
242																																																															0	3790	0		2719			1465	0		131	24580	0	0	0	10404	156	0	11700	413	817	2546	3869	2759	0	6784	3686	1537	1676	493	0				0	0			0	0	0	0	0	3175			0			71	0														10404	0	0	0	79		0	12							0	1621	0	0	0	0	0			0	0	0	0	0	1107	8	CONF	CONF		
279																																																															0	5237	396		468			9998	174		193	196912	0	0	0	130896	2517	51	27503	58	164	1311	8916	31774	88400	10958	17606	1069	20811	12080	3102				0	0			0	0	11144	7871	9858	13920			0			87	0													0	30892	0	0	0	440		0	39							0	698	0	0	0	0	327			0	0		0	0	3503	26	CONF	CONF	0	
354																																																															0	187	190		1784			1872	0		0	10478	0	0	0	5492	0	303	3461	116	1240	236	1356	20	2525	890	1998	1189	615	260	0				0	0			0	0	0	0	55	0			0			0	0													0	0	0	0	0	0		0	1							0	840	0	0	0	0	0			0	0	0	0	0	57	0	CONF	CONF	0	
457																																																																5219	1129		5819			8662	686		1303	46352	0	0	0	12218	1070	110	16638	639	2254	3610	4215	1352	0	4348	10254	11424	5529	1410	1157				0	0			0	0	1383	1430	3550	1178			0			77	0														22296	0	0	0	77		0	15							0	1356	0	0	0	0	0			0	0	0	0	0	1334	0	CONF	CONF		
505																																																															0	125	36969		0			63544	14901		5342	505613	1489	0	1517	197024	2780	20987	19317	631	4397	1909	1913	67571	119661	51556	6473	68684	75010	93063	14347				0	375			0	0	8023	26004	40239	82136			0			333	137														282807	0	0	0	333		2253	39							0	2446	0	0	0	0	0			0	0	0	0	0	24902	0	CONF	CONF		
1155																																																																8535	1257		10897			59105	768		4212	205820	0	0	0	51439	3067	788	59827	3522	6702	18642	19282	3096	0	31192	24725	42638	42064	13192	570				385	127			0	0	5804	17709	22881	9502			0			125	0														110476	0	0	0	125		0	4863							0	1585	0	0	0	0	0			0	0		0	0	3684	0	CONF	CONF		
1351																																																															0	9581	0		9587			22372	0		0	108220	0	0	0	21653	0	21180	64008	2431	6328	5597	6261	562	0	15910	39339	15506	9955	2874	941				0	0			0	0	932	76	31221	0			0			2243	0														0	0	0	0	10141		0	173							0	7100	0	0	0	4060	0			1212	0	0	0	0	5525	2626	CONF	CONF		
1454																																																																6859	5483		4599			78660	8685		0	336242	2491	896	8745	96080	1315	2133	13549	2399	358	820	3618	39699	49186	13404	9689	71128	51825	87770	7743				0	495			0	0	1416	20969	46915	50598			0			0	0														0	0	0	0	3279		0	21							0	11216	0	0	0	934	782			0	0	0	0	0	4526	1563	CONF	CONF		
