"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK167	RCFDK168	RCFDK195	RCFDK196	RCFDK203	RCFDK204	RCFDK207	RCFDK208	RCFDK209	RCFDK212	RCFDK267	RCFNK289	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK167	RCONK168	RCONK195	RCONK196	RCONK203	RCONK204	RCONK207	RCONK208	RCONK209	RCONK212	RCONK256	RCONK267	RIADG377	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	CMRCL IND LN MEAS AT FV	LN TO INDV FOR HH FAM PERS EXPND	LN TO INDV FOR HH EXPND OTHR CRDT PL	OTH LN MSRD AT FV	UNPD PRIN BAL OF CMRL IND LN	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF OTHR LN	LN SEC BY REAL ESTATE	UNPD PRIN BAL OF LN SEC BY REAL EST	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	PLDG LN AND LEASE	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN DI ACPTNCE OTH	ITEMIZE DBT RSTRCT LN FI AGRI	UNPD PRIN BAL LN IND HH AUTO LN	AUTO LN FV INDV HH FAM PERS EXPND	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	OTHR CNSMR LN FV INDV HH FAM PERS	UNPD PRIN BAL LN IND HH OTHR CNSMR L	LN RSTRCT DBT FRGN GVT OFFICIAL	OBLG ST POLITC SUBS IN US	LN RSTRCT TRBL DBT LN SCD RE FRNG	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN SEC 1-4 RES PROP IN DMST OFC	LN SEC 1-4 RES PROP IN PROC OF FCLS	LN SEC CNST LAND DEV AND OTHR LAND L	LN SEC FARMLAND	RVLVG OE LN SEC 1-4 FAM RES PROP	RVLVG CLS LN SEC 1-4 FAM RES PROP	RVLVG CLS LN SEC JR 1-4 FAM RES PROP	LN SEC MLTI FMLY RES PROP	LN SEC NONFARM NON RES PROP	CMRCL IND LN MEAS AT FV	LN TO INDV FOR HH FAM PERS EXPND	LN TO INDV FOR HH EXPND OTHR CRDT PL	OTH LN MSRD AT FV	UNPD PRIN BAL OF CONS LND DEV AND OT	UNPD PRIN BAL OF LN SEC BY FRM LAND	UNPD PRIN BAL OF LN SEC RVLV CRDT	UNPD PRIN BAL OF LN SEC RVLV RES PRO	UNPD PRIN BAL OF LN SEC RVLV RES PRO	UNPD PRIN BAL OF LN SEC BY MFAM RES 	UNPD PRIN BAL OF LN SEC BY NONFRM RE	UNPD PRIN BAL OF CMRL IND LN	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF LN IND HH FAM AND O	UNPD PRIN BAL OF OTHR LN	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	CNSTRCTN DEV & OTHR AMT LN INT RSRV	PLDG LN AND LEASE	ALL OTHR LN (EXCLUDE CONSUMER LN)	LN NDEP FNCL INST	OTHER LOANS	HECM REVERSE MTG	PROPRIETARY REVERSE MTG	EST NBR FEE PAID RFRL HECM REVERSE M	EST NBR FEE PAID PROPRIETARY REVERSE	PRIN AMT SOLD HECM REVERSE MTG	PRIN AMT SOLD PROPRIETARY REVERSE MT	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CNST LAND DEV 1-4 FAM 	LN RSTRCT DBT CNST LAND DEV OTHR CNS	LN RSTRCT DBT CNST LAND DEV MULTI NO	LN LAND DEV NFARM NRES SCD OWN OCC N	LN DBT LAND DEV NFARM NRES SCD NFARM	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN SCD FARM	ITEMIZE DBT RSTRCT LN DI ACPTNCE OTH	ITEMIZE DBT RSTRCT LN FI AGRI	UNPD PRIN BAL LN IND HH AUTO LN	AUTO LN FV INDV HH FAM PERS EXPND	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	OTHR CNSMR LN FV INDV HH FAM PERS	UNPD PRIN BAL LN IND HH OTHR CNSMR L	LN RSTRCT DBT FRGN GVT OFFICIAL	LN RSTRCT DBT CMRL	OBLG ST POLITC SUBS IN US	CNSTRCTN DEV & OTHR AMT INT CAP	
37																																																																							0	859	0		1626			2593	0	0	2680	42044	0	0	0	20376	48	0	13606	1703	3192	8356	5244	1282	0	4369	5004	5851	3699	1428	0								0	0			0	0	947	10	3811	2416			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		22	0							0	4267	0	0	0	0	0			0	0	0				0	0	2389			0	0	0		
242																																																																							0	3427	0		2660			1419	0	0	31	22058	0	0	0	7562	77	0	7036	688	1529	3824	897	623	0	6993	3879	2022	1359	213	0								0	0			0	0	0	547	0	3278			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		7562		0	11							0	1713	0	0	0	0	0			0	0	0	0			0	0	1333			0	0	0		
279																																																																							0	318	2125		298			2343	330	0	139	74508	78	0	31	46612	548	335	6102	170	223	813	2015	12483	30908	2117	3707	3364	3287	10600	4899								0	0			0	0	733	4104	356	11338			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		15818		0	0							0	2224	0	0	0	0	0			53	0	0				0	53	3118			0	0	0		
354																																																																							0	1184	0		629			378	0	0	0	4044	0	0	0	1079	0	603	876	13	592	16	8	274	162	252	1506	405	180	490	0								0	0			0	0	0	0	0	0			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	0							0	501	0	0	0	0	0			0	0	0	0			0	0	273			0	0	0		
457																																																																							0	4268	500		6497			5423	79	0	496	31499	0	0	0	6037	773	5427	17788	607	1667	3387	194	175	0	6346	9491	6631	2316	53	496								0	0			0	0	946	318	1737	1588			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		12904		0	18							0	1138	0	0	0	0	0			0	0	0	0			0	0	1681			0	0	0		
505																																																																							0	0	6126	0	0	17151	0	17151	15413	0	15543	239683	4612	0	0	112757	3078	23878	27839	4726	10678	6470	6084	22263	60958	29378	16743	20707	20994	31264	9789	0	0	0	0	0	0	0	0	420	0		0	0	660	5842	19991	17316	0	0	0			0	965																							0	0	0	0	0	0	0	0	0	0	0	0		113022	118	2010	118							0	5322	0	0	0	0	0	0	0	0	0	0	0			0	0	22548			0	0	0		
1155																																																																							0	6204	448		9073			36098	652	0	1183	132546	0	0	0	20826	3525	747	48118	2692	2421	5866	8360	888	503	38508	11728	25567	24635	7304	747								494	187			0	0	621	3227	16664	24774			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		132546		715	1963							0	3229	0	0	0	0	0			0	0	0	0			0	0	2663			0	0	0		
1351																																																																							0	10386	0		4393			18253	0	0	0	71229	0	0	0	12748	0	12505	56491	2849	8829	598	133	96	0	16197	28616	7661	4514	408	0								0	0		0	0	0	0	0	0	15487			0			1191	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	53							0	4958	0	0	0	0	1682			1414	396	0	0			619	316	4951			0	1585	83		
1454																																																																							0	5016	1527	0	2827	27602	0	27602	5384	0	0	223421	849	0	13	81842	4354	1709	25722	3581	1672	3492	4352	46603	22106	20251	5233	32789	45215	31122	7695	0	0	0	0	0	0	0	0	1151	0		0	0	972	940	38663	26941	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0	54	0	54							0	18378	0	0	0	0	0	0	0	0	0	0	0			0	0	8619			0	0	0		
