"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37																															
242																															
279			36	1379	27	3027	18	7339	53	1110	9	1179	4	769			11	553	1	92	1	365	35	413	0	0	0	0	false	false	
354																															
457																															
505																															
1155																															
1351																															
1454																															
1557																															
1669																															
1829			75	3256	55	6375	91	38633	85	2806	28	2894	33	10329															false	false	
1856																															
2040																															
2161			39	1609	7	843	0	0	240	5343	47	5887	25	6988			1	13	0	0	0	0	109	2419	26	3702	11	3053	false	false	
2376			4	128	31	4685	161	65875	14	442	0	0	4	1783															false	false	
2554																															
2732	0	0	6	209	24	3129	99	49184	15	614	20	2131	32	15392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
2750	0	0	14	456	4	688	2	823	24	576	9	1345	1	200	0	0	5	168	4	446	5	1795	31	808	16	1689	13	2219	false	false	
3252																															
3458																															
3720			60	2447	72	9213	66	25084	233	4624	38	3868	20	4344			42	1318	26	3312	9	2164	31	608	23	2127	11	2147	false	false	
3971																															
4156			26	1045	14	1604	17	8020	155	2944	18	2042	17	5705			97	3975	58	6794	18	4802	224	4127	31	3148	7	1746	false	false	
4231																															
4839																															
5069																															
5135																															
5210			87	3664	180	22698	210	79317	278	7241	77	8474	58	14579			27	1194	34	4456	28	8606	28	543	7	720	1	299	false	false	
5461			17	767	39	4646	101	40160	99	2713	93	5823	57	12276			1	65	3	280	3	934	5	356	8	732	8	2611	false	false	
5751																															
6039			159	4790	68	8008	126	57165	320	4770	32	3724	17	5551			66	2168	53	6055	52	25852	95	2004	10	985	11	2997	false	false	
6141																															
6329			149	10486	90	12456	119	48671	840	17079	79	10495	24	5201			39	1668	16	1854	7	1705	69	2104	5	842	0	0	false	false	
7009																															
7045			61	2267	27	3157	17	6231	33	761	5	666	5	1219			23	732	12	1659	4	1218	31	679	11	1094	6	1609	false	false	
7072																															
7157			29	961	6	862	1	473	83	1748	9	1181	1	235			15	670	2	405	2	577	124	2589	8	1318	0	0	false	false	
7456																															
7634																															
8033																															
8462																															
8631																															
9357	0	0	7	409	12	1801	60	26356	231	5926	118	10250	158	42148	0	1	0	0	0	0	0	0	1	82	0	0	0	0	true	false	
9553																															
9807			7	419	36	4578	107	42804	46	1773	27	3276	14	4305															false	false	
9955																															
10250																															
10849																															
11145			110	4001	95	12110	69	27577	89	2467	12	1296	13	3962			0	0	2	309	0	0	2	37	0	0	0	0	false	false	
11640																															
11837																															
12030																															
12142																															
12179																															
12311			2274	97538	3546	419834	4670	1596628	25108	703975	4963	483344	4245	1171712			133	6723	156	17699	40	9821	474	11147	95	8127	59	11704			
12647			51	2147	30	3603	38	13464	133	2902	20	1770	15	3001			44	1439	15	1988	12	2735	40	704	9	685	7	958	false	false	
12656																															
12937																															
12946			166	7645	172	20880	163	57741	1194	24471	210	22318	118	35643			93	3359	39	4797	17	4424	153	3393	19	1902	13	3335	false	false	
12955			21	991	33	4184	43	16211	83	1661	23	2607	31	7614			3	201	0	0	1	142	3	35	1	99	0	0	false	false	
13103			56	2673	162	20784	291	106999	496	11502	164	14521	173	38012															false	false	
13251																															
13457																															
14052																															
14155																															
14650																															
14753																															
14865																															
14977			6	169	2	186	0	0	72	1350	7	855	2	831			20	765	19	2153	7	1838	113	3728	25	2852	10	1547	false	false	
16551																															
16748																															
17110			0	0	0	0	0	0	2	177	1	86	6	1804															false	false	
17147			472	17603	653	76581	826	325428	2537	51712	741	66929	843	212224			227	8145	198	24019	146	40044	256	6030	109	8326	77	15769	false	false	
17259																															
17464			59	2029	210	26080	396	151218	1041	17875	250	17822	218	43253			3	92	4	359	4	784	2	38	1	70	0	0	false	false	
17950																															
17978																															
18050																															
18135																															
18377			0	0	1	66	1	518	0	0	0	0	0	0			0	0	3	205	3	634	0	0	0	0	0	0	false	false	
18827			133	4549	160	17270	176	58277	613	13267	137	10220	105	26086			0	0	2	157	1	274	0	0	0	0	0	0	false	false	
18836																															
18854			21	1158	20	3879	24	13164	225	5549	53	8459	59	33384			58	2827	28	4931	12	4256	272	7873	35	5662	25	8698	false	false	
19356																															
19936																															
19972																															
20053																															
20633																															
20857																															
21256																															
21359																															
21630			38	1527	23	2816	17	7076	152	3495	21	2340	14	4406			11	398	3	398	0	0	1	23	1	2	0	0	false	false	
21658			80	3016	48	4821	41	9249	128	1931	29	1229	28	1552			70	2752	58	5889	45	9423	179	3181	61	2811	14	846	false	false	
22048																															
22543			53	2235	61	7254	58	21845	119	2716	26	2659	11	2566			4	184	1	102	0	0	0	0	0	0	0	0	false	false	
22552																															
22730																															
22936																															
23456																															
23504			17	937	71	8711	423	190234	1059	39391	299	35452	367	132461			0	0	1	63	0	0	0	0	0	0	0	0	false	false	
23643																															
23755																															
24006			17	751	79	10260	212	84603	122	1647	82	4664	92	22036															false	false	
24378																															
24453																															
24659																															
24668			25	1032	47	6869	73	32651	189	4947	131	14459	150	56481			34	1276	17	1831	8	2368	20	478	7	562	0	0	false	false	
24949																															
25357																															
25647			7	284	21	3117	39	16942	2	66	0	0	1	571			0	0	1	142	2	385	0	0	0	0	0	0	false	false	
26176																															
26242																															
26457			22	437	4	668	0	0	14	336	5	430	0	0			56	1515	42	5312	11	2447	51	855	3	397	3	822	false	false	
26765																															
27070																															
27548			68	2449	103	13412	124	49611	294	7058	150	10261	125	38519			3	114	5	493	2	704	1	3	0	0	0	0	false	false	
27614																															
27847																															
28013			43	3392	112	14231	284	115928	304	9593	53	6072	88	23299			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
28152			43	1496	25	3086	24	7668	150	3216	31	2647	21	4371			37	1415	69	7945	12	3309	91	2259	39	2956	10	2346	false	false	
28255																															
28406			0	0	8	896	43	18119	85	1526	46	2454	66	9078			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
28675			37	1554	19	2115	5	1202	31	615	0	0	6	1409			44	1408	18	2649	6	1858	20	479	7	744	3	446	false	false	
28732			88	3184	28	5766	16	4026	95	1893	18	1759	10	2116			0	0	3	285	0	0	8	182	4	391	5	1064	false	false	
29476																															
29636			129	4970	89	10574	65	24985	673	9412	56	5950	26	9033	360	73													true	false	
29878			9	561	96	11427	465	174893	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
30052																															
30502			37	1296	68	6805	126	42874	496	8301	31	2379	28	6505															false	false	
30650																															
30810	0	78593																											false	true	
31134			25	1173	20	2282	13	4667	244	4192	15	1830	7	2467			22	798	14	1709	4	1242	15	355	7	618	3	392	false	false	
31255			9	404	17	2101	43	17677	114	2595	55	4994	45	9335			1	14	0	0	1	254	0	0	0	0	0	0	false	false	
31657																															
31826			118	4269	75	9256	60	23904	169	3253	25	2677	12	3592			40	1617	11	1253	1	309	93	1225	1	135	0	0	false	false	
31835																															
32234																															
32766																															
32971																															
33147			75	2498	59	7929	63	28553	263	6312	81	9367	93	32635			34	1415	36	5385	9	2668	27	1138	34	3429	30	4962	false	false	
33259																															
33268			33	1312	22	3604	19	8167	157	2713	13	1382	11	2336			15	675	12	1258	5	1318	94	2095	26	2285	11	1058	false	false	
33370																															
33839																															
33857			49	1618	37	4489	49	18923	635	13496	100	11665	79	26247			164	5960	129	15810	81	24141	635	10483	100	10497	50	13027	false	false	
34425			45	2282	82	10668	82	28185	322	9754	113	13204	47	11813			2	97	1	73	0	0	1	22	0	0	0	0	false	false	
34434																															
34452																															
34537			151	8980	478	71391	866	366824	2135	62642	334	41644	289	99702			2	36	1	125	2	640	17	622	3	478	0	0	false	false	
34555			139	4110	51	6864	31	10360	210	3482	9	1047	11	2539			207	7460	108	13018	61	16116	421	7305	46	5232	14	2713	false	false	
34742																															
35057			91	3356	44	5089	26	8543	196	3879	24	2267	9	1834			107	4477	73	9086	26	6331	211	4294	23	2340	7	963	false	false	
35301			0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0			
35570			123	6185	182	31626	518	302369	623	19205	159	27587	193	93270			3	16	0	0	0	0	2	131	0	0	0	0	false	false	
35646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
35879																															
36456																															
36933																															
37051																															
37341																															
37435			224	8477	229	25937	230	81732	1208	18940	124	12151	64	16589			53	1959	25	3710	15	4142	5	54	1	69	0	0	false	false	
37640			826	35608	528	69928	468	173012	1302	40658	432	45017	358	121080			280	11848	256	31858	120	35336	433	15704	124	15485	75	21367	false	false	
37659			22	732	9	959	6	3024	97	2378	27	2987	7	2283			20	580	12	1613	5	964	175	2846	5	674	1	256	false	false	
37949																															
38740																															
39327																															
39756			45	2195	80	10932	106	41941	529	11687	135	14767	149	49099			31	1981	35	4670	13	3431	220	7067	52	5619	32	6068	false	false	
40033																															
40499			7	339	38	5567	72	33292	279	5886	65	6395	53	19325			0	0	0	0	1	268	2	69	0	0	0	0	false	false	
40855																															
41245																															
41553																															
41629			17	727	26	3621	50	21332	124	3143	36	3695	9	2742			1	21	3	488	4	1258	13	226	2	10	0	0	false	false	
41825			5	264	17	2254	44	19181	102	2765	41	4540	48	13020			6	334	7	1189	3	695	2	21	1	104	0	0	false	false	
41937																															
41955																															
42037																															
42354																															
42372																															
42420			525	18304	596	63930	526	187904	4350	46002	340	28674	303	73418			5	163	6	515	2	303	16	519	1	127	0	0	false	false	
42448			112	4811	116	15444	97	35193	608	12924	73	8269	73	24437			128	5091	111	13784	69	20274	332	7262	92	10359	105	17159	false	false	
42457																															
43052																															
43351																															
43856																															
43959																															
44040																															
44433			0	0	12	1682	48	21359	8	100	1	180	14	4280			0	0	0	0	1	364	0	0	0	0	0	0	false	false	
44741																															
44750																															
44929			32	904	21	2170	20	6385	33	519	3	282	4	638			3	93	4	567	1	38	2	115	1	120	0	0	false	false	
45038			15	752	10	895	16	5611	52	1123	16	1418	29	5623			15	611	15	1919	15	2574	35	898	8	274	6	1299	false	false	
45047																															
45056																															
45430																															
45458			11	466	10	1089	7	2314	85	2403	20	2302	11	3327			46	2098	40	4677	11	3590	158	3882	18	2157	14	3332	false	false	
45551			101	3131	80	9128	84	20104	2970	4855	342	27974	83	23535			147	5157	244	25503	214	71976	716	18495	234	23469	210	54902	false	false	
45560			28	1298	97	13176	181	74568	397	12087	131	13186	134	33705			3	136	5	666	8	2234	2	85	1	110	0	0	false	false	
45775																															
46053																															
46941																															
47247			48	1901	83	8679	81	23961	221	4066	57	3248	27	4621			20	871	20	2688	12	3615	16	236	14	2105	4	1126	false	false	
47256																															
47452			34	1122	10	1471	5	1269	23	667	0	0	1	581			74	1402	9	1182	1	352	1	12	1	38	2	562	false	false	
47500																															
48057																															
48150			7	268	2	296	2	338	46	802	2	279	0	0			38	1782	18	2873	6	2192	47	1755	10	1179	4	1009	false	false	
48374			62	2188	57	7363	54	20071	330	9218	71	8368	73	22558			1092	32077	586	60593	318	79930	114	1422	1	100	2	353	false	false	
48440			20	464	18	2568	6	1864	115	1468	6	857	2	653			44	623	20	3494	10	3545	78	1279	5	806	2	794	false	false	
49054			9	310	18	3206	15	5286	18	284	8	833	17	6840			9	474	16	2883	4	1313	29	815	16	2454	9	225	false	false	
49148																															
49241																															
49652																															
49858																															
49951																															
50144																															
50461			5	128	14	2244	28	11955	7	255	2	331	7	862															false	false	
50872																															
50957			4	108	10	934	36	11247	47	698	76	3164	74	13723			1	67	1	28	1	147	0	0	0	0	0	0	false	false	
51253			112	3705	96	10466	113	37403	237	5012	24	2663	20	5765			37	1231	14	2057	8	1548	32	509	5	855	1	310	false	false	
51356	6	82													1	42													true	true	
51459																															
51842			25	1037	14	1895	15	9515	103	2544	22	3199	12	5214			40	1311	59	6473	66	14460	243	6801	67	6710	39	9851	false	false	
52719																													false	false	
52951																															
53033			21	979	63	9034	176	89572	192	7588	148	15644	114	33204			0	0	0	0	1	314	0	0	0	0	0	0	false	false	
53051																															
53752																															
54049																															
54058			61	2459	43	5693	25	9838	357	6212	23	2558	11	2152			82	3059	71	9272	39	10814	173	4116	76	8980	36	9529	false	false	
54441																															
54656			181	5306	54	5287	25	7967	434	8149	42	7165	18	5593			91	2630	22	2526	6	1542	538	8526	19	2074	6	1405	false	false	
54973			2	87	14	2126	74	34411	1944	52404	99	11251	117	36617			0	0	0	0	0	0	17	442	0	0	0	0	false	false	
55336			12	747	54	5668	101	34021	127	1821	22	1629	26	11138															false	false	
55635																															
55653																															
55970																															
56258																															
56351			186	8080	198	25919	212	73971	1710	35155	180	18337	104	33812			135	5049	40	4741	11	2715	393	7818	25	2821	4	1458	false	false	
56548																															
56557			26	1192	101	14004	383	149500	669	9712	376	24214	722	102113			0	0	2	424	0	0	0	0	0	0	0	0	false	false	
56717																															
57040	79	179															58	2638	87	12399	48	15553	381	8091	41	5855	12	3832	false	true	
57228																															
57451			98	3665	58	6575	47	18506	190	4545	38	3994	48	12934			13	668	5	606	2	195	51	1919	18	2815	5	1300	false	false	
58177			14	585	8	865	8	2751	6	116	2	251	1	293			32	1383	29	3043	15	3819	11	172	0	0	0	0	false	false	
58207																															
58225																															
58243			191	8698	290	37950	398	163010	459	15034	266	27262	323	102847			5	151	9	1128	6	1446	1	61	0	0	1	299	false	false	
58355																															
58551																															
58636																															
58757																															
58971			138	5271	300	39787	522	221037	18909	45640	509	46725	630	159913			13	592	54	4933	49	5437	63	1366	47	2825	58	6614	false	false	
59316			178	7105	199	21408	219	79342	494	12434	56	5432	35	11573			8	326	2	219	2	334	69	1662	12	1289	5	1428	false	false	
59352																															
59370																															
59754																															
60143			479	22368	963	117093	2119	832680	4827	124590	1962	215559	2535	985353			9	379	8	958	3	873	14	664	9	895	6	1781			
60330			90	3695	105	14027	110	41586	417	10518	88	8794	57	12733			51	2003	32	3380	14	3974	34	748	7	101	4	866	false	false	
60545	0	0	33	1420	19	2595	13	4955	167	3861	21	2235	22	8372	0	0	37	1641	30	4348	25	7519	277	6255	68	8163	31	7323	false	false	
60554	26	100															14	562	25	3032	14	4289	183	4109	36	3803	17	3315	false	true	
60648			39	1551	54	5454	63	22229	139	3126	26	2435	13	2847			27	1059	51	6915	14	2744	33	603	7	652	2	40	false	false	
61122			42	1767	86	9887	115	46778	812	11117	92	7158	49	13126			8	244	7	638	5	639	7	50	0	0	0	0	false	false	
61355																															
61476																															
61757			45	1977	38	5587	56	24079	127	3255	29	2107	27	5987			28	993	21	2855	2	685	63	922	3	332	0	0	false	false	
61832																															
61953																															
62044																															
62110																															
62147																															
62772																															
63050																															
63069			25	902	95	13394	677	339943	6896	121991	1234	152088	1419	612062			0	0	0	0	0	0	0	0	0	0	0	0			
63201																															
63573																															
63733			160	8586	145	17347	81	35639	604	11208	87	10093	36	8717			284	9738	88	10000	42	9146	371	4493	12	1160	3	504	false	false	
63742																															
63751	14	2													5	4													true	true	
64150																															
64543																															
64552			6	264	20	2574	22	7922	30	669	8	844	7	2943			1	9	2	174	0	0	0	0	0	0	0	0	false	false	
64730																															
65205																															
65241																															
65513			0	0	0	0	0	0	0	0	0	0	1	377			0	0	0	0	0	0	0	0	0	0	0	0			
65559			37	1309	72	9148	72	29694	678	11348	140	13859	71	21324			44	1691	68	7359	37	6788	421	9008	106	8646	36	6453	false	false	
65746			90	2497	80	9246	74	27972	225	4702	52	4096	34	8016			173	6130	118	14168	52	15259	186	3110	10	1158	4	1190	false	false	
65858			141	5317	167	18266	200	57658	757	13954	272	14478	280	40881			65	2081	94	9792	65	10511	219	3172	116	6264	60	6649	false	false	
66154																															
66275																															
66677			16	714	19	1755	23	7567	5	134	3	383	0	0			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
67142																															
67151																															
67209																															
67254																														false	
67656			80	3261	108	14558	162	61052	132	3450	36	4184	15	3354			39	1530	45	5478	22	4763	163	3891	33	3135	24	4764	false	false	
67870																															
68448																															
68671																															
68756			79	3131	67	7568	87	36346	348	7177	73	6889	48	14982			85	3654	67	7624	43	14582	329	8101	55	5887	37	9647	false	false	
68831			36	1233	35	3488	33	11088	212	3750	23	2222	2	488			35	1424	12	1483	1	264	0	0	0	0	0	0	false	false	
68840																															
68859																															
69333			69	2641	104	12159	211	84137	529	13603	110	12953	78	26768			6	56	10	1204	3	761	4	45	2	188	0	0	false	false	
69678																															
70058																															
70218			0	0	13	1643	27	12431	3	179	2	252	4	1149															false	false	
70414																															
70638																	0	0	0	0	0	0	0	0	0	0	0	0			
70955																															
71073																															
71318			16	664	43	5940	121	49524	46	1394	27	2869	42	14945			5	326	21	3019	16	4996	0	0	0	0	0	0	false	false	
71457																															
71859																															
72258																															
72351																															
72454			14	591	17	2306	14	4683	189	4396	41	4459	12	3430			17	628	34	4400	41	10931	184	5082	34	4660	9	2947	false	false	
72678																															
73116																															
73152																															
73554																															
73956																															
74056			5	120	1	144	4	1328	78	2278	2	148	3	1937			50	1173	44	5578	25	6468	240	5138	58	5406	32	6279	false	false	
74140			207	9205	205	27442	186	73233	860	20583	179	19387	113	46494			155	7137	162	21891	65	19370	354	8546	80	9308	33	9096	false	false	
74403			68	3087	147	18421	188	70323	436	9043	81	6408	90	19986			0	0	0	0	1	437	0	0	0	0	0	0	false	false	
74449																															
75053																															
75259																															
75446																															
75455																															
75558																															
75633			1841	27466	1611	153228	2352	737804	69893	1809977	27448	2600576	7824	2186485			402	12734	410	49352	303	84463	1100	28837	451	51751	201	49923			
75651																															
76153			7	219	1	123	3	821	20	386	7	657	3	573			10	406	10	976	13	3664	27	344	22	1963	19	3307	false	false	
76443																														false	
76854																															
77150			8	335	6	730	14	3048	28	609	7	313	22	2825			24	593	22	2553	12	3048	56	1030	26	2183	10	2858	false	false	
77253																															
77422																															
77851			87	3476	80	10213	71	27746	408	9232	113	11102	104	27384			104	3711	157	19545	70	19451	310	7057	131	11273	79	15513	false	false	
78157																															
78241																															
78559																															
79042			26	1293	13	1626	6	1585	3	89	0	0	0	0			12	318	5	751	1	353	0	0	0	0	0	0	false	false	
79127	0	0	60	1801	17	2137	7	1749	69	1794	7	785	6	1486	0	0	6	157	3	217	2	511	14	312	2	205	0	0	false	false	
79145			16	771	22	2938	31	10537	86	1090	8	800	7	1088			29	1214	13	1570	8	1959	16	209	4	382	0	0	false	false	
79257	10	26															9	429	4	637	4	1247	9	232	3	306	2	560	false	true	
79855																															
80020																															
80150																															
80374																															
80431																															
80552																															
80936			20	846	24	2974	84	18762	31	792	7	748	4	1822			2	43	0	0	1	317	0	0	0	0	0	0	false	false	
81175																															
81429																															
82033																															
82257																															
82350																															
82659			8	448	18	1890	6	2079	121	2298	23	2806	11	2814			33	1502	31	4638	6	2394	108	2753	40	3773	22	5126	false	false	
83151																															
83236																															
83375			12	548	57	8141	106	42276	163	3471	83	6183	79	18089			0	0	1	65	0	0	0	0	0	0	0	0	false	false	
83638			42	3073	98	16565	227	106023	408	20475	328	48713	257	91395			0	0	0	0	0	0	0	0	0	0	0	0			
83834			38	1415	22	2820	39	15355	160	3359	43	4787	19	6742															false	false	
83852																															
83955																															
84046																															
84541																															
84804			0	0	7	776	8	2745	9	207	1	219	0	0	1	2													true	false	
85052																															
85258																															
85454																															
85472			260	11945	514	68754	812	339634	296	9072	137	13812	160	53330			2	52	1	192	0	0	0	0	0	0	0	0	false	false	
85931																															
86349																															
86358	11	65													68	293	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
86554																															
86675																															
87047																															
87159																															
87177	0	1															0	0	0	0	0	0	0	0	0	0	0	0	false	true	
87234																															
87476																															
87579			4	59	11	1541	55	23703	2	7	0	0	6	2310			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
88231			18	834	40	4594	42	16980	108	1759	14	1924	15	2985			0	0	0	0	0	0	6	259	1	50	0	0	false	false	
88240																															
88259																															
88352			16	534	15	1781	17	6347	256	5925	24	2761	11	2293			29	1348	16	1558	10	2029	340	8193	36	3637	16	4432	false	false	
88455																															
88772																															
88950																															
89032			31	1097	25	2786	33	10538	161	3090	29	2661	29	7389			1	61	1	209	1	284	3	79	1	51	0	0	false	false	
89135																															
89854																															
89957																															
90047																															
90177																															
90328																															
90337			81	3269	73	8861	132	50591	355	6937	49	4849	77	25291			0	0	0	0	1	361	3	7	0	0	0	0	false	false	
90579																															
90645			21	874	20	2141	15	5196	12	229	0	0	0	0			0	0	10	1186	3	874	5	87	0	0	0	0	false	false	
91615	0	0	131	4120	21	3698	15	5807	118	3168	12	2215	3	850	0	0	62	2590	51	8213	17	6163	73	1777	8	1471	1	306	false	false	
91651																															
91754			49	2236	29	3461	26	7627	232	5177	24	2413	21	5617			25	848	34	4365	11	3377	128	2678	6	605	4	916	false	false	
91950			8	336	7	1077	0	0	46	1096	5	751	1	339			10	359	11	1010	7	1847	55	1103	14	991	11	2307	false	false	
92144																															
92676			16	725	41	5100	84	32265	74	3180	46	6207	36	11110			0	0	0	0	0	0	0	0	0	0	1	138	false	false	
92706																															
92902																															
93244																															
93543																															
93619															0	0													false	false	
93758	104	137															32	1551	27	3452	21	6108	136	2471	20	1785	16	3781	false	true	
94139																															
94522																															
