"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP755	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	DEP OTHR TRNS ACCTS INDV PRTNRS CRPS	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	7705	0	8107	15417	0	24794	0	0	0	0	0	44393	0	283		23608	3447	4175	12000	0	3063	8937	7571	4037	1429	3858	2943	1403	16687	44110	0	0	432	0	9285	348	0	0	5286	0	0	true								
242	5156	0	788	6914	0	13877	0	0	0	0	0	17195	0	2146		4939	2686	1801	3006	0	1237	1769	1273	660	1253	2146	670	347	13089	15049	0	0	239	0	2265	2151	0	0	1248	2151	0	true								
279	28328	0	0	9936	0	34027	0	0	0	0	0	99565	0	0		30374	2497	12420	19239	0	5187	14052	9818	1317	6040	17634	13591	1101	34027	99565	0	0	4910	0	32615	5751	0	0	19344	4330	0	true								
354	1857	0	193	3055	0	3055	0	0	0	0	0	6095	0	1136		2363	1468	0	2362	0	532	1830	0	0	208	200	0	0	2862	4959	0	0	0	0	408	0	0	0	408	0	0	false								
457	5216	0	346	5916	0	8932	0	0	0	0	0	25953	0	2209		7362	10525	2090	6031	0	1121	4910	996	335	200	1561	746	343	8586	23744	0	0	640	0	2850	0	0	0	1761	0	0	true								
505	153630	0	5126	13692	0	24250	0	0	0	0	0	350174	0	125382		22922	160826	5929	18503	0	7598	10905	3488	931	5676	5816	693	611	19124	224792	0	0	2049	0	9501	3295	0	0	8448	3044	0	true								
1155	631	2	4460	24278	0	115124	0	0	0	0	0	65687	0	1383		33349	10631	11574	19667	0	19342	8196	4413	1398	11553	5375	3305	843	110576	64304	86	0	4529	0	16215	4861	0	0	10312	2445	0	true								
1351	5267	0	10051	17963	0	32982	0	0	0	0	0	102548	0	7289		42031	18222	9449	33105	0	10537	22568	8925	0	10346	17046	9636	0	22931	95259	0	0	3664	0	27263	9765	0	0	20827	6565	0	false								
1454	946	0	11179	186302	0	316247	0	0	0	0	0	338062	1018	28734		46098	230891	26485	28634	0	14960	17281	9425	4432	29956	23811	3869	2491	305068	308310	0	0	8249	0	19680	40447	0	0	17760	10992	0	true								
