"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	9067	0	5110	15118	0	25728	0	0	0	0	33539	0	435		16303	1626		20618	33104	0	0	225	0	0	4199	7854	6812	2842	12052	0	513	257	370	5403	1139	0	0	513	0								
242	6341	0	720	8572	0	14765	0	0	0	0	18796	0	1172		4726	4678		14045	17624	0	0	137	0	0	1520	1816	2243	1172	3336	0	257	252	517	2024	1027	0	0	257	0								
279	47047	0	590	25719	0	70210	0	0	0	0	131629	0	1055		30408	11387		69620	130574	0	0	5070	0	0	10570	26485	24239	2985	37055	2016	5007	1894	0	33870	8917	0	0	7023	0								
354	2438	0	107	5233	0	5233	0	0	0	0	6947	0	1007		1649	1781		5126	5940	0	0	0	0	0	640	1782	50	0	2421	256	0	0	0	822	256	0	0	256	0								
457	6571	0	266	7300	0	10221	0	0	0	0	30592	0	4836		6436	11167		9955	25509	0	247	820	0	0	1583	4896	2837	1231	6240	0	2030	277	0	4111	2307	0	0	2030	247								
505	214866	0	7288	97589	0	102327	0	0	0	0	447127	0	103127		19475	164160		95039	344000	0	0	957	0	0	6877	17594	6665	718	24471	31590	4378	278	0	12380	36247	0	0	15973	0								
1155	1057	14	9802	32908	0	152164	0	0	0	0	78308	0	3040		27638	23556		142084	75268	264	0	2528	0	0	9862	17244	15268	1037	24272	928	6725	2631	0	15773	10284	1102	0	6984	0								
1351	7589	0	10320	20215	0	37935	0	0	0	0	109816	0	13362		38168	23343		27615	96454	0	0	4723	0	0	9139	30129	24743	0	39268	8726	4080	2067	0	25844	14872	0	0	12806	0								
1454	711	0	35132	385500	0	531916	0	0	0	0	298229	595	42630		35433	210381		496784	255004	0	0	9498	0	0	20686	18585	9189	5071	33812	26500	4736	665	1705	18098	33606	0	0	8839	0								
