"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	9518	0	6593	15206	0	25458	0	0	0	0	38015	0	541		18923	2233	2751	18865	37474	0	0	102	0	0	4324	10514	7427	2885	14838	0	501	361	251	6227	1113	0	501	0	true							
242	6025	0	475	8381	0	14310	0	0	0	0	19329	0	3414		4579	4856	1628	13835	15915	0	0	129	0	0	658	2243	1849	1036	2901	2153	259	250	0	1207	2661	0	2412	0	true							
279	39272	0	0	14873	0	51665	0	0	0	0	115658	0	0		30905	1690	13355	51665	115658	0	0	5139	0	0	14442	28461	23389	1569	42902	1080	3585	2170	0	36955	6836	0	4665	0	true							
354	2289	0	75	2909	0	2909	0	0	0	0	5230	0	1018		1727	913	0	2834	4212	0	0	0	0	0	380	1648	0	0	2028	0	0	0	0	301	0	0	0	0	false							
457	7200	0	529	6122	0	9389	0	0	0	0	26575	0	2814		5625	10983	2162	8860	23761	0	0	351	0	0	1777	3598	2139	878	5375	0	0	0	0	2767	0	0	0	0	true							
505	220863	1	10495	31286	0	50001	0	0	0	0	371335	0	101169		18199	118080	4748	39505	270166	0	0	1516	0	0	5002	16527	5572	977	21316	1302	2010	1002	0	9879	4314	0	3312	0	false							
1155	721	0	10833	34667	0	133998	0	0	0	0	72425	0	5871		31088	12112	8459	122167	66070	998	484	2855	0	0	18225	10069	19892	1435	22744	4769	758	4444	0	18533	9971	0	4617	0	true							
1351	6440	0	8985	20388	0	35065	0	0	0	0	90853	0	6177		35841	18530	8163	26080	84676	0	0	3032	0	0	9744	31664	15434	0	41408	1599	5101	2340	0	21001	9041	0	6700	0	false							
1454	746	0	14586	181892	0	320996	0	0	0	0	302280	3152	18930		37302	214490	25293	306410	280198	0	0	8687	0	0	17372	19493	13803	4411	30768	23203	5195	2913	653	17777	31964	0	7224	0	true							
