"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	5460	0	2649	6592	0	13794	0	0	0	0	0	52568	0	457		29897	2917	4787	16073	0	2957	13116	13404	421	1535	6760	5998	0	11145	52111	0	0	620	0	13975	318	0	0	8295	0	0	
242	3885	0	281	5672	0	10099	0	0	0	0	0	15792	0	1328		6642	2847	1910	4452	0	980	3472	1816	374	689	1120	408	201	9818	14464	0	0	248	0	2418	0	0	0	1809	0	0	
279	17377	0	0	7397	0	21428	0	0	0	0	0	85072	0	0		34658	2587	12471	26181	0	7713	18468	7185	1293	5749	16738	6643	1320	21428	85072	0	0	4297	0	28968	1482	0	0	21005	1482	0	
354	1131	0	127	2276	0	2276	0	0	0	0	0	6618	0	1727		3004	1248	0	3004	0	1054	1950	0	0	1105	130	0	0	2149	4891	0	0	0	0	1235	0	0	0	1235	0	0	
457	3685	0	278	3820	0	6648	0	0	0	0	0	24687	0	1539		10121	7626	2358	7992	0	2311	5681	1575	554	416	2137	200	502	6370	23148	0	0	452	0	3255	0	0	0	2553	0	0	
505	114419	0	3983	14193	0	25084	0	0	128	608	0	300995	0	84183		40420	121794	8004	32274	128	16925	15349	6500	1646	12320	8643	2803	596	21101	216812	0	0	2213	480	15683	8679	480	0	12559	8404	0	
1155	728	1	2293	15964	0	80083	0	0	0	0	0	97082	0	2634		54078	7786	14752	34030	0	29341	16576	4780	3381	19160	10358	2331	2641	77751	94198	38	250	6297	0	25551	8939	0	0	16381	7599	0	
1351	4150	0	5536	13432	0	23546	0	0	0	0	0	114114	0	4702		50573	21529	9624	40275	0	12321	27954	10298	0	8003	23090	6769	0	18010	109412	0	0	3351	0	29719	8143	0	0	21680	6168	0	
1454	1138	0	8975	130194	0	232311	0	0	0	0	0	271112	646	35229		52758	151423	24578	34271	0	17429	19518	8167	7644	38670	16446	6847	3830	223336	235237	0	0	7415	0	21600	44193	0	0	18560	12536	0	
