"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	9966	0	7173	16276	0	26818	0	0	0	0	40265	0	506		19740	2619	2788	19645	39759	0	0	102	0	0	4190	13151	7621	2358	17341	0	0	0	360	7580	360	0	0	0	true							
242	6139	0	604	8068	0	14896	0	0	0	0	19020	0	3521		4659	4573	1672	14292	15499	0	0	0	0	0	1462	3315	57	814	4777	0	2152	508	0	989	2660	0	2152	0	true							
279	39271	0	0	14583	0	50812	0	0	0	0	118668	0	0		31651	1554	14036	50812	118668	0	0	5643	0	0	10389	32868	24137	1889	43257	3035	3643	1882	0	37632	8559	0	6678	0	true							
354	1923	0	79	2439	0	2439	0	0	0	0	4840	0	879		1722	895	0	2360	3961	0	0	0	0	0	639	1342	41	0	1981	0	0	0	0	300	0	0	0	0	false							
457	7262	0	402	7378	0	10521	0	0	0	0	26871	0	2768		5584	11766	2140	10119	24103	0	0	454	0	0	1041	4262	1936	603	5303	0	0	0	0	2258	0	0	0	0	true							
505	221129	0	10567	29177	0	47256	0	0	0	0	383993	0	116752		17523	132276	4955	36689	267241	0	0	1525	0	0	8362	12449	5463	760	20811	556	2739	259	0	9510	3555	0	3295	0	false							
1155	680	0	8901	33862	0	136891	0	0	4772	0	70116	0	5886		31033	10972	8390	127258	63746	732	484	3039	4772	4772	17701	13108	17184	1227	24163	1955	3600	3689	0	18187	9244	0	4649	0	true							
1351	5999	0	9176	20571	0	35639	0	0	0	0	88542	0	6267		35430	17263	8105	26463	82275	0	0	3050	0	0	10026	30803	15406	0	40829	3787	2539	2720	0	20805	9045	0	6326	0	false							
1454	615	0	12345	172280	0	315704	0	0	0	0	314302	616	25909		37499	224795	25568	303359	287777	0	0	8956	0	0	19610	19018	13781	4306	32551	21828	5513	4185	651	19216	32177	0	7229	0	true							
