"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	7208	0	3144	11044	0	19889	0	0	0	0	0	50837	0	361		27161	2955	4614	17848	0	3660	14188	7198	2113	2399	7611	3171	332	16745	50476	0	0	465	0	13179	334	0	0	10010	0	0	
242	4922	0	1518	6197	0	11845	0	0	0	0	0	16898	0	2302		5834	3239	1656	3831	0	1036	2906	1471	421	1562	725	516	100	10327	14596	0	0	256	0	1653	1250	0	0	1037	1250	0	
279	21567	0	0	8548	0	24703	0	0	0	0	0	90738	0	0		32057	3619	12951	7905	0	7905	13519	9087	1546	5725	13253	12792	1725	24703	90738	0	0	4835	0	29132	4363	0	0	16722	2255	0	
354	1841	0	95	2850	0	2850	0	0	0	0	0	6830	0	1098		2612	1595	0	2612	0	372	2240	0	0	582	200	0	0	2755	5732	0	0	0	0	782	0	0	0	782	0	0	
457	4734	0	245	4471	0	6998	0	0	0	0	0	27598	0	1568		9078	11054	2403	6937	0	1600	5337	1814	327	857	964	911	0	6753	26030	0	0	458	0	2732	0	0	0	1821	0	0	
505	139665	0	5093	13820	0	27659	0	0	147	611	0	297451	0	78225		30650	112077	6674	24608	76	6452	18156	5665	377	5099	6059	3675	226	22566	219226	0	0	1649	464	11130	3929	228	0	8129	3029	0	
1155	749	1	2655	23025	0	102470	0	0	0	0	0	78605	0	1868		43079	9590	13725	26170	0	23492	11689	6028	1870	13811	7654	2779	943	99756	76737	58	0	5366	0	18884	6303	0	0	10974	5032	0	
1351	4767	0	8622	16299	0	29425	0	0	0	0	0	113097	0	6026		48079	17501	10067	37500	0	9979	27521	10578	0	9298	23549	9903	0	20803	107071	0	0	3715	0	30721	12029	0	0	24631	8216	0	
1454	1136	0	15216	173101	0	293895	0	0	0	0	0	288571	700	23768		49167	183777	24607	28022	0	14541	16275	13844	4507	32050	12081	7799	2561	278679	264103	0	0	7106	0	19447	35044	0	0	20751	0	0	
