"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP755	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	DEP OTHR TRNS ACCTS INDV PRTNRS CRPS	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	7556	0	3672	11879	0	20315	0	0	0	0	0	45743	0	235		25131	3292	4364	5114	0	2803	9843	7736	4749	1476	3981	3010	1297	16643	45508	0	0	451	0	9421	343	0	0	5114	343	0	true								
242	4651	0	446	8084	0	15373	0	0	0	0	0	16690	0	2664		5260	3015	1745	3405	0	945	2460	1344	511	2151	802	317	494	14927	14026	0	0	248	0	2014	1750	0	0	1203	1750	0	true								
279	26601	0	0	8824	0	28411	0	0	0	0	0	94066	0	0		30189	2835	12441	20173	0	7216	12957	8215	1801	6571	13036	13675	1158	28411	94066	0	0	4766	0	30139	4301	0	0	17172	2435	0	true								
354	1705	0	80	2366	0	2366	0	0	0	0	0	6395	0	1079		2526	1656	0	2526	0	390	2136	0	0	307	200	0	0	2286	5316	0	0	0	0	507	0	0	0	507	0	0	false								
457	5047	0	316	4620	0	7937	0	0	0	0	0	29301	0	2140		8394	12953	2248	6587	0	1491	5096	1478	329	1422	547	938	0	7621	27161	0	0	841	0	2907	0	0	0	1969	0	0	true								
505	148010	0	5573	14050	0	24557	0	0	131	843	0	298115	0	73389		26234	109969	6391	22505	131	5703	16802	3125	604	6814	5920	904	264	18984	224726	0	0	1954	712	9780	4122	712	0	8673	4061	0	true								
1155	845	3	3679	25969	0	108443	0	0	0	0	0	70219	0	1397		36968	11130	12586	21073	0	19858	10574	4832	1704	10326	6008	2526	2416	104733	68822	28	0	4653	0	16191	5085	0	0	9449	2559	0	true								
1351	4836	0	9583	16704	0	31461	0	0	0	0	0	108524	0	7409		45049	19293	9678	35068	0	9454	25614	9982	0	7163	25656	6527	0	21878	101115	0	0	3739	0	28407	10939	0	0	22279	10539	0	false								
1454	1000	0	12332	172196	0	295549	0	0	0	0	0	306457	1105	24927		48284	197671	26419	31291	0	14516	17532	12085	4151	35390	14918	6993	2201	283217	280425	0	0	8500	0	20721	38781	0	0	24362	4183	0	true								
