"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONJH84	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	Total reciprocal deposits as of June	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	9291	0	4688	14014	0	23667	0	0	0	0	36272	0	551		17639	2194	2699	18979	35721	0	0	103	0	0	3334	9864	7198	3276	13198	0	864	0	252	6032	1116	0	0	0	864	0	true							
242	5736	0	669	9707	0	15203	0	0	0	0	20898	0	3764		4445	5743	1591	14534	17134	0	0	130	0	0	572	2449	1603	1130	3021	0	3664	0	0	1310	3664	0	0	0	3664	0	true							
279	40147	0	0	15884	0	53237	0	0	0	0	118366	0	0		30591	1668	13578	53237	118366	0	0	5281	0	0	12962	29725	25412	1606	42687	1544	3136	2166	0	39113	6846	0	0	0	4680	1493	true							
354	1614	0	94	3080	0	3080	0	0	0	0	5489	0	968		1636	949	0	2986	4521	0	0	0	0	0	581	2346	0	0	2927	0	0	0	0	1291	0	0	0	0	0	0	true							
457	6816	0	491	6475	0	9759	0	0	1253	0	28685	0	2959		5673	10723	2090	9268	25726	0	0	352	0	0	880	5445	2357	940	6325	0	1523	0	0	3950	1523	0	0	1253	1523	0	true							
505	229324	0	15544	33207	0	52830	0	0	0	0	388421	0	120113		19552	120166	4540	37286	268308	0	0	1403	0	0	7690	16161	6812	672	23520	2206	3872	1266	251	11784	7595	0	0	0	6078	0	false							
1155	1746	0	17320	45980	0	148047	0	0	0	0	69204	0	3687		29769	12990	8345	129509	65273	1218	244	2792	0	0	14482	13736	16238	1362	23619	1173	3874	3602	0	16049	8649	21336	8663	0	4135	0	true							
1351	6361	0	8284	19786	0	34188	0	0	0	0	95220	0	6134		35678	20790	8629	25904	89086	0	0	3602	0	0	11625	31673	15440	0	43298	500	6791	2040	0	23060	9331	0	0	0	7291	0	false							
1454	732	0	12836	198740	0	335539	0	0	0	0	302059	616	31388		36523	214719	25486	322703	270055	0	0	8900	0	0	18848	17200	14108	4103	30212	26105	2890	2412	942	17735	32349	0	0	0	7219	0	true							
