"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	8903	0	6712	13791	0	25482	0	0	0	0	34428	0	387	6918	16709	2183	2587	18770	34041	0	0	103	0	0	4327	7431	7226	3240	11758	502	364	0	252	5515	1118	0	0	866	0	true							
242	5412	0	628	9027	0	14383	0	0	0	0	19452	0	3983	3125	4457	4152	1572	13755	15469	0	0	130	0	0	796	2349	1856	1220	3145	0	3417	250	0	1764	3667	0	0	3417	0	true							
279	43912	0	0	24482	0	65726	0	0	0	0	132023	0	0	0	32780	8170	13916	65726	132023	0	0	0	0	0	13948	30980	26513	1756	41829	2269	2575	1900	0	40417	6744	0	0	4543	1493	true							
354	1441	0	113	2933	0	2933	0	0	0	0	5424	0	868	0	1638	1055	0	2820	4556	0	0	0	0	0	614	2314	0	0	2928	0	0	0	0	1291	0	0	0	0	0	false							
457	6975	0	503	7274	0	10582	0	0	1253	0	29259	0	3836	2253	5562	9637	2086	10079	25423	0	0	354	0	0	3043	3552	2107	920	5562	1772	1253	0	0	4061	3025	0	1253	3025	0	true							
505	212564	0	9104	30787	0	49137	0	0	0	0	370774	0	92662	101766	19162	119197	4449	40033	278112	0	0	1275	0	0	6168	17202	6999	791	23370	2627	3308	1668	251	11998	7853	0	0	5935	0	false							
1155	1051	0	10454	42955	0	150308	0	0	0	0	78163	0	5201	12778	29502	21441	8152	138935	72962	919	0	2628	0	0	13209	16218	13964	1275	25036	1504	4448	5053	0	15164	11005	10060	0	5292	0	false							
1351	6375	0	9970	19869	0	35918	0	0	0	0	97175	0	5963	15933	35696	22139	8739	25948	91212	0	0	3747	0	0	13507	29129	16229	0	42636	920	6534	2343	0	23168	9797	0	0	7454	0	false							
1454	653	0	15735	208545	0	350631	0	0	0	0	373942	614	31148	33871	36181	287078	25832	334896	342180	0	0	8807	0	0	19992	16168	12726	4006	20190	24531	4928	2922	940	16710	33321	0	0	16987	0	true							
