"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDFT33	RCFDFT34	RCFDFT35	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONFT33	RCONFT34	RCONFT35	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																							74	426	1176		121				0	0	555							0	0	0				
242																							173	0	477		15				0	0	289							0	0	0				
279																							2058	511	7865		108				0	0	581							4607	0	0				
354																							0	75	126		6				0	0	45							0	0	0				
457																							338	0	1396		53				0	0	350							655	0	0				
505																							3442	0	14300		4376				0	0	1612							4870	0	0				
1155																							280	0	7319		396				0	0	1209							5434	0	0				
1351																							183	0	1684		166				0	0	1335							0	0	0				
1454																							1258	0	13239	1471	2414	757			0	0	3411							6156	0	0	PROCESSING DEPOSIT			
1669																						5	177	877	13555	252	279				0	0	1195							10176	851	0				
1856																							1448	0	2599		825				0	0	326							0	0	0				
2040																							1086	1134	7915		467				0	0	706							4207	0	315				
2161																						0	361	0	5182	204	204	0	0	0	0	0	950	0	0	0	0	0	0	3667	0	0				
2376																						0	25835	25987	188088	805	27004	0	0	0	0	0	11438	14999	0	0	0	0	0	78792	0	19032				
2554																							17	0	195		17				0	0	161							0	0	0				
2732																							174	1077	3438		240				0	0	1947							0	0	0				
2750																							267	0	3028		197				0	0	1015							1549	0	0				
3252																							724	0	4865		2067				0	0	2074							0	0	0				
3458																							204	0	849		179				0	0	466							0	0	0				
