"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONJ449	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																CONF				0	137	0	914	0	132	0	0	0	0	0	645	0	0	0	CONF	0	0	0				
242																CONF				0	242	0	550	7	80	0	0	0	0	0	228	0	0	0	CONF	0	0	0				
279																CONF				0	1478	351	2923	260	261	0	0	0	0	0	756	0	0	0	CONF	77	0	0				
354																CONF				0	5	55	170	0	20	0	0	0	0	0	90	0	0	0	CONF	0	0	0				
457																CONF				0	245	0	1134	0	82	0	0	0	0	0	258	0	0	0	CONF	549	0	0				
505																CONF				0	4066	0	14210	1295	4845	1669	0	0	0	0	1266	0	0	0	CONF	4033	0	0	PREPAID PENSION			
1155																CONF				0	1152	0	6951	64	653	0	0	0	0	0	1152	0	0	0	CONF	3994	0	0				
1351																CONF				30	0	0	1947	127	356	0	0	0	0	0	1591	0	0	0	CONF	0	0	0				
1454																CONF				0	1092	0	10524	1027	2216	0	0	0	0	0	2531	0	0	0	CONF	4685	0	0				
1557																CONF				0	147	0	1379	0	365	0	0	0	0	0	867	0	0	0	CONF	0	0	0				
1669																CONF				13	1180	174	10163	70	543	0	0	0	0	0	1574	0	0	0	CONF	4683	0	2009				
1829																CONF				0	2239	1236	7010	988	2390	0	0	0	0	0	1145	0	0	0	CONF	0	0	0				
1856																CONF				0	2725	0	3498	355	355	0	0	0	0	0	418	0	0	0	CONF	0	0	0				
2040																CONF				0	1546	146	6980	689	1969	0	0	0	0	0	766	0	0	0	CONF	2553	0	0				
2161																CONF				0	796	0	4534	148	457	0	0	0	0	0	619	0	0	0	CONF	0	0	2662				
2376																CONF				0	34998	22174	119225	839	7217	0	0	0	0	0	9343	0	0	0	CONF	34507	0	10986				
2554																CONF				0	0	0	152	14	57	24	0	0	0	0	95	0	0	0	CONF	0	0	0	software			
2732																CONF				0	174	1585	5290	83	1498	0	0	0	0	0	1672	0	0	0	CONF	0	361	0				
2750																CONF				0	543	0	2873	239	371	0	0	0	0	0	1084	0	0	0	CONF	875	0	0				
3252																CONF				0	323	0	3227	478	1138	328	0	0	0	0	1766	0	0	0	CONF	0	0	0	NP DDA Debits			
3458																CONF				0	216	64	606	36	96	0	0	0	0	0	230	0	0	0	CONF	0	0	0				
3720																CONF				0	545	122	5941	220	580	0	0	0	0	0	979	0	0	0	CONF	1454	0	2261				
3953																CONF				0	498	0	1395	99	427	0	0	0	0	0	293	0	0	0	CONF	177	0	0				
4156																CONF				0	2560	0	7780	0	647	0	0	0	0	0	1091	0	0	0	CONF	2618	0	864				
4231																CONF				0	0	74	1228	0	315	0	0	0	0	0	839	0	0	0	CONF	0	0	0				
4437																CONF				0	944	524	7665	292	1143	0	0	0	0	0	973	0	0	0	CONF	4081	0	0				
4839																CONF				0	2075	0	4228	246	737	0	0	0	0	0	1416	0	0	0	CONF	0	0	0				
5005																CONF				0	4621	932	15821	248	1287	423	312	0	0	0	1067	0	0	0	CONF	7914	0	0	SERP	Accounts Receivable		
5069																CONF				0	0	844	6755	1021	3084	1562	0	0	0	0	2827	0	0	0	CONF	0	0	0	Accounts Receivable			
5135																CONF				33	1582	1093	11494	185	1200	0	0	0	0	0	4031	0	0	0	CONF	3588	0	0				
5210																CONF				0	6860	1017	49561	0	9593	4462	0	0	0	0	3680	0	0	0	CONF	24665	0	3746	Prepaid Pension			
5331																CONF				0	3942	2536	10088	352	2838	1811	0	0	0	0	449	0	0	0	CONF	323	0	0	accrued interest on securities purchased			
5461																CONF				0	2030	0	12056	0	7432	3539	2000	0	0	0	1842	0	0	0	CONF	752	0	0	QZAB	PFRD STOCK-SR HOUSING CRIME PREV FOUNDATION		
5751																CONF				1	304	0	3982	34	195	0	0	0	0	0	853	0	0	0	CONF	1369	0	1261				
6039																CONF				0	134	200	2641	0	1523	434	805	0	0	0	521	0	0	0	CONF	0	263	0	DUE FROM USDA	DUE FROM HOLDING COMPANY		
6141																CONF				0	0	21	556	65	141	0	0	0	0	0	394	0	0	0	CONF	0	0	0				
6329																CONF				846	728	4537	15680	576	3214	0	0	0	0	0	2492	0	0	0	CONF	2180	0	2529				
6972																CONF				0	4933	0	19748	0	4594	0	0	0	0	0	3674	0	0	0	CONF	0	0	6547				
7009																CONF				0	0	225	10663	0	7254	5250	0	0	0	0	3184	0	0	0	CONF	0	0	0	Receivables			
7045																CONF				0	261	0	1866	126	591	0	0	0	0	0	1014	0	0	0	CONF	0	0	0				
7157																CONF				0	23	0	586	0	194	76	0	0	0	0	369	0	0	0	CONF	0	0	0	Lease Contracts Receivable			
7456																CONF				0	322	0	1060	0	290	130	0	0	0	0	448	0	0	0	CONF	0	0	0	Prepaid Health Insurance			
7634																CONF				0	250	0	757	153	220	0	0	0	0	0	287	0	0	0	CONF	0	0	0				
