"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				0	74	350	1085	0	108	0	0	0	553	0	0	0	0	0	0	0	0	0				
242																				0	160	0	421	0	4	0	0	0	257	0	0	0	0	0	0	0	0	0				
279																				0	2089	357	8008	113	113	0	0	0	764	0	0	0	0	0	0	4685	0	0				
354																				0	0	75	154	21	21	0	0	0	58	0	0	0	0	0	0	0	0	0				
457																				0	318	0	1413	0	43	0	0	0	384	0	0	0	0	0	0	668	0	0				
505																				0	5266	0	14347	1072	2481	871	0	0	1630	0	0	0	0	0	0	4970	0	0	Prepaid Retirement			
1155																				3	283	0	7288	81	147	0	0	0	1305	0	0	0	0	0	0	5553	0	0				
1351																				0	183	0	1874	164	242	0	0	0	1449	0	0	0	0	0	0	0	0	0				
1454																				0	1121	0	13753	1100	2141	757	0	0	3085	0	0	0	0	0	0	7406	0	0	PROCESSING DEPOSIT			
1669																				8	184	842	14159	262	296	0	0	0	1581	0	0	0	0	0	0	8806	1589	861				
1856																				0	1444	0	2795	624	997	0	0	0	354	0	0	0	0	0	0	0	0	0				
2040																				0	931	1155	7831	311	390	0	0	0	691	0	0	0	0	0	0	4344	0	320				
2161																				0	333	0	5466	230	230	0	0	0	1158	0	0	0	0	0	0	3745	0	0				
2376																				0	28325	27639	187259	692	20132	0	0	0	11491	11135	0	0	0	0	0	80338	0	19334				
2554																				0	102	0	315	32	42	0	0	0	171	0	10	0	0	0	0	0	0	0				
2732																				0	174	1126	4274	0	1183	938	0	0	1791	0	0	0	0	0	0	0	0	0	Current FIT			
2750																				0	216	0	3318	328	328	0	0	0	1189	0	0	0	0	0	0	1585	0	0				
3252																				380	772	0	4729	623	1532	521	0	0	2425	0	0	0	0	0	0	0	0	0	NP DDA Debits			
3458																				0	204	0	790	0	123	0	0	0	463	0	0	0	0	0	0	0	0	0				
3720																					268	1028	10743	236	516	280			1125					0		5120	0	2686	JHA ATM settlement security deposit			
3971																				0	5498	1634	28747	1476	5150	0	0	0	2613	0	0	2179	0	0	0	13852	0	0				
4156																				0	650	49	7983	0	180	0	0	0	1145	0	0	0	0	0	0	4934	0	1025				
4231																				0	0	327	1006	120	221	0	0	0	458	0	0	0	0	0	0	0	0	0				
5069																				0	0	716	6273	2033	4010	0	0	0	1547	0	0	1957	0	0	0	0	0	0				
5135																				5	1550	1664	16332	714	832	0	0	0	6492	0	0	0	0	0	0	5794	0	0				
5210																				0	4336	3743	72248	0	11621	0	9342	0	4545	0	0	0	0	0	0	41872	0	6131		Prepaid Pension		
5461																				0	3006	0	16809	832	2396	741	0	0	2905	0	0	0	0	0	0	8502	0	0	QZAB			
5751																				0	355	51	6711	0	138	0	0	0	1629	0	0	0	0	0	0	2742	343	1453	Income Taxes Payable			
6039																				0	290	460	2721	181	194	0	0	0	1777	0	0	0	0	0	0	0	0	0				
6329																				567	719	3243	23309	984	4655				3909		447			0		8093	0	2690				
7009																				0	0	421	8599	3103	5955	0	0	0	2223	0	0	2408	0	0	0	0	0	0				
7045																				15	759	1043	3505	229	515	0	0	0	1188	0	0	0	0	0	0	0	0	0				
7072																				0	3078	2794	14205	362	3702	2612	345	0	1010	0	0	0	0	0	0	3621	0	0	Deferred Compensation	Deferred Commissions		
7456																				0	507	0	3713	0	345	264	0	0	1251	0	0	0	0	0	0	1610	0	0	Prepaid Health Insurance			
7634																				0	98	0	828	0	214	0	0	0	516	0	0	0	0	0	0	0	0	0				
8033																				0	1727	436	5401	84	304	185	0	0	1496	0	35	0	0	0	0	1438	0	0	All Other Assets			
8462																				0	21	0	1013	0	9	0	0	0	983	0	0	0	0	0	0	0	0	0				
8631																				0	337	187	3160	81	81	0	0	0	179	0	0	0	0	0	0	2376	0	0				
9357																					584	0	3390		575				2231					0		0	0	0				
9553																				0	2201	0	8049	357	578	221	0	0	2638	0	0	0	0	0	0	1711	0	921	Nebraska Fund XV Investment			
9807																					5688	0	129416	169	780				6831	245				0		34782	81335	0				
9955																				0	1004	48	2371	90	99	0	0	0	1220	0	0	0	0	0	0	0	0	0				
10250																				0	1020	1242	4631	439	579	0	0	0	1470	0	134	0	0	0	0	320	0	0				
