"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														273		89	145					39	0	0							
242														28		0	0					28	0	0							
279														1677		817	0					123	737	0							
354														109		0	0					9	100	0							
457														197		0	0					21	176	0							
505														8142		4419	844					91	2695	93							
1155														2182		1447	0					236	499	0							
1351														746		56	0					360	330	0							
1454														3557		3231	0					51	275	0							
1669														285		68	0					134	83	0							
1856														105		49	0					32	24	0							
2161														4183	0	1259	0	0	0	0	0	43	2881	0	1259	0	0				
2732														3367		791	0					586	1990	0							
2750														452		228	0					45	169	10							
3252														321		0	0					114	207	0							
3458														275		14	80					42	139	0							
3720														2214		0	0					51	2163	0							
3971														10885		5857	0					415	4598	15							
4156														763		408	53					172	130	0							
4231														679		0	0					153	526	0							
5069														8551		1577	0					740	5400	834							
5135														2855		1015	0					308	1532	0							
5210														17006		9575	0					1836	5502	93							
5461														6680		5336	0					2	1080	262							
5751														1868		1449	0					37	382	0							
6039														2492	0	210	0	0	182	0	0	390	1892	0	0	0	0	DEBIT CARD SUSPENSE			
6329														12390		6871	0	749	3229			545	4974	0	2824			UNEARNED PPP LOAN FEES			
7009														9741		143	57					4	9537	0							
7045														1732	0	0	873	0	0	0	0	88	771	0	0	0	0				
7072														4571		3294	0					33	1244	0							
7456														301		79	0					45	177	0							
7634														248		8	0					78	162	0							
8033														4572		3540	0					806	226	0							
8462														256		0	0					144	105	7							
8631														780		704	0					20	56	0							
9357														5899		3705	0					286	1908	0							
9553														1383		0	0					127	1256	0							
9807														14756		8078	0					2239	3689	750		1009	6823				
9955														361		0	95					46	220	0							
10250														2571		1690	0					163	718	0							
10849														554		103	0					76	375	0							
11145														2705		691	0		62	629		91	1923	0				Great Lakes Capital Fund	Differed Revenue		
11640														3255		1491	0					561	1203	0							
11837														389		141	0					17	231	0							
12030														3860		3137	0					189	534	0							
12142														4511		4337	0					144	30	0							
12311	1952862	0	1362741	198001	476034	0	0	0	306660	82018	0	0	0									3442									
12647														256		0	0					58	198	0							
12656														51		0	0					13	38	0							
12946														18379		12180	0					487	5712	0							
13103														57068		41591	3692		32619			542	11221	22				Defined Benefit Retirement Plan Liability			
13251														341		329	0					12	0	0							
13457														208		183	13					6	6	0							
14155														1397		765	26					111	495	0							
14650														397		271	0					11	115	0							
14753														240		0	113					67	60	0							
14865														3458		2449	0					53	931	25							
14977														127	0	13	0	12	0	0	0	32	82	0	0	0	0				
16551														1304		609	0					151	544	0							
16748														903		638	0					32	233	0							
17110														6448	0	1165	0	512	411	0	0	43	5169	71	0	0	0	DEFERRED RENT LIABILITY			
17147														199850	0	101906	0	0	0	0	0	1462	96482	0	0	82774	0				
17259														1853		1580	0					40	233	0							
17950														5075		1183	2659					319	778	136							
17978														716		132	0					4	580	0							
18050														4319		2128	0					243	1948	0							
18827														14797		9753	0					225	4804	15							
18836														2236		1145	0					137	954	0							
18854														4194		2990	0		924	606		362	842	0				Dividends Payable	Cashier's Checks		
19356														563		242	0					80	241	0							
19936														1943		1831	50					47	15	0							
19972														1182		1111	0					1	70	0							
20053														490		190	0					113	187	0							
20633														3201		1360	0					125	1622	94							
20857														312		0	0					119	193	0							
21256														8		0	0					8	0	0							
21359														182		109	0					16	57	0							
21658														1479		1025	0					115	339	0	1025						
22048														2200		1484	0					195	521	0							
22543														2778		1580	609					19	570	0							
22552														480		317	0					145	18	0							
22730														1741		256	1120					8	337	20							
23456														805		42	0					318	445	0							
23504														145698	0	124386	0	0	0	0	0	122	20457	733	0	67341	47383				
23643														297		95	0					177	25	0							
23755														1738		838	70					39	791	0							
24006														18900		15524	0					82	3294	0							
24378														219		4	0					1	214	0							
24453														1620		386	0					48	1186	0							
24659														520		316	0					32	172	0							
24668														6763		3709	691					678	1685	0							
24949														3720		1996	0					224	1500	0							
25357														654		0	0					204	450	0							
25647														5161		4248	0					389	524	0							
26176														2230		1008	0					235	928	59							
26457														75		0	0					23	52	0							
26765														6167		96	457					767	3530	1317							
27070														5890		1629	1550					443	2268	0							
27548														9188		2000	3284					192	3712	0	943	1043	14				
27614														3706		1234	790					222	1460	0							
27847														3813		2042	0					278	1493	0							
28013														33116		25123	0		6689			942	6346	705	17044			federal tax			
28152														2207		2165	0	126				18	24	0	732	1235					
28675														1001		1	725					17	258	0							
28732														1289		1073	0					124	92	0							
29476														610		380	8					119	103	0							
29636														15584		9584	0					561	5439	0							
29878														26898		25839	0		27	5391		0	1059	0	20421			Abandoned Property	Minimum Liability Pension		
30052														233		28	29					24	152	0							
30502														13220		9078	2115					70	1812	145							
30650														1070		1	450					124	495	0							
30810	3130847	0	683726	0	0	572359	0	0	2292351	59800	0	0	0									94970						Merchant Settlement			
31134														1932		1388	132	118	564	373		143	269	0				Index Liability Plan	Split Dollar Ins Liability		
31255														9643	0	3935	0	0	2181	1648	0	179	5529	0	0	0	0	3 Municipal bonds setlles in Oct	Factored loans collected reserves		
31657														205		97	0					38	70	0							
31826														3392		3092	0					163	137	0	1441						
31835														5687		677	0					107	4903	0							
32234														2481		938	0					71	1472	0							
32766														1634		606	954					3	71	0							
32971														3293		2365	0					107	821	0							
33147														1030		93	0					283	654	0							
33259														4071		664	0					1294	2113	0							
33268														500		324	0					38	138	0							
33370														142		142	0					0	0	0							
33839														164		15	82					18	49	0							
33857														3160		0	0					557	2603	0							
34425														4287		1880	0					96	2200	111							
34434														1837		1465	0					263	109	0							
34537														78788		61307	0					2034	12490	2957		15621	29857				
34555														2861	0	2559	0	0	0	0	0	302	0	0	2447	0	0				
34742														4209		2668	0					296	1245	0							
35057														821	0	431	70	0	392	0	0	71	249	0	0	0	0	PPP Fees in Process			
35301	17241000	0	14343000	735000	0	6103000	0	0	2148000	15000	0	0	0									0						Collateral deposits			
35570														367580	0	254796	0	0	0	0	0	7638	91273	13873	0	0	184281				
