"IDRSSD"	RCFN2133	RCFN2898	
	TOTAL IBF ASSETS	TOTAL IBF LIABILITIES	
37			
242			
279			
354			
457			
505			
1155			
1351			
1454			
1557			
1669			
1829			
1856			
2040			
2161			
2376			
2554			
2732			
2750			
3252			
3458			
3720			
3953			
4156			
4231			
4437			
4839			
5005			
5069			
5135			
5210			
5331			
5461			
5751			
6039			
6141			
6329			
6972			
7009			
7045			
7157			
7456			
7634			
8033			
8462			
8631			
9357			
9553			
9807			
9955			
10250			
10849			
10858			
11145			
11640			
11837			
12030			
12142			
12245			
12311			
12647			
12656			
12937			
12946			
12955			
13103			
13251			
13457			
14052			
14155			
14650			
14753			
14865			
14977			
16458			
16551			
16748			
16944			
16953			
17110			
17147			
17259			
17464			
17950			
18050			
18135			
18377			
18827			
18836			
18854			
18957			
19356			
19730			
19936			
19972			
20053			
20512			
20633			
20857			
21256			
21359			
21630			
21658			
22048			
22356			
22543			
22552			
22730			
22936			
22954			
23045			
23241			
23456			
23504			
23540			
23643			
23755			
24006			
24453			
24659			
24668			
24855			
24949			
25357			
25647			
26149			
26242			
26457			
26765			
26859			
27548			
27614			
27847			
28152			
28255			
28349			
28406			
28572			
28732			
29104			
29636			
29953			
30052			
30258			
30418			
30502			
30650			
30810			
31134			
31255			
31657			
31826			
31835			
32234			
32766			
33147			
33259			
33268			
33754			
33839			
33857			
34153			
34359			
34425			
34434			
34452			
34537			
34555			
34742			
34836			
35057			
35301			
35570			
35646			
35842			
36054			
36344			
36456			
36858			
36933			
37051			
37341			
37378			
37435			
37640			
37659			
37743			
37949			
38535			
38740			
39327			
39420			
39475			
39756			
40033			
40350			
40707			
40855			
41245			
41553			
41629			
41759			
41825			
41937			
41955			
42037			
42055			
42354			
42420			
42448			
42457			
43052			
43351			
43454			
43744			
43856			
43959			
44040			
44433			
44741			
44750			
44929			
45038			
45047			
45056			
45430			
45458			
45551			
45560			
45775			
46053			
46941			
47153			
47247			
47256			
47452			
47500			
48057			
48150			
48374			
48440			
49054			
49148			
49241			
49344			
49643			
49652			
49821			
49858			
49951			
50144			
50461			
50546			
50854			
50957			
51253			
51356			
51459			
51730			
51842			
52410			
52719			
52951			
53015			
53033			
53051			
53239			
53453			
53752			
54049			
54058			
54375			
54441			
54656			
55176			
55336			
55635			
55653			
56258			
56351			
56427			
56548			
56557			
56717			
57040			
57228			
57255			
57451			
57572			
57956			
58074			
58207			
58225			
58243			
58355			
58551			
