"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37	0	0	300																																	2	0	36								
242	0	30	138																																	0	0	1956								
279	0	10042	8102																																	1556	0	2689								
354	0	115	0																																	100	0	243								
457	0	1147	625																																	2317	0	2857								
505	22700	5251	37237																																	24723	0	11503								
1155	0	3139	10789																																	19815	0	11364								
1351	0	211	290																																	2988	0	816								
1454	0	171	14217																																	12173	0	22239								
1669	0	1486	3848																																	2995	0	203								
1856	0	243	3665																																	2551	0	1977								
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			5713	0	1889								
2732	0	926	20869																																	33951	0	845								
2750	0	55	2042																																	1384	0	9910								
3252	5000	51	740																																	2347	0	7044								
3458	1500	101	162																																	543	0	378								
3720	5000	2283	1314																																	2565	0	4177								
3971	0	3175	25175																																	41603	0	17552								
4156	0	710	2899																																	6333	0	6595								
4231	0	158	4006																																	197	0	2934								
5069	0	28486	10453																																	780	0	0								
5135	0	1359	6236																																	6331	0	29408								
5210	0	15269	47545																																	73407	0	44008								
5461	26000	212	1965																																	15796	0	20174								
5751	4000	878	1458																																	9058	0	10577								
6039	0	3220	6856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			1235	0	5080								
6329	0	25530	16623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	13323	0	12084								
7009	0	0	0																																	0	0	0								
7045	0	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			1735	0	3201								
7072	10000	1163	426																																	4490	0	5577								
7456	0	1222	624																																	6512	0	16003								
