"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
37				0	0	0	0	0	0				162	0	49	12	6	5	0	0	0	0	0	0	0	0	0	0	0	0							
242				0	1	0	0	0	0	0	0	0	47	16	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0							
279				0	0	0	0	0	0				3	0	0	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0							
354				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
457				0	0	0	0	0	0	0	0	0	58	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0							
505				0	0	0	0	0	0	0	0	0	22	0	0	230	64	0	0	0	0	0	0	0	0	0	0	0	0	0							
1155				0	0	0	0	0	0				10	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
1351				0	0	0	0	0	0	0	0	0	197	1	142	56	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1454				0	0	0	0	0	0	0	0	0	11	0	13	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0							
1669				0	0	0	0	0	0				231	72	3	141	64	1	0	0	0	0	0	0	0	0	0	0	0	0							
1856				0	0	0	0	0	0				0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
2040				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
2161				0	0	2160	0	0	2160	0	0	0	30	0	0	22	0	4	0	0	13	0	0	0	0	0	0	0	0	0							
2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
2554				0	0	0	0	0	0	0	0	0	23	0	0	3	60	0	0	0	0	0	0	0	0	0	0	0	0	0							
2732				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
2750				0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
3252				0	0	0	0	0	0	0	0	0	62	0	40	246	0	117	0	0	0	0	0	0	0	0	0	0	0	0							
3458				0	0	0	0	0	0	0	0	0	110	12	3	23	12	10	0	0	0	0	0	0	0	0	0	0	0	0							
3720				0	0	0	0	0	0	0	0	0	37	0	0	34	0	23	0	0	0	0	0	0	0	0	0	0	0	0							
3971				0	0	1081	0	0	1061	0	0	16	0	0	0	314	0	155	0	0	0	0	0	0	0	0	0	0	0	0							
4156				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
4231				0	0	0	0	0	0				30	0	0	49	0	2	0	0	0	0	0	0	0	0	0	0	0	0							
5069				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
