"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	AVG CNSL TOTAL ASSET CALENDAR QTR	AVG METHOD USED	AVG TANGIBLE EQT CALENDAR QTR	HOLDING LT UNSCD DEBE ISS OTHR INS I	BANKER'S BANK CERTIFICATION	BNKRS BNK DEDUCTIONS	BNKR BNK DEDUCTION LIMIT	CUSTODIAL BANK CERTIFICATION	CUST BANK DED	CUST BANK DED LIMIT	CRITICIZED CLASSIFIED SPECIAL	CRITICIZED CLASSIFIED SUBSTANDARD	CRITICIZED CLASSIFIED DOUBTFUL	CRITICIZED CLASSIFIED LOSS	SUBPRIME CNSMR LN	LEVERAGED LN AND SCTY	OREO RCV US GOVT GRNT INS PRV	CMRL IND LN GRNT INS US GOVT	CREDIT CARD LN GRNT INS US GOVT	OTHR LN GRNT INS US GOVT	AMT INST LARGE CNTRPTY EXP	TOT AMT INST 20 LARGE CNTRPTY EXP	TOTAL FOR DEP INCLUDED IN B	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	AVG CNSL TOTAL ASSET CALENDAR QTR	AVG METHOD USED	AVG TANGIBLE EQT CALENDAR QTR	HOLDING LT UNSCD DEBE ISS OTHR INS I	BANKER'S BANK CERTIFICATION	BNKRS BNK DEDUCTIONS	BNKR BNK DEDUCTION LIMIT	CUSTODIAL BANK CERTIFICATION	CUST BANK DED	CUST BANK DED LIMIT	CRITICIZED CLASSIFIED SPECIAL	CRITICIZED CLASSIFIED SUBSTANDARD	CRITICIZED CLASSIFIED DOUBTFUL	CRITICIZED CLASSIFIED LOSS	SUBPRIME CNSMR LN	LEVERAGED LN AND SCTY	OREO RCV US GOVT GRNT INS PRV	CMRL IND LN GRNT INS US GOVT	CREDIT CARD LN GRNT INS US GOVT	OTHR LN GRNT INS US GOVT	AMT INST LARGE CNTRPTY EXP	TOT AMT INST 20 LARGE CNTRPTY EXP	NTRAD 1-4 FAM RES ML	UNFND CMT CNST LND DEV OTHR	CNST LND DEV OTHR GRNT US GOVT	NBRKD DEP GT 250K	CNST LND DEV OTHR FUND GRNT US GOVT	MFMLY RES NFRM NRES FUND GRNT US GOV	CE LN SCD 1ST LIEN FML FUND GRNT US 	CE LN JR LIEN OEND FUND GRNT US GOVT	PB/PSA FDIC CERTIFICATE NUMBER	
37																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4847	355	0	0	57970	5071	4123	9	66940	0	0	0	0	0	0	0	0	0	0	890	2	84792	1	17276	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
242																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1937	166	0	0	22407	2763	1698	5	26042	0	0	0	0	0	0	0	0	0	0	1132	3	35426	1	4545	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
279																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	11774	367	404	1	88533	7511	5952	17	106663	0	0	0	0	0	0	0	0	0	0	1628	4	143004	1	23262	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
354																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	0	0	0	0	8489	783	976	2	9465	0	0	0	0	0	0	0	0	0	0	419	1	10441	1	997	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
457																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2112	120	251	1	24966	2538	2742	8	30071	0	0	0	0	0	0	0	0	0	0	0	0	36440	1	3397	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
505																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	8075	463	274	1	201030	19435	110080	118	319459	0	0	0	0	0	0	0	0	0	1219	15280	28	401971	1	30113	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1155																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	13968	634	886	3	137615	12681	18244	33	170713	0	0	0	0	0	0	0	0	0	0	2104	2	208827	1	17932	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1351																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	8658	281	905	2	72427	4870	54603	115	136593	0	0	0	0	0	0	0	0	0	0	956	3	157096	1	21190	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1454																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	21825	1580	2285	7	299609	32105	158821	218	482540	0	0	0	0	0	0	0	0	0	0	65278	77	544162	1	48832	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1557																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1964	343	0	0	34735	2569	11666	26	48365	0	0	0	0	0	0	0	0	0	0	3165	6	58288	1	5520	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1669																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	11866	508	0	0	136095	12345	50332	43	198293	0	0	0	0	0	0	0	0	0	0	16296	11	246213	1	42139	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1829																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	19561	1665	3826	6	240420	24394	75708	114	339515	0	0	0	0	0	0	0	0	0	2253	19922	31	411296	1	32308	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1856																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	0	0	0	0	76850	671	2848	3	79698	0	0	0	0	0	0	0	0	0	0	0	0	161276	1	20969	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2040																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	8219	452	0	0	115698	8380	32096	46	156013	0	0	0	0	0	0	0	0	0	8861	1603	3	205116	2	20133	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2161																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	7310	314	360	1	73766	7430	31123	38	112560	0	0	0	0	0	0	0	0	0	0	11014	9	129973	1	13124	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2376																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		131000	0	80277	3972	1860	6	1068970	60115	249694	475	1400801	0	0	0	0	0	0	0	0	0	0	11767	28	2531271	1	407063	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2554																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	122	2	0	0	8832	550	1289	2	10243	0	0	0	0	0	0	0	0	0	0	539	1	10984	2	850	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2732																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	15245	590	285	1	238934	10165	182628	190	437092	0	0	0	0	0	0	0	0	0	0	27837	45	517450	1	72692	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2750																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2041	120	0	0	32528	2173	13548	25	48117	0	0	0	0	0	0	0	0	0	0	0	0	57816	1	5331	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3252																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	6219	257	257	1	81491	6481	41112	43	129079	0	0	0	0	0	0	0	0	0	7611	33024	33	149420	1	18573	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3458																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	643	24	0	0	19449	1799	4601	6	24693	0	0	0	0	0	0	0	0	0	0	0	0	33229	1	3147	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3720																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	7443	301	634	2	106414	12252	37672	52	152163	0	0	0	0	0	0	0	0	0	0	11453	17	192302	1	27069	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3953																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	322	18	0	0	89729	6651	15366	35	105417	0	0	0	0	0	0	0	0	0	0	12194	27	116909	1	8560	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4156																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	6177	290	822	3	129456	9279	20298	38	156753	0	0	0	0	0	0	0	0	0	14365	2930	7	191854	1	17678	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4231																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	12718	320	7371	20	78855	6798	10935	17	109879	0	0	0	0	0	0	0	0	0	0	2337	6	124882	1	14383	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4437																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	11565	577	337	1	171082	14622	47754	76	230738	0	0	0	0	0	0	0	0	0	5073	7645	17	261266	1	25493	615	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4839																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	9643	450	1653	2	198473	39617	49125	82	259004	109	0	0	0	0	0	0	0	0	0	6818	11	316194	1	30557	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5005																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	22099	1220	531	2	222895	17734	30084	70	275609	0	0	0	0	0	0	0	0	0	0	4488	12	360075	1	13663	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
5069																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	980	27	545	2	248183	2235	102796	172	352504	0	0	0	0	0	0	0	0	0	0	13942	16	480932	1	131006	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
