"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	AVG CNSL TOTAL ASSET CALENDAR QTR	AVG METHOD USED	AVG TANGIBLE EQT CALENDAR QTR	HOLDING LT UNSCD DEBE ISS OTHR INS I	BANKER'S BANK CERTIFICATION	BNKRS BNK DEDUCTIONS	BNKR BNK DEDUCTION LIMIT	CUSTODIAL BANK CERTIFICATION	CUST BANK DED	CUST BANK DED LIMIT	CRITICIZED CLASSIFIED SPECIAL	CRITICIZED CLASSIFIED SUBSTANDARD	CRITICIZED CLASSIFIED DOUBTFUL	CRITICIZED CLASSIFIED LOSS	SUBPRIME CNSMR LN	LEVERAGED LN AND SCTY	OREO RCV US GOVT GRNT INS PRV	CMRL IND LN GRNT INS US GOVT	CREDIT CARD LN GRNT INS US GOVT	OTHR LN GRNT INS US GOVT	AMT INST LARGE CNTRPTY EXP	TOT AMT INST 20 LARGE CNTRPTY EXP	NTRAD 1-4 FAM RES ML	TOTAL FOR DEP INCLUDED IN B	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	AVG CNSL TOTAL ASSET CALENDAR QTR	AVG METHOD USED	AVG TANGIBLE EQT CALENDAR QTR	HOLDING LT UNSCD DEBE ISS OTHR INS I	BANKER'S BANK CERTIFICATION	BNKRS BNK DEDUCTIONS	BNKR BNK DEDUCTION LIMIT	CUSTODIAL BANK CERTIFICATION	CUST BANK DED	CUST BANK DED LIMIT	CRITICIZED CLASSIFIED SPECIAL	CRITICIZED CLASSIFIED SUBSTANDARD	CRITICIZED CLASSIFIED DOUBTFUL	CRITICIZED CLASSIFIED LOSS	SUBPRIME CNSMR LN	LEVERAGED LN AND SCTY	OREO RCV US GOVT GRNT INS PRV	CMRL IND LN GRNT INS US GOVT	CREDIT CARD LN GRNT INS US GOVT	OTHR LN GRNT INS US GOVT	AMT INST LARGE CNTRPTY EXP	TOT AMT INST 20 LARGE CNTRPTY EXP	NTRAD 1-4 FAM RES ML	UNFND CMT CNST LND DEV OTHR	CNST LND DEV OTHR GRNT US GOVT	NBRKD DEP GT 250K	CNST LND DEV OTHR FUND GRNT US GOVT	MFMLY RES NFRM NRES FUND GRNT US GOV	CE LN SCD 1ST LIEN FML FUND GRNT US 	CE LN JR LIEN OEND FUND GRNT US GOVT	PB/PSA FDIC CERTIFICATE NUMBER	
37																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4831	350	0	0	56841	5039	4834	9	66506	0	0	0	0	0	0	0	0	0	0	362	1	83880	1	17244	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
242																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1910	157	0	0	23411	2740	601	2	25922	0	0	0	0	0	0	0	0	0	0	601	2	35186	1	4683	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
279																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	12080	358	405	1	88590	7203	5508	17	106583	0	0	0	0	0	0	0	0	0	0	346	1	141827	1	23500	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
354																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	0	0	0	0	7902	773	1003	2	8905	0	0	0	0	0	0	0	0	0	0	446	1	10284	1	926	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
457																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2358	116	0	0	24938	2505	4068	9	31364	0	0	0	0	0	0	0	0	0	0	358	1	36684	1	3578	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
505																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7747	458	275	1	194748	19211	123464	128	326234	0	0	0	0	0	0	0	0	0	608	17436	32	383903	1	30499	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1155																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	13911	627	894	3	141697	12769	20879	40	177381	0	0	0	0	0	0	0	0	0	0	2913	5	210543	1	18500	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1351																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	8710	280	914	2	73953	4884	54488	115	138065	0	0	0	0	0	0	0	0	0	0	622	2	159743	1	21724	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1454																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	22432	1578	2220	7	304907	32283	173976	226	503535	0	0	0	0	0	0	0	0	0	0	64885	78	587490	1	50276	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1557																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1968	293	0	0	34426	2623	13386	30	49780	0	0	0	0	0	0	0	0	0	0	4587	9	58395	1	5633	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1669																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	11867	499	0	0	137282	12368	50181	39	199330	0	0	0	0	0	0	0	0	0	0	19279	14	244373	1	43004	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1829																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	19731	1643	3927	6	237471	23995	74532	118	335661	0	0	0	0	0	0	0	0	0	2257	20600	37	410469	1	32399	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
1856																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	0	0	0	0	72748	834	465	1	73213	0	0	0	0	0	0	0	0	0	0	0	0	152773	1	21774	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2040																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	8078	414	0	0	110805	8307	30806	50	149689	0	0	0	0	0	0	0	0	0	9212	6370	11	196322	2	20390	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2161																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7126	309	362	1	73992	6810	28544	37	110024	0	0	0	0	0	0	0	0	0	0	4599	8	127811	1	14053	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2376																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		143000	0	79824	3932	1809	6	1062973	60937	259901	469	1404507	0	0	0	0	0	0	0	0	0	0	15576	32	2518333	1	416013	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2554																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	27	2	0	0	9280	560	1115	2	10422	0	0	0	0	0	0	0	0	0	0	365	1	11758	2	856	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2732																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	15080	590	284	1	230112	10380	202205	210	447681	0	0	0	0	0	0	0	0	0	0	37230	48	517877	1	73192	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
2750																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2047	119	0	0	32809	2138	11926	23	46782	0	0	0	0	0	0	0	0	0	0	845	2	58660	1	5406	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3252																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6106	257	259	1	64267	6433	58401	61	129033	0	0	0	0	0	0	0	0	0	4610	30096	37	153060	1	18968	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3458																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	646	24	0	0	18314	1801	5190	8	24150	0	0	0	0	0	0	0	0	0	0	0	0	32472	1	3244	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3720																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	7492	297	637	2	108054	12330	40292	59	156475	0	0	0	0	0	0	0	0	0	0	5847	12	191784	1	27750	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
3953																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	0	0	0	0	42729	2565	9264	19	51993	0	0	0	0	0	0	0	0	0	0	7783	14	66856	1	4796	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
4156																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6020	284	825	3	129788	9218	20704	46	157337	0	0	0	0	0	0	0	0	0	14316	3942	9	194606	1	17765	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
