"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RCONF670	RCONF671	RCONF672	RCONF673	RCONF674	RCONF675	RCONF676	RCONF677	RCONF678	RCONF679	RCONF680	RCONF681	RIADF184	RIADF560	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RTL ORGTN QTR 1-4 RES MTG LN TOT CMI	RTL ORGTN QTR 1-4 RES MTG LN PRNPL A	WHOL ORGTN QTR 1-4 RES MTG LN TOT CM	WHOL ORGTN QTR 1-4 RES MTG LN PRNPL 	1-4 RES MTG LN HLD SALE QTR TOT CMTM	1-4 RES MTG LN HLD SALE QTR PRNPL AM	1-4 RES MTG LN HLD SALE TOT CMTM CR	1-4 RES MTG LN HLD SALE QTR PRNPL CR	RPRH INDMN 1-4 RES MTG CL 1ST LIEN	RPRH INDMN 1-4 RES MTG CL JR LIEN	RPRH INDMN 1-4 RES MTG TOT CMTM OL	RPRH INDMN 1-4 RES MTG PRNPL AMT OL	NONINT INC FOR QTR FROM SALE 1-4 MTG	NONINT INC FROM SALE OE 1 TO 4 RES M	
37																							
242																							
279																							
354																							
457																							
505																							
1155																							
1351																							
1454																							
1557																							
1669																							
1829																							
1856																							
2040																							
2161																							
2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2554																							
2732																							
2750																							
3252																							
3458																							
3720																							
3953																							
4156																							
4231																							
4437																							
4839																							
5005																							
5069																							
5135																							
5210																							
5331																							
5461																							
5751																							
6039																							
6141																							
6329																							
6972																							
7009																							
7045																							
7157																							
7456																							
7634																							
8033																							
8462																							
8631																							
9357	0	0	491319	0	432084	0	108313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9553																							
9807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	
9955																							
10250																							
10849																							
10858	4193	0	0	0	4375	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	
11145																							
11640																							
11837																							
12030																							
12142																							
12245																							
12311	577686	0	77643	0	529722	0	331883	0	0	0	0	0	0	0	0	0	46532	0	0	0	12791	0	
12647																							
12656																							
12937																							
12946																							
12955																							
13103	3107	0	0	0	3491	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	
13251																							
13457																							
14052																							
14155																							
14650																							
14753																							
14865																							
14977																							
16458																							
16551																							
16748																							
16944																							
16953																							
17110																							
17147	87902	0	0	0	80492	0	12257	0	0	0	0	0	0	0	0	0	0	0	0	0	1717	0	
17259																							
17464	7941	0	0	0	8503	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	
17950																							
18050																							
18135																							
18377																							
18827																							
18836																							
18854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18957																							
19356																							
19730	8025	0	21301	0	26811	0	5530	0	0	0	0	0	0	0	0	0	81	0	0	0	630	0	
19936																							
19972																							
20053																							
20512																							
20633																							
20857																							
21256																							
21359																							
21630																							
21658																							
22048																							
22356																							
22543																							
22552																							
22730																							
22936																							
22954																							
23045																							
23456																							
23504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23540																							
23643																							
23755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24006																							
24453	270	0	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	
24659																							
24668																							
24855																							
24949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25357																							
25647																							
26242																							
26457																							
26765																							
26859																							
27548	30464	0	0	0	31309	0	1630	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	
27614																							
27847																							
28152																							
28255																							
28349																							
28406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28572																							
28732																							
29104	4761	0	0	0	4939	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29636																							
29953																							
30052																							
30258	5167	0	0	0	7322	0	2658	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	
30418																							
30502	10598	0	0	0	8908	0	2722	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	
30650																							
30810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31134																							
31255																							
31657																							
31826																							
31835																							
32234																							
32766																							
33147																							
33259																							
33268																							
33754																							
33839																							
33857																							
34153																							
34359																							
34425																							
34434																							
34452																							
34537	17463	0	0	0	16751	0	5319	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	
34555																							
34742																							
34836																							
35057																							
35301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35570	133894	0	0	0	130952	0	22908	0	0	0	0	0	0	0	0	0	0	0	0	0	1938	0	
35646																							
35842																							
36054	258	0	12209	3	12726	0	1540	3	0	0	0	0	0	0	0	0	0	0	0	0	221	0	
36344																							
36456																							
36858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36933																							
37051																							
37341																							
37378																							
37435	11811	0	0	0	10776	0	2210	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	
37640	28905	0	0	0	24993	0	10009	0	0	0	0	0	0	0	0	0	34	0	0	0	841	0	
37659																							
37743																							
37949																							
38535																							
38740																							
39327																							
39420	20312	0	0	0	19266	0	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	
39475	23483	0	0	0	19940	0	8109	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	
39756																							
40033																							
40350																							
40707																							
40855																							
41245																							
41553																							
41629																							
41759																							
41825																							
41937																							
41955																							
42037																							
42055																							
42354																							
42420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42448																							
42457																							
43052																							
43351																							
43454																							
43744																							
43856																							
43959																							
44040																							
44433																							
44741																							
44750																							
44929																							
45038																							
45047																							
45056																							
45430																							
45458																							
45551																							
45560																							
45775																							
46053																							
46941																							
47153																							
47247																							
47256																							
47452																							
47500																							
48057																							
48150																							
48374	36742	7	0	0	34145	6	7520	4	0	0	0	0	0	0	0	0	5	0	0	0	1038	0	
48440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	
49054																							
49148																							
49241																							
49344																							
49643																							
49652																							
49821																							
49858																							
49951																							
50144																							
50461																							
50546																							
50854																							
50957																							
51253																							
51356																							
51459																							
51730																							
51842	4854	0	0	0	4700	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52410																							
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52951																							
53033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	23	
53051																							
53239																							
53453																							
53752																							
54049																							
54058																							
54375																							
54441																							
54656																							
55176																							
55336																							
55635																							
55653																							
56258																							
56351																							
56427																							
56548																							
56557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56717																							
57040																							
57228																							
57255																							
57451																							
57572																							
57956																							
58074																							
58207																							
58225																							
58243	308789	0	0	0	270545	0	79736	0	0	0	0	0	0	0	0	0	1064	0	0	0	-3352	0	
58355																							
58551																							
58636																							
58757																							
58971	24243	0	0	0	25804	0	3432	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	
59316																							
59352																							
59679																							
59754																							
60143	50429	0	517	0	44135	0	13349	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	
60330																							
60433																							
60545																							
60554																							
60648																							
61122	3051	0	0	0	2432	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	
61355	33422	0	0	0	30276	0	7194	0	0	0	0	0	0	0	0	0	221	0	0	0	527	0	
61476																							
61757																							
61832																							
61953																							
62044																							
62110																							
62147																							
63050																							
63069	0	0	0	0	6959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	
63078	30545	0	0	0	23198	0	10338	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	
63201																							
63359																							
63573																							
63733																							
63742																							
63751																							
64150	16003	44	0	0	13987	0	4605	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
64543																							
64552																							
64619	87282	10	3472	0	93034	10	22874	0	0	0	0	0	0	0	0	0	0	0	0	0	1484	0	
64730																							
65205																							
65241																							
65513																							
65559																							
65746	17254	0	0	0	15541	0	3865	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	
65858	224	0	3970	0	3519	0	1116	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	
66015																							
66154																							
66172																							
66275																							
66837																							
67142																							
67151																							
67209																							
67254																							
67311	135507	0	0	0	118587	0	39340	0	0	0	0	0	0	0	0	0	100	0	0	0	750	0	
68345																							
68448																							
68756																							
68831																							
68840																							
68859																							
68943																							
69333	21435	0	0	0	20340	0	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
69678																							
69847																							
70049																							
70058																							
70218																							
70414																							
70638																							
70955																							
71318																							
71457																							
71859																							
72258																							
72351																							
72454																							
72678																							
73031																							
73116																							
73152																							
73554																							
73956																							
74056																							
74140	14083	0	0	0	11871	0	2976	0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	
74159																							
74403																							
74449																							
74458																							
75053																							
75259																							
75446																							
75455																							
75558																							
75633	414844	0	0	0	393234	0	68564	0	0	0	0	0	193	193	0	0	3373	0	0	0	12537	0	
75651																							
76135																							
76153																							
76443																							
76854																							
77150																							
77253																							
77422																							
77758																							
77851	14429	67	0	0	13661	0	1892	67	0	0	0	0	0	0	0	0	0	0	0	0	405	0	
78036																							
78157																							
78241																							
78559																							
78858	108936	0	0	0	97993	0	30385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79042																							
79127																							
79145																							
79257																							
79855																							
80020																							
80150																							
80431																							
80552																							
80936																							
81429																							
82033																							
82257																							
82350																							
82659																							
83151																							
83236																							
83375	10224	0	0	0	9909	0	3210	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	
83638	620	0	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	
83834																							
83852																							
83955																							
84046																							
84055																							
84251																							
84541																							
84804																							
85052																							
85258																							
85454																							
85931																							
86349																							
86358																							
86527	9768	0	0	0	9357	0	2380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
86554																							
87047																							
87159																							
87234																							
87476																							
88240																							
88259																							
88352																							
88455																							
88530																							
88950																							
89032																							
89135																							
89751																							
89854																							
89957																							
90047																							
90328																							
90337																							
90645																							
90739																							
91156																							
91259																							
91615																							
91651																							
91754																							
91950																							
92050																							
92144																							
92706																							
92854																							
92902																							
93244																							
93413																							
93543																							
93619																							
93721	64329	0	0	0	51101	0	30109	190	0	0	0	0	0	0	0	0	0	0	0	0	-801	0	
93758																							
94139																							
94456																							
94522																							
94755																							
94858																							
95051																							
95659																							
96553																							
97055																							
97279																							
97457																							
97804																							
97943																							
98351																							
98454																							
98463																							
98548																							
98641	16534	21	0	0	14238	34	5626	14	0	0	0	0	0	0	0	0	0	0	0	0	238	0	
98717																							
99059																							
99143																							
99255																							
99442																							
99536																							
99853																							
99974																							
100236																							
100357																							
100553																							
100562	32178	0	0	0	25685	0	10872	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	
100843																							
101019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101037																							
101345																							
101439																							
101671																							
101738																							
101952																							
102155																							
102333																							
102342																							
102539																							
102557																							
103134																							
103255	12993	0	0	0	10974	0	4120	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0	
103563																							
103602																							
104056																							
104234																							
104430																							
104542																							
105026																							
105053	0	0	349094	0	307716	0	91108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
105071																							
105222																							
105530																							
105633																							
106359	11818	0	0	0	9265	0	3156	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	
106377	3635	0	0	0	3724	0	1458	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	
106452																							
106519																							
106546																							
106658																							
107057																							
107226																							
107244	45164	0	0	0	37123	0	14011	0	0	0	0	0	0	0	0	0	0	0	0	0	587	0	
107431																							
107459																							
107758																							
108269																							
108652																							
108746																							
108951																							
109136																							
109154																							
109453																							
109574																							
109659																							
110413	10101	0	0	0	10435	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	
110655																							
110936																							
110945																							
111157																							
111205																							
111661																							
111942																							
111979																							
112163	16863	0	0	0	15910	0	2312	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	
112332																							
112444																							
112510																							
112556																							
112837	239152	0	0	0	182523	0	135277	0	0	0	0	0	0	0	0	0	3026	0	0	0	25114	-132	
113003																							
113030																							
113441																							
113601																							
113740																							
113937																							
114149																							
114158																							
114251																							
114260	39104	0	0	0	32949	0	16660	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	
114457																							
114756																							
114774																							
114840																							
114859																							
115100																							
115146																							
115155																							
115221																							
115575																							
115641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
116077																							
116358																							
116554																							
116639																							
116732																							
116741																							
117038																							
117458																							
117672																							
117775																							
118156																							
118174																							
118660																							
118736																							
119153																							
119274																							
119528																							
119779	17315	0	0	0	15660	0	4221	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	
120542																							
120609																							
120953																							
121642	59045	0	0	0	42344	0	26415	0	0	0	0	0	0	0	0	0	0	0	0	0	771	0	
121651																							
121914																							
122153																							
122546																							
122751																							
122854	0	0	29076	0	29810	0	2027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123440																							
123646																							
124344																							
124353																							
124830																							
125154																							
