"IDRSSD"	RCFD2221	RCFD3210	RCFD3792	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFDA221	RCFDB503	RCFDB504	RCFDB505	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDC227	RCFDC228	RCFDF264	RCFDL136	RCFDL137	RCFDL138	RCON2221	RCON3210	RCON3792	RCON4336	RCON5306	RCON5310	RCON5311	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCONA221	RCONB503	RCONB504	RCONB505	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONC227	RCONC228	RCONF264	RCONL136	RCONL137	RCONL138	
	UNREALIZED GAINS ON A-F-S EQUITY SEC	TOTAL EQUITY CAPITAL	TOTAL RISK-BASED CAPITAL	ACCMLTD NT GN(LOSS) ON CSH FLW HDGS	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 LEVERAGE RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	NET UNRELZD HLDG GAINS(LOSS) ON AVL	NET UNREAL LOSS ON AFS EQTY SEC	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CUMULATIVE CHANGE IN FAIR VALUE	TOTAL ASSETS FOR LEVERAGE RATIO	OTHR ADD DED FOR LEVERAGE CAP PURP	TOTAL ASSETS LEVERAGE CAPITAL PURPOS	UNREALIZED GAINS ON A-F-S EQUITY SEC	TOTAL EQUITY CAPITAL	TOTAL RISK-BASED CAPITAL	ACCMLTD NT GN(LOSS) ON CSH FLW HDGS	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 LEVERAGE RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	NET UNRELZD HLDG GAINS(LOSS) ON AVL	NET UNREAL LOSS ON AFS EQTY SEC	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CUMULATIVE CHANGE IN FAIR VALUE	TOTAL ASSETS FOR LEVERAGE RATIO	OTHR ADD DED FOR LEVERAGE CAP PURP	TOTAL ASSETS LEVERAGE CAPITAL PURPOS	
37																																				0	18064	18745	0	0	544	544	0	0.2127	0.4346	0.4219	0.0000	0.0000	0.0000	18201	544	-137	0	0	0	0	0	0	0	0	0	0	0	0	18201	0	0	85584	0	85584	
242																																				0	4743	4962	0	0	190	190	0	0.1156	0.1201	0.1155	0.0000	0.0000	0.0000	4772	190	-29	0	0	0	0	0	0	0	0	0	0	0	0	4772	0	0	41290	0	41290	
279																																				0	26243	26714	0	0	719	719	0	0.1671	0.2844	0.2767	0.0000	0.0000	0.0000	25995	719	244	0	0	0	0	0	0	0	4	0	0	0	0	25999	0	0	155554	0	155550	
354																																				0	773	972	0	0	57	57	107	0.0886	0.2193	0.2065	0.0000	0.0000	0.0000	915	57	-249	0	0	0	0	0	0	0	0	0	0	0	0	1022	0	0	10432	0	10325	
457																																				0	4133	4583	0	0	448	448	0	0.094913	0.127795	0.115303	0	0	0	4135	448	-2	0	0	0	0	0	0	0	0	0	0	0	0	4135	0	0	43566	0	43566	
505																																				0	34612	37529	-1395	0	3411	3411	0	0.082783	0.143724	0.130661	0.000000	0.000000	0.000000	34118	3411	894	0	0	0	0	0	0	978	17	0	0	0	0	34135	0	0	413132	0	412137	
1155																																				0	18660	20720	0	0	1964	1964	0	0.084975	0.132271	0.119733	0.000000	0.000000	0.000000	18756	1964	-96	0	0	0	0	0	0	0	0	0	0	0	0	18756	0	0	220724	0	220724	
1351																																				0	22244	23643	0	0	1318	1318	0	0.1382	0.2243	0.2118	0.0000	0.0000	0.0000	22325	1318	-81	0	0	0	0	0	0	0	0	0	0	0	0	22325	0	0	161483	0	161483	
1454																																				12	57824	68560	0	0	2959	2971	0	0.097263	0.230465	0.220478	0.000000	0.000000	0.000000	65589	2971	-7765	0	0	0	0	0	0	0	0	0	0	0	0	65589	0	0	674345	0	674345	
