"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
37																												
242																												
279																												
354																												
457																												
505																												
1155																												
1351																												
1454		466	467	43	325	0	0																			670	28	
1557																												
1669																												
1829																												
1856																												
2040																												
2161																												
2376																												
2554																												
2732																												
2750																												
3177																												
3252																												
3458																												
3720																												
3971																												
4156																												
4231																												
4437																												
4839																												
5069																												
5135																												
5210																												
5461																												
5751																												
6039																												
6141																												
6329																												
7009		14993	231	148	0	307	32814																			542	135	
7045																												
7072																												
7157																												
7456																												
7634																												
8033																												
8462																												
8631																												
9357																												
9553																												
9807		96	4	0	39	0	0																			0	14	
9955																												
10250																												
10849																												
11145																												
11275																												
11640																												
11837																												
12030																												
12142																												
12179																												
12311		20787	5384	2412	5172	5775	75		0																	17575	3855	
12647																												
12656																												
12937																												
12946																												
12955																												
13103		383	48	0	253	0	1																			614	174	
13251																												
13457																												
14052																												
14155																												
14650																												
14753																												
14865																												
14977																												
16551																												
16748																												
16953																												
17110		3170	1011	0	2782	30	915																			13247	1280	
17147		3327	1167	166	692	111	0																			1244	222	
17259																												
17464																												
17950																												
17978																												
18050																												
18135																												
18377																												
18827																												
18836																												
18854																												
19356																												
19730		422	12	0	119	2	457																			286	0	
19936																												
19972																												
20053																												
20512																												
20633																												
20857																												
21256																												
21359																												
21630																												
21658																												
22048																												
22543																												
22552																												
22730																												
22936																												
23045		139	0	0	0	0	0																			0	0	
23456																												
23504																												
23643																												
23755																												
24006																												
24378																												
24453																												
24659																												
24668																												
24855																												
24949																												
25357																												
25647																												
26176																												
26242																												
26457																												
26765																												
27070																												
27548																												
27614																												
27847																												
28013																												
28152																												
28255																												
28349																												
28406																												
28675																												
28732																												
29476																												
29636																												
29878																												
30052																												
30418																												
30502																												
30650																												
30810																												
30874																												
31134																												
31255																												
31657																												
31826																												
31835																												
32234																												
32766																												
32971																												
33147																												
33259																												
33268																												
33370																												
33839																												
33857																												
34425																												
34434																												
34452																												
34537																												
34555																												
34742																												
34836																												
35057																												
35301		7251	172523	432045	147418	2477670	53032		2306870																	96989	34173	
35570																												
35646																												
35842																												
35879																												
36456																												
36933																												
37051																												
37341																												
37435		648	30	0	570	0	0																			7	0	
37640		376	180	54	179	49	20																			608	103	
37659																												
37743																												
37949																												
38740																												
39327																												
39475																												
39756																												
40033																												
40350																												
40499																												
40855																												
41245																												
41553																												
41629																												
41825																												
41937																												
41955																												
42037																												
42354																												
42372																												
42420		1225	12	136	716	59	387																			1632	243	
42448																												
42457																												
43052																												
43351																												
43744																												
43856																												
43959																												
44040																												
44433																												
44741																												
44750																												
44929																												
45038																												
45047																												
45056																												
45430																												
45458																												
45551																												
45560		1820	40	97	234	592	59																			1332	133	
45775																												
46053																												
46941																												
47247																												
47256																												
47452																												
47500																												
48057																												
48150																												
48374																												
48440																												
49054																												
49148																												
49241																												
49344																												
49643																												
49652																												
49821		1488	250	0	267	57	0																			436	204	
49858																												
49951																												
50144																												
50461																												
50546																												
50854																												
50872																												
50957																												
51253																												
51356																												
51459																												
51842																												
52719	50219	0	0	0	0	0	300654																		250435	0	0	
52951																												
53033		569	1	0	277	0	0																			2654	0	
53051																												
53752																												
54049																												
54058																												
54375																												
54441																												
54656																												
54973																												
55336																												
55635																												
55653																												
55970																												
56258																												
56351		1229	25	0	93	69	11																			896	239	
56427																												
56548																												
56557																												
56717																												
57040																												
57228																												
57451																												
58177																												
58207																												
58225																												
58243		2870	3765	98	3609	225	13																			5674	329	
58355																												
58551																												
58636																												
58757																												
58971		4170	501	4	1263	170	0																			3672	711	
59316																												
59352																												
59370																												
59754																												
60143		33556	2100	3383	5678	10115	6958		1854																	18711	4629	
60330																												
60545																												
60554																												
60648																												
61122		1197	221	368	927	0	15																			1402	95	
61177																												
61355																												
61476																												
61757																												
61832		948	56	0	219	29	0																			979	252	
61953																												
62044																												
62110		1967	0	0	0	0	0																			2123	1039	
62147																												
62772																												
63050																												
63069		24827	1566	1102	3709	2442	159		0																	11307	1001	
63201																												
63573																												
63733																												
63742																												
63751																												
64150		396	0	0	4	67	0																			24	0	
64543																												
64552																												
64730																												
65205																												
65241																												
65513		3820	2	0	0	66	3932		0																	0	0	
65559																												
65746																												
65858		566	220	0	213	84	13																			689	30	
66154																												
66275																												
66677																												
67142																												
67151																												
67209																												
67254																												
67311		10176	3531	377	3183	753	778																			11491	582	
67656																												
67870																												
68345																												
68448																												
68671																												
68756																												
68831																												
68840																												
68859																												
68943																												
69333		512	18	0	130	87	45																			216	0	
69678		1926	466	0	760	10	0																		2126	1968	0	
70058																												
70218																												
70414																												
70638																												
70955																												
71073																												
71318																												
71457																												
71859																												
72258																												
72351																												
72454																												
72678																												
73116																												
73152																												
73554																												
73956																												
74056																												
74140																												
74159																												
74403																												
74449																												
75053																												
75259																												
75446																												
75455																												
75558																												
75633		57519	32606	6997	18857	38073	8810		0																	81935	4935	
75651																												
76153																												
76443																												
76854																												
77150																												
77253																												
77422																												
77851		601	776	0	325	25	377																			550	200	
78157																												
78241																												
78559																												
78858																												
79042																												
79127																												
79145																												
79257																												
79855																												
80020																												
80150																												
80374																												
80431																												
80552																												
80936																												
81175																												
81429																												
82033																												
82257																												
82350																												
82659																												
83151																												
83236																												
83375																												
83638		1279	0	0	0	0	739		0																	0	0	
83834																												
83852																												
83955																												
84046																												
84251																												
84541																												
84804																												
85052																												
85258																												
85454																												
85472																												
85931																												
86349																												
86358																												
86554																												
86675																												
87047																												
87159																												
87177																												
87234																												
87476																												
87579																												
88231																												
88240																												
88259																												
88352																												
88455																												
88530																												
88772																												
88950																												
89032																												
89135																												
89751																												
89854																												
89957																												
90047																												
90177																												
90328																												
90337																												
90579																												
90645																												
91101		3317	72	88	580	76	208																			1453	347	
91156																												
91615																												
91651																												
91754																												
91950																												
92144																												
92676																												
92706																												
92902																												
93244																												
93543		695	8	0	208	11	28																			464	40	
93619		0	0	9866	6975	1870	1374																			0	0	
93758																												
94139																												
94456																												
94522																												
94755																												
94858																												
95051																												
95659																												
95677																												
96553																												
97055																												
97279																												
97457																												
97804																												
97943																												
98351																												
98463																												
98717																												
99143																												
99255																												
99376																												
99442																												
99536																												
99853																												
99974																												
100236																												
100357																												
100562																												
100777																												
100843																												
101019																												
101037																												
101439																												
101671																												
101738																												
101952																												
102155																												
102173																												
102333																												
102342																												
102539																												
102557																												
102874																												
103134																												
103255		776	233	0	320	158	0																			876	121	
103563																												
103602																												
104234																												
104542																												
104971																												
105026																												
105222																												
105473		653	391	281	445	373	0																			813	30	
105530																												
106359																												
106377																												
106452																												
106676																												
107226																												
107244		2056	231	306	125	180	0																			612	22	
107459																												
107570																												
107758																												
108072																												
108269																												
108652																												
108746																												
108951																												
109136																												
109154																												
109453																												
109574																												
109659																												
110413																												
110936																												
110945																												
110972																												
111157																												
111205																												
111661																												
111942																												
111979																												
112163																												
112332																												
112444																												
112510																												
112556																												
112837		5332	1016	672	593	3006	195		0																	5594	511	
113003																												
113030																												
113441																												
113601																												
113740																												
113937																												
114149																												
114158																												
114251																												
114260																												
114457																												
114774																												
114840																												
114859																												
115100																												
115146																												
115575																												
116077																												
116358																												
116554																												
116639																												
116732																												
116741																												
116871																												
117038																												
117074																												
117458																												
117672																												
117775																												
118156																												
118660																												
118736																												
119153																												
119528																												
119779																												
119872																												
120476																												
120542																												
120609																												
120953																												
121642		421	1207	39	626	51	621																			1126	111	
121651																												
121679																												
121914																												
122153																												
122546																												
122573																												
122854																												
123075																												
123374																												
123646		361	146	28	142	201	0																			190	22	
124344																												
124830																												
125154																												
125471																												
125855																												
125873																												
125958																												
126012																												
126049																												
126375																												
126553		683	315	17	543	48	0																			518	131	
126740																												
126834																												
127055																												
127224																												
127701																												
128258																												
