"IDRSSD"	RCFDHU20	RCFDHU21	RCFDHU22	RCFDHU23	RCFDJ981	RCFDJF77	RCFDJF78	RCFDJF84	RCFDJF85	RCFDJF86	RCFDJF87	RCFDJF88	RCFDJF89	RCFDJF90	RCFDJF91	RCFDJF92	RCFDJF93	RCFDK009	RCFDK030	RCFDK033	RCONHU20	RCONHU21	RCONHU22	RCONHU23	RCONJ981	RCONJF77	RCONJF78	RCONJF84	RCONJF85	RCONJF86	RCONJF87	RCONJF88	RCONJF89	RCONJF90	RCONJF91	RCONJF92	RCONJF93	RCONK009	RCONK030	RCONK033	
	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	ASST CNSL VIE CASH DUE FROM DI SCTY 	Total assets of ABCP conduit VIE	Total liabilities of ABCP conduit VI	Assets of consoidated variable inter	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	All other assets of consolidated VIE	All other assets of consolidated VIE	Assets of consoidated variable inter	Assets of consoidated variable inter	Assets of consolidated variable inte	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	ASST CNSL VIE OTHR RE OWNED SCTY TRS	ALL OTHR ASST CNSL VIE NT INCL SCTY 	ALL OTHR LIAB CNSL VIE NT INCL SCTY 	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	ASST CNSL VIE CASH DUE FROM DI SCTY 	Total assets of ABCP conduit VIE	Total liabilities of ABCP conduit VI	Assets of consoidated variable inter	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	All other assets of consolidated VIE	All other assets of consolidated VIE	Assets of consoidated variable inter	Assets of consoidated variable inter	Assets of consolidated variable inte	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	ASST CNSL VIE OTHR RE OWNED SCTY TRS	ALL OTHR ASST CNSL VIE NT INCL SCTY 	ALL OTHR LIAB CNSL VIE NT INCL SCTY 	
37																																									
242																																									
279																																									
354																																									
457																																									
505																																									
1155																																									
1351																																									
1454																																									
1669																																									
1856																																									
2040																																									
2161																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2376																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732																																									
2750																																									
3252																																									
3458																																									
3720																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3971																																									
4156																																									
4231																																									
5069																																									
5135																																									
5210																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5461																																									
5751																																									
6039																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6329																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009																																									
7045																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7072																																									
7456																																									
7634																																									
8033																																									
8462																																									
8631																																									
9357																																									
9553																																									
9807																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955																																									
10250																																									
10849																																									
11145																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11640																																									
11837																																									
12030																																									
12142																																									
12179																																									
12311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
12647																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12656																																									
12946																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13103																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13251																																									
13457																																									
14155																																									
14650																																									
14753																																									
14865																																									
14977																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16551																																									
16748																																									
17110																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17147																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17259																																									
17950																																									
17978																																									
18050																																									
18135																																									
18827																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18836																																									
18854																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19356																																									
19936																																									
19972																																									
20053																																									
20633																																									
20857																																									
21256																																									
21359																																									
21658																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22048																																									
22543																																									
22552																																									
22730																																									
23456																																									
23504																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23643																																									
23755																																									
24006																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24378																																									
24453																																									
24659																																									
24668																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24949																																									
25357																																									
25647																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26176																																									
26457																																									
26765																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27070																																									
27548																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27614																																									
27847																																									
28013																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28152																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28675																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28732																																									
29476																																									
29636																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29878																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30052																																									
30502																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30650																																									
30810	208534	0	30402732	0	830986	0	0	0	0	0	0	0	0	0	2725	14213620	15217	0	5443	0																					
31134																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31255																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31657																																									
31826																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31835																																									
32234																																									
32766																																									
32971																																									
33147																																									
33259																																									
33268																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33370																																									
33839																																									
