"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	14389	19972	198	0	0	6000	0	0	19972	0	0	219	
242	5241	5301	131	0	0	231	0	0	5301	0	0	40	
279	28375	28153	166	0	0	0	0	0	28153	1	0	55	
354	996	1000	-28	0	0	0	0	0	1000	0	0	24	
457	4821	4611	210	0	0	0	0	0	4611	0	0	0	
505	36360	35923	670	0	0	283	0	0	35923	0	0	50	
1155	19698	19599	512	0	0	470	0	0	19599	0	0	57	
1351	24309	23918	634	0	0	285	0	0	23918	0	0	42	
1454	77784	72841	2616	0	0	0	0	0	72841	0	0	2327	
1557	10095	9872	131	0	0	0	0	0	9872	0	0	92	
1669	45430	44584	697	0	0	0	0	0	44584	0	0	149	
1829	48397	48246	290	0	0	400	0	0	48246	0	0	261	
1856	16364	16090	296	0	0	676	0	0	16090	0	0	654	
2040	22152	21771	239	0	0	25	0	0	21771	0	0	167	
2161	16221	15753	392	0	0	37	0	0	15753	0	0	113	
2376	515585	489783	24384	0	0	0	0	0	489783	0	793	625	
2554	1500	1457	41	0	0	20	0	0	1457	0	0	22	
2732	87739	86838	981	0	0	265	0	0	86838	0	0	185	
2750	7078	7058	198	0	0	198	0	0	7058	0	0	20	
3252	23977	23499	620	0	0	250	0	0	23499	0	0	108	
3458	4347	4265	63	0	0	0	0	0	4265	0	0	19	
3720	34941	34204	707	0	0	120	0	0	34204	0	0	150	
3971	112360	111967	242	0	0	0	0	0	111967	0	0	151	
4156	22699	22259	424	0	0	260	0	0	22259	0	0	276	
4231	15738	15272	138	0	0	0	0	0	15272	0	0	328	
4839	38899	37553	828	0	0	337	0	0	37553	0	0	855	
5069	184729	176826	7677	0	0	0	0	0	176826	0	0	226	
5135	63007	61404	1469	0	0	0	0	0	61404	0	0	134	
