"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
37			974	0	5	0	981	12	0																				
242			161	0	14	0	187	40	0																				
279			1242	145	6	0	1104	13	0																				
354			168	5	19	0	144	0	0																				
457			566	0	75	0	497	6	0																				
505			6660	483	3	0	6205	31	0																				
1155			3999	301	17	0	3696	15	0																				
1351			1236	285	29	0	1100	178	0																				
1454			4341	1240	14	0	3501	414	0																				
1669			3105	204	20	0	3070	189	0																				
1856			265	30	0	0	235	0	0																				
2161			1843	414	7	0	1440	18	0			0	0																
2732			5035	0	7	0	5028	0	0																				
2750			544	278	5	0	553	292	0																				
3252			4200	600	163	0	3987	550	0																				
3458			533	120	10	0	552	149	0																				
3720			1725	18	9	0	1715	17	0																				
3971			6021	2992	80	0	3094	145	0																				
4156			2484	500	30	0	1954	0	0																				
4231			748	0	6	0	768	26	0																				
5069			7158	0	0	0	7158	0	0																				
5135			4854	1635	11	0	4911	1703	0																				
5210			18353	6550	92	0	13835	2124	0																				
5461			6299	200	113	0	5989	3	0																				
5751			2421	94	3	0	2324	0	0																				
6039			3719	820	4	0	3162	267	0			0	0																
6329			14654	5000	782	0	13369	4497	0				0																
7009			0	0	0	0	0	0	0																				
7045			1075	762	320	0	1211	1218	0			0	0																
7072			2668	600	32	0	2327	291	0																				
7456			885	10	2	0	873	0	0																				
7634			1209	30	25	0	1204	50	0																				
8033			1703	500	10	0	1409	216	0																				
8462			1779	580	3	0	1216	20	0																				
8631			410	0	5	0	417	12	0																				
9357			4587	577	18	0	4169	177	0																				
9553			1211	0	0	0	1211	0	0																				
9807			31517	0	209	0	31358	50	0				0																
9955			1839	109	0	0	1732	2	0																				
10250			4345	1175	54	0	3184	68	0																				
10849			1851	397	10	0	1612	168	0																				
11145			2548	246	43	0	2362	103	0				0																
11640			3205	206	14	0	3006	21	0																				
11837			827	0	13	0	816	2	0																				
12030			11040	1000	3437	0	7995	1392	0																				
12142			1622	60	51	0	1635	124	0																				
12311	0		1701579	751461	35191	0	782852	259685	391760	0	5724			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12647			1076	0	3	0	1077	4	0																				
12656			189	1	1	0	195	8	0																				
12946			19770	2000	363	0	18666	1259	0																				
13103			17284	1549	20	0	16517	802	0				0																
13251			555	30	42	0	483	0	0																				
13457			93	0	0	0	93	0	0																				
14155			3383	288	17	0	3090	12	0																				
14650			767	110	15	0	697	55	0																				
14753			530	0	0	0	530	0	0																				
14865			4713	400	18	0	4299	4	0																				
14977			459	120	1	0	374	36	0			0	0																
16551			3215	225	9	0	3026	45	0																				
16748			653	0	0	0	653	0	0																				
17110			279	0	0	0	279	0	0			0	0																
17147			121119	41647	990	0	80284	1802	0			0	0																
17259			178	25	3	0	153	3	0																				
17950			5385	720	5	0	4707	47	0																				
17978			1440	0	0	0	1444	4	0																				
18050			5646	480	23	0	5358	215	0																				
18827			10188	1901	70	0	8304	87	0																				
18836			1339	261	40	0	1123	85	0																				
18854			9878	2050	21	0	7846	39	0				0																
19356			775	96	2	0	874	197	0																				
19936			3753	450	17	0	3523	237	0																				
19972			400	0	0	0	400	0	0																				
20053			1358	60	2	0	1338	42	0																				
20633			3675	805	4	0	3270	404	0																				
20857			1003	210	0	0	923	130	0																				
21256			65	21	11	0	67	34	0																				
21359			404	80	0	0	412	88	0																				
21658			2035	75	13	0	1958	11	0				0																
22048			2070	325	23	0	1782	60	0																				
22543			1535	155	98	0	1293	11	0																				
22552			1227	60	1	0	1170	4	0																				
22730			1222	185	73	0	1171	207	0																				
23456			2135	180	163	0	1881	89	0																				
23504		0	43401	9500	26	0	32786	536	1625			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23643			1056	70	33	0	1057	104	0																				
23755			1721	300	10	0	1544	133	0																				
24006			8639	2318	154	0	6216	49	0																				
24378			184	15	17	0	197	45	0																				
24453			4158	2400	172	0	2832	1246	0																				
24659			598	157	5	0	438	2	0																				
24668			15042	6315	59	0	13431	4763	0																				
24949			6589	400	152	0	6094	57	0																				
25357			4575	1060	66	0	3627	178	0																				
25647			1973	300	0	0	1673	0	0				0																
26176			3215	29	4	0	3182	0	0																				
26457			221	3	1	0	217	0	0																				
26765			20268	6340	765	0	15872	2709	0																				
27070			3449	2503	0	0	1000	54	0																				
27548			10102	3270	163	0	7942	1273	0				0																
27614			1318	0	18	0	1307	7	0																				
27847			5406	1040	131	0	4837	602	0																				
28013			38520	10104	399	0	28707	690	0				789																
28152			1448	65	0	0	1383	0	0				0																
28675			756	72	0	0	684	0	0				0																
28732			1032	45	1	0	988	2	0																				
29476			1187	129	0	0	1077	19	0																				
29636			4257	936	106	0	3755	540	0																				
29878			14764	1511	198	0	13055	0	0				0																
30052			374	54	3	0	317	0	0																				
30502			7926	750	72	0	7224	120	0																				
30650			1127	0	7	0	1381	261	0																				
30810	0		8184260	3876519	389347	0	3383436	1925606	2460564	0	254000			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31134			1226	165	16	0	1100	55	0				0																
31255			7583	725	183	0	6688	13	0			0	0																
31657			872	30	53	0	846	57	0																				
31826			2916	75	128	0	2899	186	0				0																
31835			1315	180	37	0	1157	59	0																				
32234			162	114	2	0	58	12	0																				
32766			217	157	0	0	60	0	0																				
32971			2121	290	36	0	1863	68	0																				
