"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	984	40	3	0	1019	78	0					
242	184	0	10	0	185	11	0					
279	974	10	6	0	971	13	0					
354	154	0	13	0	124	7	24					
457	454	60	92	0	516	214	0					
505	5326	483	14	0	4839	10	0					
1155	3433	206	204	0	3153	130	0					
1351	1238	255	75	0	1200	292	0					
1454	3399	80	87	0	3364	132	0					
1669	2894	101	21	0	2900	128	0					
1856	574	0	3	0	580	9	0					
2040	2821	0	111	0	2762	52	0					
2161	1090	173	11	0	949	43	0			0	0	
2376	28566	-2000	258	0	30402	94	0			0	0	
2554	150	20	0	0	155	25	0					
2732	4851	325	152	0	4539	165	0					
2750	866	0	5	0	861	0	0					
3252	4307	1350	251	0	3691	985	0					
3458	400	45	5	0	443	93	0					
3720	1710	78	2	0	1640	10	0				0	
3971	10216	684	835	0	10362	1665	0					
4156	1988	0	44	0	2008	64	0					
4231	622	285	46	0	613	322	0					
5069	11550	-1115	0	0	12665	0	0					
5135	4635	540	46	0	4410	361	0					
5210	13414	770	167	0	13976	1499	0			0	0	
5461	6137	0	106	0	6133	102	0					
5751	2085	0	118	0	2084	117	0					
6039	2895	125	80	0	2770	80	0			0	0	
6329	10794	6150	817	0	9650	5823	0				0	
7009	0	0	0	0	0	0	0					
7045	1212	240	31	0	1033	92	0			0	0	
7072	1901	399	37	0	2001	536	0					
7456	816	25	1	0	849	59	0					
7634	1043	90	37	0	991	75	0					
8033	1420	350	3	0	1249	182	0					
8462	1079	0	13	0	1071	5	0					
8631	427	0	1	0	427	1	0					
9357	3564	350	3	0	3313	102	0				0	
9553	1209	200	3	0	1006	0	0					
9807	32871	0	2948	0	30011	88	0				0	
9955	1576	25	3	0	1556	8	0					
10250	3591	0	687	0	2985	81	0					
10849	1281	198	0	0	1083	0	0					
11145	2403	276	43	0	2242	158	0				0	
11640	3411	47	125	0	3704	465	0					
11837	834	0	10	0	828	4	0					
12030	7696	0	7618	0	8132	8054	0					
12142	1675	90	64	0	1595	74	0					
12179	131	-44	3	0	181	9	0					
12311	757436	164045	86710	0	686938	180257	0	0	4638		0	
12647	1076	0	33	0	1050	7	0			0	0	
12656	221	0	2	0	231	12	0					
12937	2136	0	9	0	2127	0	0					
12946	18980	2827	448	0	17863	2158	0				0	
13103	15526	740	79	0	15111	404	0				0	
13251	520	45	39	0	459	23	0					
