"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
37																																									
242																																									
279																																									
354																																									
457																																									
505																																									
1155																																									
1351																																									
1454																																									
1669																																									
1856																																									
2161																																									
2732																																									
2750																																									
3252																																									
3458																																									
3720																																									
3971																																									
4156																																									
4231																																									
5069																																									
5135																																									
5210																					41349	767697	560550	350250	0	13717	1733563	251	8135	3735	2656	0	661	2915	18353						
5461																																									
5751																																									
6039																																									
6329																																									
7009																																									
7045																																									
7072																																									
7456																																									
7634																																									
8033																																									
8462																																									
8631																																									
9357																																									
9553																																									
9807																																									
9955																																									
10250																																									
10849																																									
11145																																									
11640																																									
11837																																									
12030																																									
12142																																									
12311	1187027	8952759	20219429	31645134	605368	17368836	79978553	60125	260420	150359	843976	63351	323348	0	1701579	0	0	0	0	0																					
12647																																									
12656																																									
12946																					126980	584308	324802	300494	1490	24485	1362559	1132	5890	4020	8136	41	551	0	19770						
13103																																									
13251																																									
13457																																									
14155																																									
14650																																									
14753																																									
14865																																									
14977																																									
16551																																									
16748																																									
17110																																									
17147																																									
17259																																									
17950																																									
17978																																									
18050																																									
18827																					111749	442333	374591	258361	0	134776	1321810	795	4230	2161	2320	0	662	20	10188						
18836																																									
18854																																									
19356																																									
19936																																									
19972																																									
20053																																									
20633																																									
20857																																									
21256																																									
21359																																									
21658																																									
22048																																									
22543																																									
22552																																									
22730																																									
23456																																									
23504																					81341	2437637	471978	1604778	0	25094	4620828	2620	8621	3692	26949	0	1519	0	43401	0	0	0	0	0	
23643																																									
23755																																									
24006																					18579	832326	287279	120252	0	398	1258834	228	7492	396	412	0	4	107	8639						
24378																																									
24453																																									
24659																																									
24668																					126806	234788	301629	670015	0	14151	1347389	750	2664	1029	9913	0	118	568	15042						
24949																																									
25357																																									
25647																																									
26176																																									
26457																																									
26765																					91722	1265732	140328	430993	0	8562	1937337	1329	14667	1195	3059	0	18	0	20268						
27070																																									
27548																																									
27614																																									
27847																																									
28013																																									
28152																																									
28675																																									
28732																																									
29476																																									
29636																					86135	227025	95482	129684	1603	10783	550712	519	2246	652	716	47	77	0	4257						
29878																																									
30052																																									
30502																																									
30650																																									
30810	583	0	1634956	209600	70036799	17046730	88928668	0	0	37460	10000	6481000	1655800	0	8184260	0	0	0	0	0																					
31134																																									
31255																																									
31657																																									
31826																																									
31835																																									
32234																																									
32766																																									
32971																																									
33147																																									
33259																																									
33268																																									
33370																																									
33839																																									
33857																																									
34425																					128463	322282	347364	249236	0	7855	1055200	1939	3620	3304	2626	0	518	0	12007						
34434																																									
34537																					298830	2464882	1468171	1337931	306	201932	5772052	7161	44426	20453	15629	13	3568	0	91250	0	0	0	0	0	
34555																																									
34742																																									
35057																																									
35301	0	1944000	0	24924000	0	91000	26959000	0	8000	0	133000	0	0	0	141000	0	2000	0	1000	3000																					
35570																					325128	13543135	5195992	1933470	0	358658	21356383	9646	184743	40298	37897	0	734	0	273318	28	0	3034	0	3062	
35646																																									
35879																																									
36456																																									
36933																																									
37051																																									
37341																																									
37435																					139341	215024	232045	174264	2619	31139	794432	2124	3127	4040	4178	106	398	883	14856						
37640																					194259	1458552	708493	861401	10217	33425	3266347	2312	24292	6586	8864	125	252	0	42431	0	0	0	0	0	
37659																																									
37949																																									
38740																																									
39327																																									
39756																																									
40033																																									
40499																																									
40855																																									
41553																																									
41629																																									
41825																																									
41955																																									
42037																																									
42354																																									
42372																																									
42420																																									
42448																																									
42457																																									
43052																																									
43351																																									
43856																																									
43959																																									
44040																																									
44433																																									
44741																																									
44750																																									
44929																																									
45038																																									
45047																																									
45056																																									
45430																																									
45458																																									
45551																																									
45560																																									
45775																																									
46053																																									
46941																																									
47247																																									
47256																																									
47452																																									
47500																																									
48057																																									
48150																																									
48374																					76415	698060	74757	200157	0	24221	1073610	138	4603	509	4235	0	489	1729	11703						
48440																																									
49054																																									
49148																																									
49241																																									
49652																																									
49858																																									
49951																																									
50144																																									
50461																																									
50872																																									
51253																																									
51356																																									
51459																																									
51842																																									
52719																																									
52951																																									
53051																																									
54058																																									
54656																																									
54973																					103222	852912	3205004	1060284	0	216395	5437817	4771	21100	10481	13868	0	31087	0	81307	0	0	0	0	0	
55336																																									
55635																																									
55653																																									
55970																																									
56258																																									
56351																																									
56548																																									
56717																																									
57040																																									
57451																																									
58225																																									
58243																																									
58355																																									
58551																																									
58636																																									
58757																																									
58971																																									
59316																					15182	397853	225649	192896	0	156781	988361	86	6080	1651	1076	0	1419	0	10312						
59352																																									
59370																																									
59754																																									
60143	3952000	9925000	1886000	35519000	0	2164000	53446000	45000	223000	25000	675000	0	39000	0	1007000	0	0	0	0	0																					
60330																																									
60545																																									
60554																																									
60648																																									
61122																																									
61355																																									
61476																																									
61757																																									
61832																																									
61953																																									
62044																																									
62110																																									
62147																																									
63050																																									
63069																																									
63201																																									
63573																																									
63733																																									
63742																																									
63751																																									
64150																																									
64552																																									
64730																																									
65205																																									
65513																																									
65559																																									
65746																																									
65858																					103419	522713	387492	384434	0	49125	1447183	989	9552	2823	4217	0	890	1459	19930						
66154																																									
66275																																									
66677																																									
67142																																									
67151																																									
67209																																									
67254																																									
67656																																									
67870																																									
68671																																									
68756																																									
68831																																									
69333																																									
69678																																									
70058																																									
70218																																									
70414																																									
70638																																									
70955																																									
71073																																									
71457																																									
71859																																									
72258																																									
72351																																									
72454																																									
72678																																									
73116																																									
73152																																									
73554																																									
73956																																									
74056																																									
74140																																									
74403																																									
74449																																									
75259																																									
75446																																									
75455																																									
75558																																									
75633																																									
75651																																									
76153																																									
76443																																									
76854																																									
77150																																									
77253																																									
77422																																									
77851																																									
78157																																									
78241																																									
78559																																									
79042																																									
79127																																									
79145																																									
79257																																									
79855																																									
80150																																									
80374																																									
80431																																									
81175																																									
82033																																									
82257																																									
82350																																									
82659																																									
83151																																									
83236																																									
83375																																									
83638																																									
83834																																									
83852																																									
83955																																									
84046																																									
84541																																									
84804																																									
85052																																									
85454																																									
85472																					120875	4683548	2638461	828803	0	101873	8373560	171	11461	17685	4974	0	4218	0	38509	35	829	131	1451	2446	
85931																																									
86349																																									
86675																																									
87047																																									
87159																																									
87234																																									
87476																																									
87579																																									
88231																																									
88259																																									
88352																																									
88455																																									
88950																																									
89032																																									
89135																																									
89854																																									
89957																																									
90047																																									
90177																																									
90328																																									
90337																																									
90579																																									
91615																																									
91754																																									
91950																																									
92144																																									
92676																																									
92706																																									
92902																																									
93244																																									
93543																																									
93619																																									
94139																																									
94522																																									
94755																																									
94858																																									
95051																																									
95677																																									
96553																																									
97055																																									
97279																																									
97457																																									
97804																																									
97943																																									
98351																																									
98463																																									
98717																																									
99143																																									
99255																																									
99376																																									
99442																																									
99536																																									
99853																																									
100236																																									
100357																																									
100562																					278566	2905485	864157	671685	297	81216	4801406	6769	44001	20105	5722	34	3007	101	79739	0	0	0	0	0	
100777																																									
100843																																									
101019																																									
101037																																									
101439																																									
101671																																									
101738																																									
101952																																									
102333																																									
102342																																									
102539																																									
102557																																									
102874																																									
103134																																									
104234																																									
104542																																									
104971																																									
105026																																									
105473																					93971	296648	497489	239823	0	7782	1135713	693	2216	1804	1688	0	17	3647	10065						
105530																																									
106359																																									
106452																																									
106676																																									
107244																					7003122	6014548	1002628	2447385	0	2843396	19311079	65143	128614	28367	36568	0	47504	0	306196	0	0	0	0	0	
107459																																									
107570																																									
107758																																									
108072																																									
108269																																									
108652																																									
108746																																									
108951																																									
109136																																									
109154																																									
109453																																									
109574																																									
109659																																									
110413																																									
110936																																									
110945																																									
110972																																									
111157																																									
111205																																									
111942																																									
111979																																									
112163																					265630	683010	414628	536793	0	53259	1953320	4894	16898	6740	4529	0	975	83	34119	0	0	0	0	0	
112332																																									
112444																																									
112510																																									
112556																																									
112837	0	0	0	78195893	17785899	66712492	162694284	0	0	0	1903034	1087804	2837914	0	5828752	0	0	0	0	0																					
113003																																									
113030																																									
113441																																									
113601																																									
113740																																									
113937																																									
114149																																									
114251																																									
114260																																									
114457																																									
114774																																									
114840																																									
114859																																									
115146																																									
115575																																									
116358																																									
116554																																									
116741																																									
117038																																									
117074																																									
117458																																									
117775																																									
118156																																									
118660																																									
118736																																									
119153																																									
119528																																									
119779																																									
119872																																									
120476																																									
120542																																									
120609																					33935	337920	312475	201463	0	33860	919653	406	4100	1701	1623	0	343	17	8190						
120953																																									
121642																																									
121651																																									
121914																																									
122153																																									
122546																																									
122854																																									
123075																																									
123374																																									
124344																																									
124830																																									
125154																																									
125471																					572558	10403049	2137550	9166591	0	15519	22295267	18195	135557	40659	170489	0	589	0	365489	2384	0	0	115	2499	
125855																																									
125873																																									
125958																																									
126012																																									
126049																																									
126375																																									
126553																																									
126834																																									
127055																																									
127224																																									
128258																																									
128904																																									
129349																																									
129358																																									
129479																																									
129732																																									
129853																																									
129910																																									
130345																																									
130541																					221289	1316901	993692	1048063	0	398437	3978382	1256	25525	6870	13898	0	7541	0	55090	0	0	0	0	0	
130813																																									
131034																																									
131173																																									
131436																																									
131650																																									
131717																																									
131940																																									
132107																					32544	432758	323717	244735	0	2706	1036460	410	3884	2208	4065	0	15	161	10743						
132451																																									
132554																																									
132778																																									
132938																																									
133579																																									
133850																					180834	448503	243712	162435	0	26316	1061800	2375	5125	2286	1838	0	436	0	12060						
133971																																									
134156																																									
134437																																									
134455																																									
134848																																									
135836																																									
135854																																									
136048																																									
136338																																									
136459																																									
136655																																									
137205																					72094	477914	457450	458857	0	15775	1482090	518	7889	5052	4004	0	634	1528	19625						
137447																																									
137456																																									
137559																																									
137643																																									
137652																																									
137915																																									
138051																																									
138257																																									
138556																																									
139133																																									
139478																																									
139553																					47305	336086	246100	360111	0	23613	1013215	542	3854	2822	4130	0	271	0	11619						
139656																																									
139740																																									
139834																																									
139843																																									
139955																																									
140157																																									
140362																																									
140634																																									
141211																																									
141341																																									
141350																																									
141556																																									
141677																																									
141958																																									
142049																																									
142179																																									
142955																																									
143372																																									
143662																					826883	9516268	5246016	6727904	0	354385	22671456	36834	115994	40548	152615	0	10754	0	356745	0	0	0	0	0	
143859																																									
143952																																									
144034																																									
144052																																									
144155																																									
144678																																									
144856																																									
144913																																									
145059																																									
145545																																									
145554																																									
145741																																									
145844																																									
146056																																									
146663																					10405	408281	77050	104342	0	5242	605320	263	7686	1448	1910	0	142	288	11737						
146672																					1477765	1596245	5459574	7155214	0	897686	16586484	0	83758	87064	23719	0	34666	0	229207	0	0	0	0	0	
147651																																									
147679																																									
147857																																									
147923																																									
148171																																									
148238																																									
148340																																									
148470																																									
148715																																									
148809																																									
148920																																									
149150																																									
150035																																									
150044																																									
150156																																									
150727																																									
151546																																									
151957																																									
152057																																									
152253																																									
152431																																									
152440																																									
