"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADJ447	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	1ST ITEMIZED AMT FOR ITEM 4315	2ND ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4315	3RD ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4315	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	NET CHANGE FAIR VAL UNDR FAIR VAL OP	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	GAINS ON BARGAIN PURCHASE	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITEMIZED AMT FOR ITEM 4310	2ND ITEMIZED AMT FOR ITEM 4310	3RD ITEMIZED AMT FOR ITEM 4310	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	
37	6	0	38	5	CONF	30	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	false	12	0	0	1	0	8	51	75	33	0	0	41	0	29	22	0	MISC INCOME			BANK SECURITY AND IT PROTECTION													
242	0	0	39	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
279	40	0	104	3	CONF	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	false	27	0	0	16	53	7	192	227	36	0	0	34	0	10	13	0				Outside Services													
354	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0																	
457	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0																	
505	141	0	92	62	CONF	0	0	0	65	64	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	67	0	31	313	0	0	271	102	0	153	0	0				Online Banking Expense	OCC Assessment												
1155	266	0	76	15	CONF	19	0	0	22	141	62	0	0	0	0	0	0	0	0	0	0	false	36	0	0	6	61	12	47	221	41	0	213	50	6	45	17	0	Exchange			OREO	Debit Card Expense	Internet Banking, Bill Pay, etc											
1351	19	0	17	23	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	26	0	0	0	0	0	83	0	22	6	0	0	0	0	26	0																	
1454	292	109	153	0	CONF	247	82	76	122	113	96	0	0	0	0	0	0	0	0	0	0	false	162	0	0	0	87	0	0	209	128	0	872	0	0	393	85	0	LETTER OF CREDIT FEE INCOME	HUMAN RESOURCES FEE INCOME	MERCHANT DISCOUNT INCOME	LOAN EXPENSE	OCC FEES	ONLINE BANKING EXPENSE											
1557	16	0	18	1	CONF	0	0	0	13	13	22	0	0	0	0	0	0	0	0	0	0	false	6	0	0	0	0	4	0	49	14	0	10	22	0	2	3	0				Recording & Expense	Donations & Charity	Management Fees											
1669	17	0	29	8	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	32	0	0	18	188	24	85	304	40	0	247	41	0	45	52	0																	
1829	125	0	106	0	CONF	157	0	0	142	152	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	28	86	0	25	326	0	0	246	0	0	161	103	0	Mortgage Fees			Professional Fees	PA Shares Tax												
1856	9	0	21	2	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	0	1	9	17	12	0	0	12	50	0	6	0																	
2040	77	0	43	41	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	53	0	0	286	0	0	102	0	34	71	35	0																	
2161	0	0	28	0	CONF	38	0	0	85	30	0	0	0	0	0	0	0	0	0	0	0	false	19	0	0	0	57	0	0	210	37	0	135	40	0	98	32	0	Yield Spread Premium			Deferred Compensation Plan Exp	Comptroller Assessment												
2376	181	0	368	20	CONF	568	214	0	170	4115	633	0	0	0	0	0	0	0	0	0	0	false	85	0	0	0	1344	21	91	788	173	0	149	543	423	200	90	0	JOINT VENTURES	MISCELLANEOUS FEES		INSURANCE EXPENSE	FHLB PREPAYMENT PENALTY	MISCELLANEOUS FEES											
2554	0	0	5	0	CONF	0	0	0	14	7	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	0	1	0	1	0	0	-2	0	3	0	2	0				Software Maintenance	Correspondent Svc Charge												
2732	248	0	90	30	CONF	0	0	0	-86	0	0	0	0	0	0	0	0	0	0	0	0	false	40	0	0	0	0	46	0	318	55	0	0	70	0	0	64	0				recovery on OREO expense													
2750	0	0	38	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	75	0	0	0	0	33	0	0	0																	
3177	157	0	141	184	CONF	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	false	81	0	0	29	311	29	724	914	92	0	0	273	112	440	58	0				OCC Semi-Annual Assessment													
